"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.3792,0,0,0.007,0,0.4034,0.016,0.0957,0.0667,0,0.0931,0.0521,0.0951,0.007,0.0124,0.0131,0.0127,0.0111,0.008,0.01,0.0132,0.0193,0.0061,0.005,0.0099,0.0046,0.0044,0.0291,0.0192,0.0152,0.0079,0.092,0.0072,0.0027,0.0051,0.0012,0.0029,0.0041,0.0061,0.006,0.0094,0.013,0.0103,0.0048,0
"TTL_A03",9e-04,1,0,1e-04,0,0.0044,2e-04,1e-04,4e-04,0,9e-04,5e-04,4e-04,1e-04,2e-04,2e-04,2e-04,2e-04,1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,3e-04,1e-04,6e-04,3e-04,2e-04,1e-04,0.0016,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,0,1e-04,2e-04,1e-04,1e-04,0
"TTL_B05_06",0.0019,0,1,0.0315,0,0.0018,0.0054,0.0018,0.0139,0,0.0199,0.0036,0.0135,0.0133,0.0654,0.0118,0.0069,0.0069,0.0055,0.0064,0.0079,0.0053,0.123,0.0053,0.0033,0.0022,0.0022,0.0023,0.0021,0.005,0.0033,0.0012,0.0031,0.0011,0.0016,6e-04,0.0012,0.0011,0.0011,0.0017,4e-04,0.001,0.0022,0.0019,0
"TTL_B07_08",0.001,0,0,1.0562,0,9e-04,0.0027,0.001,0.0055,0,0.0135,0.0018,0.006,0.0523,0.0564,0.0077,0.0037,0.0044,0.0033,0.0035,0.0043,0.0031,0.0305,0.003,0.0072,9e-04,0.0018,8e-04,8e-04,0.0018,0.0011,6e-04,0.0012,5e-04,7e-04,2e-04,7e-04,5e-04,4e-04,0.001,2e-04,5e-04,8e-04,8e-04,0
"TTL_B09",1e-04,0,0,0.0069,1,1e-04,2e-04,1e-04,3e-04,0,3e-04,1e-04,3e-04,6e-04,0.0012,3e-04,2e-04,2e-04,1e-04,2e-04,2e-04,1e-04,0.0018,3e-04,3e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,0,0,1e-04,0,1e-04,0,0,1e-04,1e-04,0
"TTL_C10T12",0.1962,0,0,0.0127,0,1.1377,0.0188,0.0205,0.0595,0,0.1436,0.0843,0.0552,0.01,0.02,0.0184,0.0202,0.0157,0.0121,0.0126,0.0153,0.0169,0.0044,0.0067,0.0097,0.0064,0.0054,0.0646,0.0464,0.0295,0.015,0.2248,0.0098,0.004,0.0073,0.0018,0.004,0.0063,0.0128,0.0068,0.0244,0.0317,0.009,0.0078,0
"TTL_C13T15",0.0071,0,0,0.0121,0,0.0037,1.2406,0.0017,0.0129,0,0.0046,0.0033,0.0249,0.004,0.0059,0.0063,0.0064,0.0049,0.0045,0.0136,0.0097,0.0151,0.0018,0.004,0.0043,0.0033,0.0024,0.0045,0.0043,0.0035,0.0052,0.0037,0.003,8e-04,0.0015,3e-04,6e-04,0.0012,0.0019,0.0011,4e-04,0.0056,0.0018,0.0045,0
"TTL_C16",0.0036,0,0,0.0085,0,0.0041,0.0038,1.1956,0.0493,0,0.0073,0.0038,0.0173,0.0112,0.0154,0.0194,0.0117,0.0129,0.0093,0.0164,0.0452,0.0695,0.0047,0.0088,0.0498,0.0036,0.0055,0.0038,0.0044,0.008,0.0042,0.002,0.0045,0.0015,0.0028,7e-04,0.0043,0.0018,0.0019,0.0051,0.0036,0.0018,0.002,0.0028,0
"TTL_C17_18",0.0088,0,0,0.0071,0,0.0144,0.012,0.0141,1.3099,0,0.0199,0.0196,0.0377,0.0148,0.0153,0.0182,0.0271,0.0219,0.0136,0.0154,0.0167,0.0185,0.0045,0.0067,0.0104,0.0193,0.0058,0.0089,0.0103,0.0134,0.0267,0.0071,0.0493,0.0071,0.0222,0.0027,0.0026,0.0082,0.0109,0.0039,0.0018,0.0034,0.0125,0.0054,0
"TTL_C19",0.006,0,0,0.0092,0,0.005,0.0079,0.0044,0.0109,1,0.0221,0.0061,0.02,0.0116,0.0285,0.0109,0.0101,0.009,0.0062,0.0079,0.0092,0.0094,0.0037,0.0031,0.0051,0.0059,0.0246,0.0495,0.0754,0.0144,0.0147,0.0032,0.0041,0.0015,0.0036,6e-04,0.001,0.0019,0.0035,0.0015,7e-04,0.0017,0.0023,0.0017,0
"TTL_C20",0.0072,0,0,0.0102,0,0.0053,0.0726,0.0286,0.0336,0,1.0878,0.024,0.1684,0.0129,0.0205,0.019,0.0217,0.022,0.0111,0.0161,0.0195,0.0148,0.0029,0.0078,0.0069,0.0038,0.0025,0.0036,0.004,0.0038,0.0032,0.0027,0.0075,0.0018,0.0037,6e-04,0.0011,0.002,0.002,0.0014,9e-04,0.0024,0.0029,0.0033,0
"TTL_C21",0.0035,0,0,0.0011,0,0.0021,0.0037,0.0016,0.0027,0,0.0075,1.0705,0.0086,0.001,0.0023,0.0016,0.0029,0.002,0.0015,0.0016,0.0019,0.0016,5e-04,0.0012,0.0014,0.0013,8e-04,0.0011,0.0012,9e-04,9e-04,0.0011,0.0015,8e-04,0.0014,3e-04,2e-04,9e-04,5e-04,5e-04,4e-04,0.015,0.001,0.0016,0
"TTL_C22",0.0021,0,0,0.0025,0,0.003,0.0351,0.0027,0.0103,0,0.007,0.0048,1.0699,0.0037,0.0052,0.01,0.0148,0.0178,0.0095,0.0242,0.013,0.0104,0.0012,0.0013,0.0032,0.0029,0.0029,0.0019,0.0028,0.0027,0.0025,0.0014,0.0019,7e-04,0.0015,2e-04,5e-04,7e-04,9e-04,5e-04,3e-04,9e-04,8e-04,7e-04,0
