"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.3007,0.0773,0.0527,0.0239,0.0541,0.2678,0.0215,0.3049,0.0224,0.0244,0.2298,0.0216,0.0312,0.0295,0.0274,0.0178,0.0108,0.0197,0.0221,0.021,0.0244,0.0562,0.0466,0.0176,0.0202,0.0167,0.0209,0.0077,0.027,0.0075,0.008,0.0587,0.0108,0.0061,0.0048,0.0038,0.0098,0.0077,0.0147,0.0068,0.013,0.0142,0.0145,0.0249,0
"TTL_A03",0.0035,1.0416,0.0016,9e-04,0.0013,0.0111,5e-04,0.0019,9e-04,8e-04,0.0015,6e-04,6e-04,7e-04,7e-04,7e-04,4e-04,6e-04,6e-04,8e-04,6e-04,8e-04,9e-04,5e-04,5e-04,7e-04,7e-04,6e-04,0.0013,7e-04,3e-04,0.0032,4e-04,2e-04,2e-04,2e-04,2e-04,3e-04,6e-04,2e-04,4e-04,5e-04,4e-04,0.005,0
"TTL_B05_06",0.0198,0.0129,1.0391,0.0134,0.0161,0.0134,0.0235,0.0137,0.009,0.2166,0.0221,0.0085,0.011,0.014,0.0167,0.0094,0.0056,0.0081,0.0095,0.0141,0.0087,0.0145,0.127,0.0144,0.0097,0.0068,0.0258,0.0043,0.0267,0.0066,0.0061,0.0082,0.0064,0.0055,0.0028,0.0027,0.0051,0.004,0.0077,0.0055,0.0067,0.0091,0.0111,0.0064,0
"TTL_B07_08",0.0108,0.0052,0.1134,1.1907,0.1242,0.0098,0.0105,0.0087,0.0057,0.0282,0.0412,0.0058,0.0138,0.152,0.03,0.0151,0.0056,0.0086,0.0132,0.0135,0.0095,0.0107,0.0407,0.0143,0.0765,0.0041,0.0109,0.0028,0.0088,0.004,0.0035,0.0056,0.0109,0.0033,0.0019,0.0023,0.0048,0.0039,0.0135,0.005,0.0051,0.0058,0.0074,0.0156,0
"TTL_B09",2e-04,2e-04,0.002,0.0017,1.0068,2e-04,2e-04,2e-04,1e-04,0.0014,4e-04,1e-04,2e-04,7e-04,7e-04,3e-04,1e-04,2e-04,3e-04,3e-04,2e-04,2e-04,7e-04,2e-04,5e-04,1e-04,3e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0
"TTL_C10T12",0.0165,0.0273,0.0046,0.0026,0.0044,1.1675,0.0022,0.0059,0.0035,0.0035,0.0102,0.0034,0.0042,0.0038,0.0038,0.0028,0.0026,0.0033,0.003,0.0032,0.0034,0.0028,0.0029,0.0022,0.0026,0.005,0.0024,0.0016,0.0072,0.0012,0.0013,0.1646,0.0068,0.0014,0.0018,9e-04,0.0012,0.0022,0.0087,0.0021,0.0186,0.0097,0.0113,0.0033,0
"TTL_C13T15",0.0089,0.0036,0.0046,0.0022,0.0035,0.0051,1.1791,0.0041,0.0083,0.0027,0.0044,0.0042,0.0066,0.0023,0.0048,0.0082,0.0023,0.004,0.0043,0.0044,0.0037,0.0145,0.0027,0.0036,0.003,0.0023,0.0025,0.0013,0.0042,0.0019,0.0025,0.0051,0.0022,0.001,0.0012,7e-04,8e-04,0.0014,0.0045,0.0034,0.0022,0.0037,0.0051,0.0067,0
"TTL_C16",0.0515,0.02,0.1348,0.0469,0.0539,0.0354,0.0145,1.3279,0.0278,0.0369,0.0299,0.0107,0.0265,0.0305,0.0283,0.0191,0.0099,0.0194,0.0307,0.0301,0.025,0.1618,0.0446,0.019,0.0328,0.0175,0.0183,0.0096,0.0275,0.0097,0.0071,0.0157,0.0102,0.0064,0.0045,0.004,0.0221,0.0073,0.0114,0.0062,0.0078,0.0114,0.0115,0.031,0
"TTL_C17_18",0.0146,0.0104,0.012,0.0069,0.0125,0.0368,0.008,0.0166,1.4612,0.0138,0.0208,0.0518,0.0185,0.0128,0.0125,0.0083,0.0125,0.0086,0.0099,0.0086,0.0089,0.0139,0.0073,0.009,0.0075,0.0136,0.0079,0.0043,0.0125,0.0045,0.0706,0.0158,0.1746,0.013,0.0076,0.0254,0.0048,0.0176,0.0165,0.012,0.0142,0.0095,0.0165,0.0205,0
"TTL_C19",0.0421,0.0349,0.0577,0.0347,0.0407,0.0264,0.0122,0.0275,0.016,1.0814,0.0683,0.0146,0.0215,0.032,0.0264,0.0177,0.0113,0.0157,0.0174,0.0181,0.0154,0.0194,0.0331,0.0231,0.0236,0.0149,0.0993,0.0126,0.1096,0.0199,0.0176,0.0117,0.0125,0.0055,0.0051,0.0034,0.004,0.0077,0.0195,0.0076,0.0064,0.0102,0.0094,0.0115,0
