"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1121,0.0029,0.0033,0.0035,7e-04,0.4708,0.0221,0.1762,0.0579,0.0041,0.0223,0.0233,0.0139,0.0052,0.0034,0.0041,0.0057,0.005,0.0038,0.006,0.0133,0.0135,0.002,0.0011,0.0083,0.0125,0.0028,0.0066,0.0046,0.0019,0.0024,0.0901,0.0129,8e-04,9e-04,8e-04,4e-04,0.0014,0.0022,0.0028,0.0021,0.0028,0.0113,0.014,0
"TTL_A03",9e-04,1.0472,0,0,0,0.0216,2e-04,2e-04,2e-04,1e-04,8e-04,0.0012,4e-04,1e-04,1e-04,1e-04,2e-04,4e-04,1e-04,2e-04,1e-04,1e-04,1e-04,0,1e-04,5e-04,1e-04,2e-04,1e-04,0,1e-04,0.0074,2e-04,0,0,0,0,0,0,2e-04,1e-04,2e-04,2e-04,2e-04,0
"TTL_B05_06",0.0151,0.0576,1.0189,0.0421,0.0063,0.0239,0.0114,0.0138,0.0202,0.6667,0.0378,0.0126,0.0236,0.0639,0.036,0.0207,0.0272,0.0198,0.0129,0.0253,0.0088,0.0113,0.1269,0.0487,0.0339,0.0174,0.089,0.1839,0.1634,0.026,0.0318,0.0119,0.0162,0.0058,0.0016,0.0013,9e-04,0.002,0.0034,0.011,0.0058,0.0069,0.0128,0.0164,0
"TTL_B07_08",0.0118,0.0027,0.0021,1.0073,0.006,0.0132,0.0134,0.0216,0.0287,0.0154,0.2773,0.0683,0.0909,0.0669,0.0871,0.0892,0.0231,0.1062,0.0264,0.0312,0.0173,0.0183,0.0061,0.0042,0.0548,0.0079,0.005,0.0079,0.0071,0.0024,0.0038,0.0043,0.0168,0.0013,8e-04,5e-04,5e-04,0.0014,0.002,0.0038,0.0018,0.0033,0.0059,0.0099,0
"TTL_B09",4e-04,0.0011,0.0026,0.0031,1.0021,5e-04,3e-04,4e-04,6e-04,0.0115,0.002,5e-04,9e-04,0.002,0.0021,0.001,7e-04,9e-04,5e-04,7e-04,3e-04,3e-04,0.0023,7e-04,0.0016,4e-04,0.0016,0.0032,0.0029,5e-04,6e-04,2e-04,4e-04,1e-04,0,0,0,1e-04,1e-04,2e-04,1e-04,1e-04,3e-04,4e-04,0
"TTL_C10T12",0.0455,0.0035,3e-04,6e-04,4e-04,1.1371,0.0033,0.0085,0.0043,0.0011,0.0034,0.0027,0.0035,0.0015,0.0014,0.0012,0.0027,0.0016,0.0013,0.0022,0.0023,0.0016,8e-04,4e-04,0.0013,0.0054,0.0012,0.0032,0.0025,0.001,0.0017,0.1392,0.0058,6e-04,4e-04,7e-04,2e-04,5e-04,8e-04,0.0027,0.0016,0.0019,0.0069,0.0083,0
"TTL_C13T15",0.0023,0.0019,9e-04,0.0015,5e-04,0.0031,1.309,0.0112,0.0096,0.0026,0.0032,0.0021,0.0131,0.0024,0.0017,0.0021,0.0085,0.0039,0.0054,0.006,0.0023,0.0378,0.0013,7e-04,0.0024,0.0021,0.0015,0.0028,0.0031,9e-04,0.0012,0.0024,0.0065,5e-04,5e-04,2e-04,2e-04,7e-04,0.001,0.0022,8e-04,9e-04,0.0027,0.0038,0
"TTL_C16",0.0013,0.001,7e-04,0.0015,8e-04,0.0026,0.0033,1.2852,0.0176,0.0024,0.0018,0.001,0.0034,0.0049,0.0024,0.0097,0.0033,0.0046,0.0031,0.0054,0.0336,0.0521,0.0016,8e-04,0.0372,0.0028,0.0014,0.0028,0.0034,9e-04,0.0014,9e-04,0.0054,6e-04,7e-04,3e-04,5e-04,9e-04,0.0014,7e-04,5e-04,5e-04,0.0036,0.0057,0
"TTL_C17_18",0.0025,0.0016,0.0019,0.0054,9e-04,0.0249,0.0143,0.0073,1.2798,0.0046,0.0144,0.0152,0.0135,0.0187,0.006,0.0058,0.0207,0.0149,0.0101,0.0099,0.0038,0.0075,0.0041,0.0024,0.0069,0.0099,0.0038,0.006,0.0054,0.0036,0.0096,0.007,0.1214,0.0026,0.0027,0.0047,9e-04,0.0048,0.0045,0.0036,0.0075,0.0064,0.0186,0.023,0
"TTL_C19",0.0231,0.091,0.0285,0.0646,0.0086,0.0364,0.0166,0.0203,0.03,1.0657,0.0575,0.0189,0.0346,0.0969,0.0537,0.0311,0.0388,0.0293,0.0193,0.0379,0.0129,0.017,0.1142,0.0427,0.0519,0.0266,0.1403,0.2907,0.2583,0.0402,0.0485,0.0171,0.024,0.0082,0.0023,0.0018,0.0013,0.003,0.0051,0.0159,0.0086,0.0102,0.0187,0.0246,0
"TTL_C20",0.0479,0.0061,0.0045,0.0138,0.0066,0.0457,0.0514,0.0313,0.112,0.0267,1.204,0.0762,0.3797,0.0665,0.0209,0.0343,0.047,0.0729,0.063,0.0647,0.0308,0.0546,0.0142,0.0124,0.0409,0.0239,0.0122,0.0186,0.0165,0.0062,0.0097,0.0147,0.0626,0.0028,0.0022,0.0011,0.0016,0.0047,0.007,0.0055,0.0061,0.0114,0.02,0.0352,0
"TTL_C21",0.0053,6e-04,4e-04,0.001,3e-04,0.0051,0.0035,0.0029,0.0078,0.0022,0.0107,1.0796,0.0237,0.005,0.0015,0.0027,0.0041,0.0045,0.005,0.0049,0.0015,0.0047,0.0013,0.0011,0.0031,0.0025,0.001,0.0018,0.0015,6e-04,0.0012,0.0017,0.0049,3e-04,3e-04,1e-04,1e-04,7e-04,5e-04,0.001,0.0017,0.0072,0.0037,0.0048,0
"TTL_C22",0.0053,0.0043,0.0016,0.0111,0.002,0.02,0.0232,0.0096,0.0126,0.0038,0.015,0.0104,1.0453,0.0073,0.0061,0.0082,0.0106,0.0463,0.0535,0.0728,0.0063,0.018,0.0037,0.0024,0.014,0.0227,0.0101,0.0082,0.007,0.0044,0.0043,0.005,0.008,0.0011,5e-04,3e-04,3e-04,8e-04,0.0011,0.0035,9e-04,0.0013,0.0037,0.0054,0
"TTL_C23",0.0014,7e-04,0.0015,0.003,0.0018,0.0041,0.0036,0.0062,0.0128,0.0026,0.0147,0.0056,0.0081,1.0795,0.0037,0.0179,0.0072,0.0069,0.0034,0.0171,0.004,0.0038,0.0017,0.001,0.1913,0.0033,0.0018,0.0026,0.0023,0.0014,0.0021,0.0019,0.0067,7e-04,5e-04,9e-04,4e-04,6e-04,7e-04,0.0015,9e-04,0.001,0.0021,0.0028,0
"TTL_C24",0.0026,0.0034,0.0036,0.0077,0.0058,0.0084,0.009,0.0249,0.0153,0.0077,0.0122,0.006,0.0232,0.1719,1.8853,0.395,0.1452,0.3098,0.1776,0.1303,0.1449,0.0685,0.0104,0.0063,0.1504,0.0106,0.0069,0.009,0.0094,0.0037,0.0075,0.0032,0.0108,0.0034,0.0013,9e-04,8e-04,0.0018,0.0019,0.0027,0.0018,0.0022,0.0058,0.0095,0
