"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0904,0.0108,5e-04,0.0023,0.004,0.2383,0.0362,0.2348,0.0087,0.002,0.0067,0.0111,0.0225,0.0074,0.0024,0.0043,0.0049,0.0041,0.0032,0.0053,0.0031,0.0162,0.002,0.0043,0.0056,0.0049,0.0015,0.0018,0.0027,0.0021,0.0021,0.0288,0.0019,0.0013,0.0017,8e-04,5e-04,0.0014,0.0012,0.003,0.0013,0.0035,0.0024,0.0012,0
"TTL_A03",2e-04,1.0063,0,0,0,0.0029,1e-04,1e-04,1e-04,0,0,1e-04,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,6e-04,0,0,0,0,0,0,0,0,0,1e-04,1e-04,0,0
"TTL_B05_06",0.0342,0.1115,1.0352,0.0529,0.076,0.0315,0.0363,0.046,0.0517,0.5859,0.2325,0.1906,0.091,0.0632,0.0646,0.0465,0.0286,0.0458,0.0294,0.0367,0.0289,0.0484,0.1495,0.0469,0.0267,0.0128,0.0948,0.032,0.1634,0.0247,0.0813,0.0177,0.0201,0.0087,0.0139,0.0073,0.0038,0.0156,0.0148,0.0203,0.0065,0.0325,0.0166,0.0237,0
"TTL_B07_08",0.0051,0.0136,0.0015,1.0183,0.0107,0.0082,0.0056,0.0048,0.0084,0.0036,0.0199,0.0067,0.0138,0.1841,0.2719,0.0823,0.0203,0.0641,0.046,0.0394,0.0461,0.0236,0.0117,0.0085,0.0386,0.002,0.003,0.0028,0.0045,0.0058,0.003,0.0039,0.0052,0.004,0.0055,0.001,9e-04,0.0019,0.0019,0.0022,0.0011,0.0032,0.0029,0.0026,0
"TTL_B09",8e-04,0.0023,0.0193,0.0045,1.0296,0.0011,0.0011,0.0011,0.0015,0.0111,0.0048,0.0041,0.0023,0.0023,0.0024,0.0017,0.001,0.0016,0.0012,0.0014,0.0011,0.0015,0.003,0.0012,0.0023,7e-04,0.002,0.0014,0.0055,0.001,0.0035,8e-04,0.0013,6e-04,0.002,5e-04,2e-04,8e-04,5e-04,9e-04,3e-04,9e-04,0.0011,9e-04,0
"TTL_C10T12",0.0856,0.0196,7e-04,0.0021,0.0021,1.1247,0.0227,0.0207,0.013,0.0024,0.0078,0.015,0.0073,0.0039,0.0022,0.0033,0.0033,0.0031,0.0027,0.0034,0.0024,0.005,0.0019,0.0019,0.0019,0.002,0.0021,0.0028,0.004,0.0035,0.003,0.0829,0.0032,0.0018,0.0029,0.0019,4e-04,0.0032,0.0022,0.0098,0.0019,0.0064,0.006,0.0019,0
"TTL_C13T15",0.0033,0.0072,7e-04,0.0017,0.0027,0.0032,1.2427,0.0041,0.0523,0.0021,0.0038,0.0029,0.0115,0.0041,0.0022,0.005,0.0063,0.0049,0.0045,0.0302,0.0069,0.0354,0.0015,0.0023,0.0022,0.002,0.0031,0.0095,0.0031,0.0024,0.0032,0.0083,0.0034,0.0017,0.0021,0.0011,8e-04,0.0012,0.002,0.0037,0.0019,0.0061,0.0027,0.0056,0
"TTL_C16",0.0021,0.0035,6e-04,0.0046,0.0111,0.0045,0.007,1.1284,0.0064,0.0011,0.0036,0.011,0.005,0.0081,0.0039,0.0095,0.0069,0.0064,0.0048,0.0061,0.0037,0.0514,0.0025,0.0116,0.0124,0.0016,8e-04,8e-04,0.0016,0.0014,0.0015,0.0016,0.0018,0.0013,0.0016,6e-04,3e-04,9e-04,0.0013,9e-04,5e-04,0.0027,0.0017,7e-04,0
"TTL_C17_18",0.0069,0.0046,0.0016,0.0047,0.0257,0.0196,0.0358,0.0215,1.3479,0.005,0.0102,0.0222,0.0211,0.0242,0.0066,0.0213,0.0278,0.0208,0.0138,0.0163,0.0108,0.0427,0.0045,0.0083,0.0063,0.0118,0.0043,0.0067,0.0076,0.0097,0.012,0.0188,0.0092,0.0069,0.0178,0.015,0.0045,0.0083,0.0178,0.0167,0.0115,0.0119,0.0113,0.0042,0
"TTL_C19",0.0485,0.2517,0.0219,0.1019,0.1333,0.0473,0.0463,0.0796,0.0658,1.3656,0.1147,0.0498,0.0788,0.1048,0.0845,0.0708,0.0415,0.0627,0.0435,0.051,0.045,0.0581,0.2589,0.0814,0.0488,0.024,0.21,0.0683,0.3698,0.0467,0.1804,0.0262,0.031,0.0145,0.0232,0.0135,0.0063,0.0269,0.0258,0.0382,0.0105,0.0323,0.0224,0.045,0
