"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0484,0.0202,0.0074,0.0035,0.0029,0.1878,0.0187,0.0043,0.0041,0.0066,0.0108,0.0049,0.0043,0.0051,0.0027,0.0029,0.0041,0.0037,0.0049,0.0026,0.0044,0.003,0.0065,0.0038,0.0026,0.0026,0.0024,0.0056,0.0076,0.0047,0.005,0.0324,0.0034,0.0019,0.0029,0.004,0.001,0.0022,0.0072,0.002,0.0018,0.0019,0.0039,0.0037,0
"TTL_A03",0.0017,1.1931,0.0011,0.0012,7e-04,0.0024,0.0034,0.0017,0.0015,0.0032,0.0082,0.0051,0.002,0.0012,9e-04,9e-04,0.0014,0.0012,0.0015,8e-04,0.0011,9e-04,0.0028,0.0012,8e-04,6e-04,7e-04,0.0013,0.0015,7e-04,0.0013,0.0158,9e-04,5e-04,7e-04,8e-04,3e-04,6e-04,9e-04,7e-04,3e-04,8e-04,9e-04,7e-04,0
"TTL_B05_06",0.0016,0.0017,1.0266,0.0047,0.0056,0.0021,0.0019,0.0018,0.0013,0.0115,0.0027,0.0012,0.003,0.0032,0.0037,0.0023,0.0034,0.0019,0.0032,0.002,0.0029,0.0017,0.0266,0.0066,0.0016,0.0013,0.0017,0.0023,0.0026,0.001,0.0022,0.0022,0.0015,0.0012,0.0015,0.0017,7e-04,9e-04,0.0012,0.0014,6e-04,5e-04,0.002,0.0013,0
"TTL_B07_08",0.005,0.0048,0.0155,1.0283,0.021,0.0096,0.0056,0.0055,0.0047,0.0124,0.0075,0.004,0.007,0.1214,0.27,0.0849,0.0191,0.0197,0.0243,0.0428,0.0223,0.0153,0.0062,0.0095,0.0446,0.0026,0.0083,0.0052,0.0064,0.0035,0.0104,0.0051,0.0055,0.0043,0.0027,0.004,0.0071,0.0026,0.0042,0.0028,0.0013,0.0014,0.004,0.0032,0
"TTL_B09",0.0102,0.0473,0.2778,0.1985,1.2242,0.0123,0.0099,0.0098,0.0087,0.1876,0.0258,0.0083,0.0171,0.0633,0.0626,0.0257,0.0179,0.0119,0.0171,0.0163,0.0155,0.0099,0.0991,0.0345,0.0354,0.0068,0.017,0.0166,0.0157,0.0089,0.0135,0.0116,0.0074,0.0056,0.0066,0.0073,0.0079,0.0046,0.0072,0.0074,0.0026,0.003,0.0099,0.0068,0
"TTL_C10T12",0.1578,0.0777,0.0308,0.0074,0.0047,1.236,0.0087,0.0071,0.0068,0.0163,0.0447,0.0152,0.0106,0.0158,0.0054,0.0062,0.0081,0.0076,0.0097,0.0048,0.0064,0.0047,0.0136,0.006,0.005,0.0045,0.0043,0.0159,0.0176,0.0061,0.0101,0.1171,0.0098,0.0033,0.0053,0.0072,0.0019,0.0045,0.0078,0.0037,0.0023,0.0058,0.0091,0.0084,0
"TTL_C13T15",0.0096,0.0547,0.0038,0.0035,0.0031,0.0052,1.4243,0.0256,0.0252,0.0104,0.0052,0.0033,0.0053,0.0038,0.0029,0.0032,0.0089,0.0093,0.0121,0.0045,0.0055,0.012,0.0074,0.0045,0.0049,0.0029,0.0055,0.0028,0.0029,0.0018,0.0041,0.0047,0.0047,0.0028,0.0017,0.002,0.0013,0.0016,0.0023,0.0034,8e-04,0.002,0.0035,0.0071,0
"TTL_C16",0.0057,0.0099,0.0111,0.0136,0.005,0.0069,0.0059,1.2349,0.0082,0.0982,0.006,0.0039,0.0072,0.0082,0.0099,0.0067,0.0067,0.0058,0.0084,0.0053,0.0094,0.0365,0.027,0.011,0.0061,0.0035,0.0082,0.0102,0.0094,0.0044,0.0085,0.005,0.0056,0.0036,0.0033,0.0041,0.002,0.0026,0.005,0.0032,0.0013,0.0015,0.0051,0.0035,0
"TTL_C17_18",0.0065,0.0076,0.0078,0.0077,0.0056,0.021,0.0118,0.0124,1.2354,0.0252,0.0141,0.0144,0.0102,0.0088,0.0068,0.0105,0.0122,0.0122,0.0174,0.0072,0.0087,0.0106,0.0115,0.0091,0.0063,0.0139,0.0066,0.0105,0.0093,0.0036,0.0308,0.0138,0.098,0.0147,0.0097,0.0141,0.0026,0.0154,0.0084,0.0092,0.0096,0.0033,0.0181,0.0203,0
"TTL_C19",0.0234,0.0366,0.0248,0.072,0.0245,0.0271,0.0235,0.0246,0.0172,1.0496,0.0364,0.0168,0.0354,0.0375,0.0392,0.028,0.0402,0.0231,0.035,0.0239,0.0299,0.02,0.2696,0.0707,0.0236,0.0197,0.0501,0.0657,0.0632,0.0171,0.0333,0.0272,0.0182,0.012,0.0175,0.0179,0.009,0.0113,0.0219,0.0164,0.006,0.0075,0.0244,0.0155,0
