"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.5895,0.1216,0.0753,0.0757,0.0745,0.9042,0.1777,0.3736,0.1583,0.0725,0.18,0.1932,0.1789,0.0754,0.0621,0.0627,0.0768,0.0756,0.0649,0.0714,0.0555,0.1292,0.0776,0.0854,0.1011,0.1393,0.0754,0.0855,0.0958,0.0911,0.0655,0.4663,0.1055,0.0657,0.0736,0.0595,0.0608,0.0839,0.1027,0.1452,0.1394,0.1815,0.1964,0.1529,0
"TTL_A03",0.0086,1.3686,0.0078,0.0068,0.008,0.0519,0.0063,0.0072,0.0076,0.0073,0.0104,0.0112,0.0079,0.0063,0.0055,0.0053,0.0073,0.0066,0.006,0.0059,0.0049,0.0088,0.0068,0.0064,0.006,0.0106,0.0068,0.0123,0.0113,0.0088,0.0061,0.0872,0.0106,0.0068,0.0081,0.0054,0.004,0.0078,0.0081,0.0085,0.0105,0.0159,0.0151,0.012,0
"TTL_B05_06",0.0107,0.0247,1.094,0.0671,0.0506,0.011,0.0139,0.0219,0.029,0.5903,0.0657,0.025,0.0372,0.0508,0.0522,0.0315,0.0239,0.0302,0.0264,0.0244,0.0204,0.0233,0.2055,0.0421,0.0346,0.0225,0.1091,0.0827,0.1278,0.0493,0.047,0.0114,0.0208,0.0186,0.0171,0.015,0.0145,0.019,0.0237,0.0238,0.0193,0.0192,0.0216,0.0277,0
"TTL_B07_08",0.0048,0.0068,0.0388,1.2091,0.059,0.0056,0.0069,0.0171,0.02,0.0361,0.0629,0.022,0.0312,0.211,0.4056,0.1452,0.0443,0.0855,0.0815,0.0643,0.0489,0.0375,0.0361,0.038,0.0967,0.0106,0.0174,0.0159,0.0171,0.0168,0.0107,0.0053,0.0116,0.0123,0.0096,0.0071,0.0191,0.0115,0.0102,0.0143,0.009,0.0109,0.0119,0.0183,0
"TTL_B09",1e-04,4e-04,0.0047,0.0021,1.0028,1e-04,1e-04,2e-04,3e-04,0.004,6e-04,2e-04,3e-04,9e-04,9e-04,4e-04,3e-04,4e-04,3e-04,3e-04,2e-04,2e-04,0.0013,4e-04,5e-04,2e-04,8e-04,6e-04,9e-04,4e-04,4e-04,1e-04,2e-04,2e-04,2e-04,1e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,0
"TTL_C10T12",0.0627,0.0498,0.0155,0.0154,0.0149,1.1036,0.0286,0.0239,0.0269,0.0161,0.0522,0.0509,0.0318,0.0158,0.0134,0.0131,0.0168,0.0163,0.0137,0.014,0.011,0.0181,0.0138,0.0169,0.0142,0.026,0.0151,0.0238,0.0281,0.021,0.0144,0.2278,0.0235,0.0139,0.0184,0.014,0.0086,0.0202,0.0232,0.0323,0.0407,0.0625,0.0526,0.0368,0
"TTL_C13T15",0.0081,0.0398,0.0315,0.0282,0.0264,0.0109,1.5991,0.0307,0.0605,0.0258,0.038,0.04,0.0916,0.035,0.0235,0.0285,0.0354,0.0357,0.03,0.0587,0.0328,0.1423,0.0222,0.0351,0.0378,0.0346,0.0283,0.0311,0.0318,0.0316,0.039,0.0204,0.0439,0.024,0.0207,0.018,0.0139,0.0291,0.0353,0.0483,0.0275,0.0714,0.0647,0.0934,0
"TTL_C16",0.0028,0.0047,0.01,0.0124,0.0109,0.0033,0.0048,1.3247,0.0338,0.008,0.0095,0.0078,0.0111,0.0179,0.0103,0.0133,0.0106,0.0127,0.0109,0.0131,0.0173,0.1297,0.0104,0.0106,0.063,0.0077,0.0083,0.008,0.0091,0.0119,0.0076,0.0036,0.013,0.0072,0.0068,0.0061,0.0167,0.0089,0.0086,0.0082,0.0086,0.0068,0.0126,0.0185,0
"TTL_C17_18",0.0034,0.0051,0.0113,0.0142,0.012,0.0087,0.012,0.0223,1.3344,0.0112,0.0274,0.0329,0.0264,0.0269,0.012,0.0141,0.0225,0.0229,0.0146,0.014,0.0103,0.0214,0.0115,0.0169,0.0143,0.019,0.0121,0.0106,0.0136,0.0187,0.0339,0.0076,0.1703,0.0217,0.0346,0.0307,0.0094,0.0344,0.0275,0.0196,0.0282,0.0157,0.0263,0.0265,0
"TTL_C19",0.0182,0.0438,0.0743,0.1002,0.0643,0.018,0.0224,0.0347,0.043,1.1626,0.0982,0.0385,0.0585,0.0718,0.0736,0.0463,0.0365,0.0456,0.038,0.0366,0.0309,0.0364,0.1255,0.0668,0.0529,0.0367,0.1992,0.1508,0.2365,0.0853,0.0824,0.0185,0.0322,0.0291,0.0269,0.0238,0.0195,0.0297,0.0395,0.0386,0.0293,0.0301,0.0337,0.0445,0
"TTL_C20",0.0293,0.0152,0.0537,0.0718,0.0469,0.0241,0.0364,0.0695,0.1257,0.0738,1.3667,0.1704,0.3418,0.0866,0.0607,0.0595,0.0714,0.0886,0.0519,0.0618,0.042,0.0669,0.0377,0.0637,0.0582,0.0267,0.0362,0.0286,0.0351,0.0306,0.0255,0.0178,0.0567,0.0218,0.025,0.017,0.02,0.033,0.0347,0.0273,0.0267,0.0679,0.0369,0.0706,0
"TTL_C21",9e-04,6e-04,0.0017,0.0027,0.0016,9e-04,0.0013,0.0015,0.0026,0.002,0.0082,1.0772,0.0053,0.002,0.0022,0.0016,0.0022,0.0021,0.0017,0.0016,0.0015,0.0017,0.0013,0.002,0.0015,0.0011,0.0013,0.0012,0.0016,0.0012,0.0011,7e-04,0.0017,0.0011,0.0012,8e-04,6e-04,0.0024,0.0013,0.0019,0.0015,0.0266,0.0018,0.0021,0
"TTL_C22",0.0052,0.0091,0.0224,0.0255,0.0251,0.0097,0.0183,0.0235,0.0387,0.02,0.042,0.0343,1.1277,0.029,0.0204,0.0296,0.0533,0.062,0.0402,0.0682,0.0346,0.0448,0.0167,0.0285,0.0405,0.0219,0.034,0.015,0.0187,0.0221,0.0185,0.0074,0.0213,0.0155,0.0144,0.0089,0.0115,0.0154,0.0171,0.0135,0.01,0.0166,0.0148,0.0279,0
"TTL_C23",0.0033,0.0036,0.0175,0.0282,0.0234,0.0052,0.0049,0.0191,0.009,0.0138,0.0177,0.0179,0.0179,1.1854,0.0261,0.0223,0.0262,0.0282,0.0185,0.0231,0.0141,0.0177,0.017,0.0216,0.1585,0.0086,0.0106,0.0081,0.0092,0.0129,0.008,0.0055,0.0082,0.0104,0.0074,0.007,0.0325,0.0097,0.008,0.0126,0.0095,0.0104,0.0116,0.0148,0
