"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1158,0.0772,0.0082,0.0241,0.0278,0.4514,0.2734,0.2508,0.1414,0.0198,0.0378,0.0433,0.1759,0.0351,0.0375,0.0353,0.0412,0.0414,0.0426,0.0636,0.1372,0.0712,0.0148,0.023,0.0382,0.0667,0.0345,0.0562,0.0439,0.0287,0.0307,0.1937,0.0283,0.0261,0.0219,0.024,0.0148,0.0223,0.0353,0.0447,0.0277,0.037,0.042,0.014,0
"TTL_A03",0.0029,1.0115,5e-04,0.0012,0.0013,0.0232,0.0022,0.0021,0.002,0.0012,0.002,0.0019,0.0023,0.0018,0.0019,0.0018,0.0021,0.0021,0.0018,0.0021,0.002,0.0018,9e-04,0.001,0.0016,0.0048,0.0014,0.0022,0.0041,0.0018,0.0013,0.0513,0.0016,0.0015,0.0019,0.0017,8e-04,0.0016,0.0026,0.0029,0.0016,0.0025,0.0035,8e-04,0
"TTL_B05_06",0.0417,0.0624,1.0855,0.0839,0.0597,0.0676,0.0661,0.0879,0.0848,0.5358,0.2042,0.102,0.1115,0.1234,0.1336,0.1077,0.0655,0.0839,0.081,0.0706,0.0626,0.0914,0.2587,0.0565,0.0979,0.0421,0.179,0.0588,0.1369,0.1205,0.1166,0.0472,0.0549,0.0272,0.0345,0.0183,0.0577,0.0358,0.0542,0.0431,0.0314,0.0434,0.0575,0.025,0
"TTL_B07_08",0.0019,0.0016,0.002,1.007,0.0145,0.0036,0.0032,0.0041,0.0062,0.0031,0.0049,0.0044,0.005,0.0837,0.0696,0.0321,0.0122,0.0214,0.0244,0.0141,0.0121,0.0275,0.0069,0.004,0.0489,0.0038,0.0029,0.0069,0.004,0.0035,0.0028,0.0025,0.0026,0.0033,0.005,0.0019,0.0032,0.0024,0.0047,0.0046,0.0027,0.0034,0.0042,0.002,0
"TTL_B09",0.0066,0.0107,0.0799,0.0433,1.1114,0.0102,0.01,0.0134,0.0141,0.0815,0.0298,0.0152,0.017,0.0301,0.0325,0.0219,0.0113,0.0155,0.0148,0.0121,0.0108,0.0156,0.0356,0.0095,0.0229,0.0067,0.0276,0.0097,0.0211,0.0188,0.0176,0.0073,0.0085,0.0044,0.0059,0.003,0.0093,0.0059,0.0089,0.007,0.0049,0.0068,0.009,0.0039,0
"TTL_C10T12",0.1435,0.19,0.007,0.0263,0.0188,1.5507,0.0758,0.0621,0.0516,0.0254,0.0569,0.0541,0.0688,0.0385,0.0415,0.0387,0.0377,0.04,0.036,0.042,0.0464,0.0394,0.0167,0.0192,0.0324,0.0876,0.0288,0.035,0.0495,0.0288,0.0228,0.4396,0.021,0.0169,0.0234,0.0177,0.0123,0.0193,0.0319,0.0499,0.028,0.0632,0.0736,0.0117,0
"TTL_C13T15",0.004,0.0038,0.0016,0.0043,0.0046,0.0118,1.2904,0.0098,0.0297,0.0047,0.0082,0.0334,0.0131,0.0102,0.0093,0.0088,0.0092,0.0105,0.0109,0.0206,0.0123,0.0236,0.0035,0.0047,0.0077,0.0197,0.0069,0.0079,0.007,0.0065,0.019,0.0102,0.0056,0.0035,0.0067,0.0095,0.0025,0.0043,0.0083,0.0119,0.0049,0.0083,0.0062,0.0036,0
"TTL_C16",0.0033,0.0028,0.0014,0.0085,0.0049,0.0056,0.0102,1.2869,0.0229,0.0028,0.0084,0.0059,0.008,0.0133,0.014,0.0172,0.0128,0.0125,0.0138,0.0094,0.0136,0.1319,0.0074,0.0035,0.0615,0.0051,0.0037,0.008,0.006,0.0048,0.0052,0.0035,0.0038,0.0042,0.0065,0.0026,0.0036,0.0033,0.0067,0.0057,0.0038,0.005,0.0093,0.0023,0
"TTL_C17_18",0.0041,0.0044,0.0044,0.0073,0.0073,0.0115,0.0131,0.0183,1.1813,0.0062,0.0108,0.0122,0.0131,0.0145,0.0135,0.0139,0.0146,0.0133,0.0125,0.0138,0.0123,0.0165,0.0048,0.0055,0.0101,0.0157,0.0157,0.0232,0.0115,0.0161,0.0353,0.0139,0.0384,0.0168,0.032,0.0216,0.006,0.0259,0.0302,0.0127,0.0229,0.0127,0.016,0.0104,0
"TTL_C19",0.0681,0.1177,0.0259,0.1417,0.0814,0.1003,0.1046,0.1428,0.1357,1.1051,0.3163,0.1588,0.1784,0.1917,0.2136,0.1768,0.0996,0.1312,0.1248,0.1099,0.1001,0.1416,0.206,0.086,0.161,0.0671,0.3539,0.0989,0.2606,0.2264,0.2189,0.0755,0.0988,0.0418,0.0571,0.0301,0.1108,0.0601,0.0936,0.0661,0.0427,0.0629,0.0924,0.0405,0
