"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.3423,0.4049,0.1165,0.0262,0.0332,0.5462,0.1311,0.1647,0.1405,0.1389,0.4114,0.1969,0.0646,0.0537,0.0975,0.0773,0.0456,0.0877,0.0747,0.1516,0.1241,0.049,0.0375,0.0566,0.1577,0.2756,0.1005,0.1944,0.0363,0.0451,0.0277,0.4038,0.0292,0.0443,0.0427,0.0155,0.0052,0.0202,0.0966,0.0218,0.0412,0.0764,0.015,0.0525,0
"TTL_A03",2e-04,1.0299,1e-04,1e-04,1e-04,8e-04,4e-04,3e-04,4e-04,2e-04,3e-04,2e-04,1e-04,1e-04,3e-04,3e-04,2e-04,3e-04,3e-04,4e-04,3e-04,2e-04,1e-04,2e-04,3e-04,0.0015,5e-04,6e-04,2e-04,2e-04,1e-04,0.0138,1e-04,2e-04,2e-04,1e-04,0,1e-04,3e-04,1e-04,2e-04,3e-04,1e-04,2e-04,0
"TTL_B05_06",0.0071,0.0089,1.1489,0.0257,0.1147,0.0142,0.027,0.0235,0.022,0.4697,0.0126,0.0057,0.5127,0.3648,0.1088,0.0678,0.0177,0.075,0.0617,0.0314,0.0236,0.0249,0.0279,0.0405,0.0686,0.0706,0.0386,0.0426,0.0117,0.0132,0.0118,0.0121,0.0073,0.0153,0.0148,0.0049,0.0018,0.0059,0.0151,0.0085,0.0099,0.0106,0.003,0.01,0
"TTL_B07_08",0,1e-04,3e-04,1.0131,0.0039,1e-04,5e-04,9e-04,0.0031,6e-04,0.0036,3e-04,2e-04,0.0033,0.0176,0.0091,6e-04,0.0099,0.0044,0.094,0.0915,0.0034,0.0088,0.001,0.0117,4e-04,0.0011,2e-04,2e-04,3e-04,3e-04,1e-04,1e-04,3e-04,4e-04,1e-04,0,1e-04,3e-04,3e-04,3e-04,2e-04,1e-04,2e-04,0
"TTL_B09",0,0,0.001,0.0011,1.0028,0,1e-04,1e-04,1e-04,0.0038,0,0,4e-04,4e-04,0.001,3e-04,1e-04,3e-04,2e-04,2e-04,1e-04,1e-04,7e-04,2e-04,4e-04,1e-04,1e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0
"TTL_C10T12",0.0059,0.0091,0.019,0.0077,0.01,1.115,0.0201,0.0333,0.1469,0.0138,0.1501,0.0618,0.0112,0.0137,0.0353,0.0283,0.0174,0.0476,0.0283,0.2209,0.1843,0.0184,0.0203,0.0214,0.0189,0.0595,0.0297,0.2747,0.019,0.0508,0.0168,0.1426,0.0228,0.0162,0.016,0.0068,0.0024,0.0079,0.1274,0.026,0.0234,0.1058,0.0155,0.0578,0
"TTL_C13T15",0,1e-04,3e-04,0.0021,4e-04,1e-04,1.157,0.0032,0.0015,3e-04,2e-04,1e-04,2e-04,3e-04,0.0064,0.0069,3e-04,0.0033,0.0054,0.0028,0.0026,0.0025,4e-04,0.0024,8e-04,4e-04,0.0012,0.0013,3e-04,7e-04,1e-04,1e-04,1e-04,2e-04,2e-04,1e-04,0,1e-04,0.0012,1e-04,4e-04,0.0011,1e-04,2e-04,0
"TTL_C16",0,0,4e-04,0.001,5e-04,0,3e-04,1.0193,0.0058,4e-04,2e-04,0,3e-04,3e-04,0.0049,0.0055,7e-04,0.0117,0.0074,0.0058,0.004,0.0051,0.0019,8e-04,0.0253,1e-04,2e-04,2e-04,1e-04,3e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.0019,0.0013,3e-04,1e-04,1e-04,2e-04,0
"TTL_C17_18",0,1e-04,7e-04,0.0013,6e-04,1e-04,5e-04,0.0018,1.0086,7e-04,7e-04,3e-04,4e-04,9e-04,0.0116,0.0144,0.0017,0.0132,0.0066,0.0074,0.0047,0.0018,0.0023,0.0027,0.0011,3e-04,8e-04,0.0011,0.001,0.0033,0.0102,1e-04,0.003,0.0012,0.0011,5e-04,1e-04,7e-04,0.0077,0.0014,0.001,0.0036,8e-04,0.0013,0
"TTL_C19",2e-04,2e-04,0.0012,0.0077,0.0053,4e-04,0.0071,0.0063,0.0117,1.0021,6e-04,2e-04,7e-04,0.0013,0.0603,0.0323,0.0085,0.0258,0.012,0.0041,0.0028,0.0075,0.0263,0.0446,0.0051,0.0012,0.0205,0.0419,0.0096,0.0024,0.005,5e-04,0.0031,0.0079,0.0077,0.0022,0.001,0.0026,0.006,9e-04,0.0036,0.0035,0.0011,0.002,0
"TTL_C20",2e-04,2e-04,0.0014,0.0041,0.0034,3e-04,0.0098,0.024,0.0733,0.0024,1.0016,3e-04,0.0012,0.0025,0.0536,0.0435,0.003,0.0372,0.0177,0.0138,0.0075,0.0096,0.0115,0.0188,0.004,6e-04,0.002,0.0012,0.0186,0.0043,0.0014,4e-04,0.0018,0.0014,0.0016,5e-04,2e-04,9e-04,0.0171,4e-04,0.0276,0.0055,0.0024,0.0028,0
"TTL_C21",0,0,2e-04,1e-04,2e-04,0,2e-04,4e-04,0.0012,2e-04,0,1,1e-04,1e-04,0.001,8e-04,2e-04,8e-04,4e-04,3e-04,2e-04,2e-04,3e-04,4e-04,2e-04,0,1e-04,1e-04,4e-04,1e-04,1e-04,0,1e-04,2e-04,3e-04,1e-04,0,2e-04,3e-04,0,5e-04,0.0011,1e-04,1e-04,0
"TTL_C22",1e-04,2e-04,8e-04,5e-04,0.0015,5e-04,0.0013,0.0015,7e-04,9e-04,3e-04,1e-04,1.0005,0.004,0.0012,9e-04,0.0013,0.0011,0.0012,6e-04,5e-04,0.005,0.002,0.0045,0.0224,0.0011,0.0066,0.0012,0.001,0.0083,8e-04,3e-04,8e-04,0.0013,0.0014,5e-04,2e-04,5e-04,0.0018,0.0036,0.0027,0.0015,7e-04,0.0031,0
