"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1956,0.01,0.0014,0.0079,0.005,0.3124,0.0206,0.0441,0.0091,0.006,0.0103,0.0217,0.0285,0.0084,0.0065,0.0057,0.0119,0.0065,0.0062,0.0061,0.0078,0.0091,0.005,0.0066,0.0074,0.0064,0.0059,0.0086,0.0107,0.0069,0.0028,0.0718,0.0054,0.004,0.0033,0.0025,0.0027,0.0044,0.0115,0.0065,0.0019,0.0136,0.0217,0.0093,0
"TTL_A03",0.0012,1.0116,0,1e-04,1e-04,0.0041,2e-04,1e-04,1e-04,1e-04,3e-04,6e-04,2e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,3e-04,1e-04,1e-04,1e-04,0.0023,1e-04,1e-04,0,0,0,1e-04,1e-04,1e-04,0,5e-04,4e-04,2e-04,0
"TTL_B05_06",0.0351,0.0264,1.0197,0.0389,0.0513,0.0252,0.0342,0.021,0.0259,0.6826,0.1277,0.0167,0.0436,0.0459,0.0767,0.0278,0.0152,0.0322,0.0193,0.0212,0.0204,0.0184,0.2128,0.0211,0.0212,0.0138,0.0616,0.0449,0.0695,0.0174,0.01,0.0219,0.0097,0.0101,0.0066,0.0061,0.0129,0.0095,0.0146,0.0104,0.0087,0.0103,0.0253,0.025,0
"TTL_B07_08",0.0029,0.0021,0.0085,1.1307,0.0395,0.0021,0.0038,0.0024,0.0022,0.0063,0.012,0.0014,0.0042,0.0738,0.0497,0.0107,0.0019,0.0059,0.0053,0.0041,0.0068,0.0032,0.0031,0.0017,0.0143,9e-04,0.0012,0.0012,0.0016,0.0012,5e-04,0.0011,8e-04,0.001,5e-04,4e-04,0.0026,0.001,8e-04,0.0024,5e-04,7e-04,0.001,0.001,0
"TTL_B09",0.0018,0.0014,0.0432,0.0116,1.102,0.0013,0.0026,0.0013,0.0014,0.0291,0.0058,9e-04,0.0023,0.0033,0.0252,0.0054,0.0012,0.0034,0.0025,0.0023,0.0027,0.0017,0.0095,0.0013,0.0073,8e-04,0.0028,0.0022,0.0033,0.0012,6e-04,0.0011,6e-04,8e-04,5e-04,4e-04,0.0015,8e-04,8e-04,0.001,5e-04,6e-04,0.0013,0.0012,0
"TTL_C10T12",0.1207,0.0244,0.0015,0.0163,0.0077,1.2138,0.0154,0.0097,0.0118,0.0123,0.0181,0.0645,0.0151,0.0131,0.0075,0.0065,0.0124,0.0072,0.007,0.0065,0.0076,0.0176,0.0073,0.0131,0.0067,0.0075,0.0057,0.008,0.0124,0.0054,0.0035,0.1878,0.0078,0.005,0.0047,0.0049,0.003,0.007,0.0095,0.0074,0.0034,0.0267,0.0603,0.013,0
"TTL_C13T15",0.0022,0.0397,4e-04,0.0013,9e-04,0.0036,1.2101,0.0046,0.0121,8e-04,0.004,0.0026,0.0169,0.0071,0.0019,0.004,0.0019,0.0024,0.0028,0.007,0.0034,0.0124,0.001,0.0015,0.0024,0.0013,0.0015,0.0017,0.0021,0.0022,0.0021,0.0025,0.0023,0.001,7e-04,5e-04,7e-04,9e-04,0.0013,0.0016,4e-04,0.0029,0.0016,0.0035,0
"TTL_C16",0.0044,0.0026,6e-04,0.0041,0.0027,0.0042,0.0041,1.2033,0.0066,0.0016,0.0036,0.005,0.0074,0.0088,0.0045,0.0066,0.0035,0.0044,0.0052,0.0053,0.0096,0.0175,0.0036,0.0044,0.029,0.0023,0.0024,0.0029,0.0042,0.0044,0.0013,0.0027,0.0028,0.0026,0.0015,0.0011,0.0067,0.0024,0.0039,0.0034,0.0013,0.0016,0.0023,0.0081,0
"TTL_C17_18",0.0136,0.0264,0.0028,0.0225,0.0174,0.0461,0.0317,0.0209,1.3773,0.0069,0.0218,0.0286,0.0273,0.0256,0.0183,0.0245,0.0216,0.0201,0.0224,0.0194,0.0205,0.0213,0.0109,0.0183,0.0141,0.0189,0.0133,0.0139,0.0183,0.0141,0.009,0.0229,0.1537,0.0161,0.0149,0.0131,0.0092,0.0245,0.0201,0.0172,0.0144,0.0293,0.018,0.0167,0
"TTL_C19",0.0147,0.0323,0.0023,0.0197,0.0106,0.0121,0.0177,0.0129,0.0114,1.0464,0.0695,0.0092,0.0233,0.0195,0.0155,0.0117,0.0111,0.0252,0.0107,0.0131,0.0122,0.0122,0.0184,0.016,0.013,0.0089,0.0843,0.0608,0.0975,0.0142,0.0111,0.0073,0.0058,0.0055,0.0048,0.0033,0.0049,0.0057,0.015,0.0058,0.0037,0.0042,0.0096,0.0106,0
"TTL_C20",0.0347,0.0191,0.0032,0.0293,0.0156,0.0279,0.1523,0.0393,0.0595,0.0334,1.3475,0.067,0.2604,0.0663,0.0241,0.0277,0.0201,0.0369,0.0248,0.0345,0.0286,0.0369,0.0137,0.0219,0.029,0.0108,0.0158,0.0125,0.0162,0.0076,0.0047,0.0113,0.0139,0.0081,0.0054,0.0044,0.0085,0.0103,0.0096,0.0084,0.0044,0.0123,0.0093,0.028,0
"TTL_C21",0.0034,0.0012,3e-04,0.0018,0.0012,0.004,0.004,0.003,0.0028,0.0011,0.005,1.0328,0.0042,0.0029,0.0017,0.002,0.004,0.0022,0.0024,0.002,0.0023,0.0022,0.001,0.0012,0.0021,0.0015,9e-04,0.0012,0.0011,9e-04,5e-04,0.0018,0.0015,0.0016,8e-04,7e-04,7e-04,0.0025,8e-04,0.002,6e-04,0.0109,0.0011,0.0011,0
"TTL_C22",0.0092,0.0049,9e-04,0.0052,0.0036,0.0165,0.0235,0.0368,0.0301,0.0032,0.0139,0.0096,1.0622,0.0302,0.009,0.0194,0.0094,0.0254,0.0297,0.0469,0.0314,0.0252,0.0046,0.0054,0.0249,0.0074,0.0145,0.0048,0.006,0.0043,0.002,0.0057,0.007,0.0045,0.0027,0.0027,0.0061,0.0048,0.005,0.0044,0.0019,0.0051,0.0045,0.007,0
"TTL_C23",0.0053,0.0026,9e-04,0.0114,0.0077,0.0089,0.0041,0.014,0.0033,0.002,0.0043,0.0039,0.0059,1.1196,0.0079,0.0095,0.0052,0.0105,0.0064,0.0065,0.01,0.0066,0.0068,0.0041,0.0716,0.0025,0.0023,0.0024,0.0032,0.0046,0.0013,0.0049,0.0024,0.0036,0.0015,0.0016,0.0123,0.0035,0.0019,0.0067,0.002,0.0025,0.0047,0.004,0
"TTL_C24",0.0061,0.006,0.0016,0.0071,0.0053,0.0077,0.0078,0.0169,0.0094,0.0033,0.0114,0.0041,0.0149,0.03,1.203,0.2249,0.0207,0.104,0.0839,0.0684,0.0742,0.0323,0.006,0.0129,0.0329,0.0051,0.0042,0.0055,0.0091,0.0045,0.0021,0.0037,0.0032,0.0067,0.0024,0.0018,0.0079,0.0041,0.0025,0.0058,0.0022,0.0023,0.0032,0.0036,0
"TTL_C25",0.0154,0.015,0.0026,0.0162,0.0124,0.0226,0.0185,0.0418,0.0154,0.0071,0.0188,0.0096,0.0152,0.0186,0.0228,1.0993,0.0179,0.0206,0.1408,0.0679,0.1297,0.0551,0.0143,0.0231,0.0711,0.0089,0.0094,0.0136,0.0234,0.0102,0.0046,0.0088,0.0064,0.0097,0.0048,0.0035,0.0121,0.0094,0.0058,0.0156,0.0041,0.005,0.0071,0.0078,0
"TTL_C26",0.0163,0.0217,0.0032,0.0174,0.0155,0.0165,0.0169,0.0149,0.017,0.0083,0.0171,0.0114,0.0156,0.02,0.0256,0.0189,1.0874,0.0422,0.0633,0.0247,0.0654,0.0308,0.0146,0.016,0.0214,0.0112,0.0126,0.0178,0.0282,0.0127,0.0083,0.0108,0.0144,0.0913,0.0288,0.0085,0.0078,0.0136,0.0089,0.0112,0.0043,0.0111,0.0108,0.0101,0
"TTL_C27",0.006,0.0061,0.0015,0.0087,0.0079,0.007,0.0069,0.0074,0.0072,0.0035,0.0066,0.0051,0.007,0.0104,0.0107,0.0132,0.0238,1.1687,0.0358,0.0228,0.0376,0.0184,0.0069,0.0072,0.0244,0.0056,0.0056,0.0078,0.0099,0.0062,0.004,0.0046,0.0044,0.0252,0.0042,0.0051,0.0057,0.0066,0.0038,0.0061,0.0024,0.0032,0.0055,0.0054,0
