"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0908,0.0347,0.0012,0.0068,0.006,0.1551,0.041,0.174,0.0485,0.0064,0.0107,0.004,0.009,0.0093,0.0057,0.0121,0.0066,0.0067,0.0076,0.0066,0.007,0.0123,0.0047,0.0071,0.02,0.0121,0.0042,0.0063,0.0061,0.0071,0.0047,0.0378,0.0132,0.0103,0.0059,0.0028,0.0066,0.0076,0.0097,0.0062,0.0031,0.0055,0.0075,0.0068,0
"TTL_A03",0.0176,1.079,4e-04,0.0022,0.0014,0.1198,0.0056,0.0045,0.0025,0.0014,0.003,0.0014,0.0021,0.0022,0.0015,0.0018,0.0016,0.0017,0.0025,0.0016,0.0021,0.0021,9e-04,0.0012,0.0015,0.0017,9e-04,0.0028,0.0025,0.002,0.0011,0.0367,0.0023,0.0022,0.0017,8e-04,7e-04,0.0016,0.0026,0.0014,8e-04,0.0035,0.0013,0.0011,0
"TTL_B05_06",0.0245,0.0369,1.0096,0.0511,0.0518,0.0261,0.0189,0.0257,0.0336,0.4642,0.049,0.0085,0.0268,0.0635,0.0483,0.0305,0.0156,0.0351,0.0473,0.0258,0.0387,0.024,0.0181,0.0209,0.0239,0.0199,0.053,0.0888,0.0702,0.0422,0.0241,0.0142,0.0136,0.0204,0.0084,0.0063,0.0123,0.0111,0.0186,0.012,0.0061,0.0076,0.01,0.013,0
"TTL_B07_08",0.0029,0.0026,0.0012,1.0385,0.0089,0.0032,0.0028,0.0038,0.0043,0.0026,0.0232,0.0054,0.0072,0.0361,0.0373,0.0078,0.002,0.0091,0.0056,0.0088,0.0105,0.0046,7e-04,0.0042,0.0066,0.0013,0.0022,0.0025,0.0018,0.0027,0.0025,0.0017,0.0018,0.0018,7e-04,5e-04,0.0016,0.0011,0.0014,0.0015,6e-04,8e-04,0.0026,0.0015,0
"TTL_B09",0.0049,0.016,0.0542,0.0557,1.1081,0.0052,0.0032,0.004,0.0066,0.1355,0.0115,0.0015,0.0055,0.0158,0.011,0.0048,0.0023,0.0059,0.005,0.0047,0.0045,0.0036,0.0106,0.0045,0.0123,0.0035,0.0091,0.0142,0.011,0.008,0.0027,0.003,0.0024,0.0034,0.0013,0.001,0.003,0.002,0.0031,0.0027,0.0013,0.0015,0.0023,0.0026,0
"TTL_C10T12",0.1889,0.268,0.0018,0.0096,0.0084,1.3802,0.0494,0.0363,0.0156,0.0087,0.0225,0.0071,0.013,0.012,0.0079,0.0086,0.0085,0.0087,0.0092,0.0085,0.0093,0.0111,0.0041,0.0069,0.0092,0.0105,0.0045,0.0133,0.0146,0.0112,0.0039,0.2413,0.0107,0.013,0.0088,0.0044,0.0046,0.0094,0.016,0.0094,0.0049,0.0187,0.0071,0.0068,0
"TTL_C13T15",0.0021,0.0068,0.0014,0.0037,0.003,0.0035,1.0952,0.0031,0.0029,0.0022,0.0032,6e-04,0.0055,0.0032,0.003,0.0033,0.0028,0.0031,0.0042,0.0038,0.0039,0.0148,0.0019,0.0071,0.0042,0.003,0.0018,0.0038,0.0024,0.0034,0.0013,0.0044,0.0043,0.003,0.0015,9e-04,0.0016,0.0037,0.0039,0.0021,0.0011,0.0039,0.0129,0.0085,0
"TTL_C16",0.0069,0.0082,0.0016,0.0098,0.009,0.0089,0.0083,1.2201,0.0229,0.0074,0.0115,0.0017,0.0095,0.0119,0.0081,0.0094,0.0066,0.0082,0.0104,0.0091,0.0101,0.0362,0.0048,0.0198,0.0808,0.0126,0.0049,0.0065,0.0065,0.0084,0.0042,0.0074,0.0069,0.0128,0.0039,0.003,0.0252,0.0051,0.005,0.0099,0.004,0.0035,0.016,0.0076,0
"TTL_C17_18",0.0148,0.0379,0.0024,0.0155,0.0135,0.0313,0.0194,0.016,1.2696,0.0307,0.0202,0.0132,0.0288,0.0251,0.0122,0.0113,0.0112,0.0164,0.0148,0.0128,0.0123,0.0149,0.0056,0.0125,0.0133,0.0321,0.0114,0.0121,0.0114,0.0153,0.0573,0.0222,0.1671,0.0156,0.0087,0.0065,0.0077,0.0252,0.0161,0.0124,0.0097,0.0076,0.0237,0.0292,0
"TTL_C19",0.0192,0.0302,0.0037,0.0314,0.0328,0.0163,0.0126,0.0136,0.0166,1.1381,0.0328,0.0052,0.0188,0.045,0.024,0.0135,0.0082,0.0226,0.0119,0.0142,0.0108,0.0124,0.0057,0.0153,0.0153,0.0157,0.0485,0.0826,0.0656,0.0348,0.0093,0.0096,0.0083,0.0098,0.0051,0.0036,0.01,0.0074,0.0137,0.0072,0.0046,0.0058,0.0058,0.0084,0
"TTL_C20",0.0574,0.0183,0.0049,0.0459,0.0359,0.0321,0.0521,0.0437,0.0529,0.0297,1.2636,0.0047,0.2626,0.0355,0.0295,0.0332,0.0158,0.058,0.0279,0.0811,0.0246,0.0373,0.0054,0.0332,0.03,0.0116,0.0139,0.0197,0.0127,0.0143,0.0076,0.0221,0.017,0.0129,0.006,0.0045,0.0099,0.016,0.0199,0.0078,0.0081,0.0159,0.0161,0.0369,0
"TTL_C21",0.0037,0.0066,3e-04,0.0049,0.0017,0.0034,0.0061,0.0016,0.0016,0.0061,0.0066,1.0212,0.0046,0.0014,0.0031,0.0014,8e-04,0.0019,0.0013,0.0021,0.0019,0.0014,3e-04,0.0032,0.0011,7e-04,7e-04,0.0012,0.001,9e-04,5e-04,0.0025,7e-04,8e-04,5e-04,4e-04,5e-04,0.001,0.001,6e-04,4e-04,0.0086,7e-04,0.0011,0
"TTL_C22",0.0105,0.0204,0.0021,0.0096,0.0142,0.0203,0.0202,0.01,0.0114,0.0081,0.0108,0.0062,1.0686,0.0129,0.0075,0.0115,0.0094,0.0158,0.0131,0.0224,0.0086,0.0199,0.0041,0.026,0.017,0.0088,0.0146,0.0063,0.0054,0.0089,0.0035,0.0103,0.0063,0.0079,0.003,0.0024,0.0056,0.0066,0.0111,0.0043,0.0042,0.0041,0.0049,0.0075,0
"TTL_C23",0.0066,0.0071,0.0025,0.0096,0.017,0.0072,0.006,0.0231,0.0067,0.0069,0.0115,0.0013,0.0178,1.0944,0.0192,0.0211,0.0071,0.0231,0.0139,0.0199,0.0109,0.0104,0.0033,0.0097,0.0577,0.0056,0.0035,0.0056,0.0056,0.0093,0.0031,0.0113,0.0041,0.0096,0.0028,0.0019,0.0112,0.0043,0.0045,0.0086,0.0039,0.0026,0.0053,0.0043,0
"TTL_C24",0.0112,0.0208,0.0074,0.0275,0.0505,0.0187,0.0385,0.0371,0.0294,0.0151,0.0311,0.0036,0.0381,0.0558,1.7015,0.2556,0.0449,0.3084,0.1489,0.2852,0.1253,0.107,0.0082,0.0966,0.0298,0.0199,0.0137,0.0298,0.0257,0.0603,0.0139,0.0128,0.0126,0.0181,0.0069,0.0052,0.0079,0.0112,0.0152,0.0107,0.0045,0.0077,0.0137,0.0143,0
"TTL_C25",0.0112,0.0223,0.0073,0.0246,0.0319,0.0182,0.0228,0.0268,0.0174,0.0128,0.0172,0.0028,0.02,0.0356,0.0189,1.0616,0.0224,0.0291,0.0644,0.0443,0.0896,0.0703,0.0082,0.0274,0.0344,0.0148,0.0112,0.0221,0.018,0.0275,0.0098,0.0142,0.0101,0.0167,0.006,0.0046,0.0077,0.0141,0.014,0.0095,0.0041,0.0064,0.011,0.0191,0
"TTL_C26",0.0064,0.0087,0.0027,0.0152,0.0118,0.0088,0.0079,0.0096,0.0108,0.006,0.0092,0.0032,0.0094,0.0115,0.0115,0.0125,1.1807,0.0323,0.0328,0.0113,0.0187,0.0216,0.0063,0.0075,0.0106,0.0068,0.0056,0.0084,0.0079,0.0092,0.0061,0.0067,0.0132,0.0236,0.0065,0.0061,0.004,0.031,0.0199,0.0094,0.0044,0.0102,0.0091,0.0085,0
"TTL_C27",0.0075,0.0113,0.0027,0.0163,0.0101,0.0095,0.009,0.012,0.0122,0.0058,0.0138,0.0017,0.0105,0.0123,0.0302,0.0191,0.0483,1.103,0.0345,0.0213,0.0395,0.0333,0.0116,0.0091,0.0272,0.0062,0.0066,0.0097,0.0085,0.0118,0.0068,0.0084,0.0071,0.0156,0.0039,0.0039,0.0047,0.0071,0.0086,0.0074,0.0032,0.0044,0.0163,0.0092,0
"TTL_C28",0.0174,0.0285,0.0144,0.0696,0.0293,0.0378,0.0228,0.0471,0.0664,0.0171,0.0448,0.0063,0.0329,0.0522,0.0332,0.0601,0.031,0.0445,1.1424,0.0377,0.0848,0.0403,0.0074,0.018,0.031,0.0153,0.0219,0.0271,0.0281,0.0294,0.0551,0.0152,0.0192,0.0394,0.0103,0.0079,0.0084,0.0121,0.0172,0.0182,0.0051,0.0066,0.0145,0.0143,0
