"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.2474,0.065,0.009,0.0247,0.0138,0.4844,0.1707,0.2811,0.1434,0.0128,0.0362,0.0899,0.0415,0.0225,0.0193,0.017,0.023,0.0282,0.0161,0.0186,0.0157,0.0345,0.0082,0.0116,0.0282,0.0222,0.014,0.0236,0.0178,0.0124,0.0099,0.0863,0.0417,0.0127,0.0066,0.0082,0.0099,0.0199,0.0232,0.028,0.0096,0.022,0.046,0.016,0
"TTL_A03",0.0102,1.2522,0.0026,0.0063,0.0067,0.0428,0.0087,0.0051,0.0061,0.0029,0.0053,0.0134,0.0049,0.0035,0.0033,0.0027,0.0032,0.0045,0.0023,0.0026,0.002,0.0046,0.0019,0.0025,0.003,0.0049,0.0027,0.0059,0.0088,0.0022,0.002,0.0189,0.0094,0.0034,0.0019,0.0058,0.002,0.0029,0.0052,0.0026,0.0016,0.0027,0.0041,0.0025,0
"TTL_B05_06",0.0414,0.0736,1.0875,0.1383,0.0782,0.0437,0.0456,0.043,0.0546,0.6636,0.1946,0.0555,0.0595,0.0745,0.1274,0.0569,0.0361,0.0511,0.0446,0.0378,0.0288,0.0423,0.1301,0.0336,0.0625,0.0438,0.1077,0.0836,0.1653,0.0271,0.0188,0.0242,0.0415,0.0188,0.0097,0.0083,0.0157,0.0147,0.0192,0.0185,0.0174,0.0202,0.0217,0.0201,0
"TTL_B07_08",0.0046,0.0018,0.0026,1.0152,0.0069,0.006,0.0145,0.0037,0.0034,0.0026,0.0274,0.0059,0.0097,0.0317,0.0358,0.0113,0.0084,0.0121,0.0091,0.0058,0.0036,0.0103,0.0011,0.0041,0.0122,0.0015,0.0019,0.0022,0.0018,0.0011,0.001,0.0033,0.0025,0.0017,6e-04,9e-04,0.0017,0.0011,0.0015,0.0011,0.001,0.0011,0.0013,0.0016,0
"TTL_B09",0.0034,0.0047,0.0454,0.0649,1.0536,0.0048,0.0093,0.004,0.0046,0.0347,0.0146,0.0063,0.006,0.0078,0.0261,0.0133,0.0041,0.0073,0.009,0.0063,0.0036,0.0068,0.0067,0.003,0.0071,0.0048,0.0064,0.0054,0.0098,0.002,0.0016,0.0025,0.0035,0.002,9e-04,9e-04,0.0017,0.0021,0.0027,0.0025,0.0022,0.0017,0.0021,0.002,0
"TTL_C10T12",0.0429,0.108,0.0092,0.0317,0.0155,1.1281,0.099,0.0393,0.0582,0.0158,0.0631,0.1738,0.0601,0.026,0.0251,0.0205,0.0311,0.0422,0.0179,0.0227,0.0181,0.0217,0.0081,0.0135,0.0178,0.0233,0.013,0.0322,0.0208,0.013,0.0121,0.1398,0.0652,0.0133,0.0065,0.0066,0.0085,0.0115,0.0152,0.0122,0.0098,0.0246,0.0202,0.0122,0
"TTL_C13T15",0.0035,0.0098,0.0019,0.005,0.0032,0.0041,1.123,0.0037,0.0063,0.0027,0.0036,0.0126,0.0062,0.0032,0.0054,0.0037,0.0116,0.0046,0.0031,0.0073,0.0038,0.0206,0.0016,0.002,0.006,0.0078,0.003,0.0038,0.0039,0.0023,0.0015,0.0029,0.0039,0.0026,0.0011,0.0011,0.004,0.002,0.0027,0.0032,0.0025,0.0025,0.0028,0.0078,0
"TTL_C16",0.0094,0.0049,0.0047,0.0095,0.0059,0.009,0.0076,1.1997,0.0485,0.0056,0.0073,0.0097,0.0121,0.025,0.012,0.0148,0.0069,0.0137,0.0088,0.0107,0.016,0.0783,0.0042,0.0045,0.0561,0.0137,0.0043,0.0059,0.0059,0.0046,0.0031,0.0052,0.0083,0.0049,0.002,0.0025,0.0086,0.0051,0.0047,0.0036,0.0049,0.0031,0.0055,0.0094,0
"TTL_C17_18",0.0151,0.015,0.0064,0.0241,0.0089,0.0221,0.0212,0.0219,1.1451,0.0095,0.0348,0.0547,0.0385,0.0178,0.0168,0.0122,0.0249,0.0197,0.0099,0.0122,0.0108,0.0208,0.0066,0.0091,0.0123,0.0113,0.0075,0.0148,0.015,0.01,0.013,0.0171,0.0634,0.0133,0.0066,0.008,0.0082,0.0194,0.0128,0.009,0.0124,0.0088,0.0212,0.0164,0
"TTL_C19",0.0372,0.0929,0.0302,0.0976,0.036,0.0363,0.0312,0.0328,0.037,1.0467,0.0365,0.0329,0.0299,0.0458,0.0445,0.0284,0.0236,0.0295,0.023,0.0232,0.0211,0.0327,0.0172,0.0279,0.0498,0.0213,0.15,0.1051,0.2353,0.031,0.0193,0.0176,0.0386,0.0142,0.0097,0.007,0.0108,0.0114,0.0179,0.0155,0.0121,0.0122,0.0212,0.0185,0
"TTL_C20",0.055,0.0145,0.0087,0.0689,0.0121,0.036,0.0548,0.0534,0.0602,0.0127,1.177,0.1387,0.1872,0.0343,0.0227,0.0159,0.0643,0.0605,0.0162,0.0282,0.0226,0.0289,0.0054,0.0158,0.0233,0.0121,0.0178,0.0144,0.0195,0.009,0.0107,0.0171,0.0448,0.0119,0.0048,0.0038,0.0085,0.0089,0.0116,0.0103,0.0071,0.0133,0.0127,0.0111,0
