"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.3321,0.0921,0.0199,0.0227,0.0248,0.6235,0.1218,0.3579,0.0875,0.0178,0.0839,0.0763,0.0738,0.0242,0.0196,0.0194,0.0247,0.0251,0.0211,0.0239,0.0205,0.0679,0.0235,0.0269,0.0413,0.0324,0.0173,0.02,0.0248,0.0221,0.0163,0.2691,0.0301,0.0161,0.0187,0.0127,0.0099,0.0215,0.0298,0.0316,0.0287,0.0387,0.0495,0.0494,0
"TTL_A03",0.001,1.0911,6e-04,6e-04,8e-04,0.0117,7e-04,8e-04,6e-04,6e-04,9e-04,0.001,7e-04,5e-04,5e-04,4e-04,6e-04,5e-04,5e-04,5e-04,4e-04,6e-04,5e-04,5e-04,5e-04,6e-04,5e-04,8e-04,8e-04,6e-04,4e-04,0.0132,7e-04,5e-04,6e-04,3e-04,2e-04,5e-04,5e-04,8e-04,6e-04,8e-04,0.0012,0.001,0
"TTL_B05_06",0.0325,0.071,1.1808,0.132,0.1166,0.0368,0.05,0.0465,0.0789,0.7729,0.1586,0.0692,0.0968,0.1381,0.1718,0.0845,0.0598,0.0824,0.0667,0.0644,0.0565,0.0568,0.5001,0.094,0.0725,0.0426,0.15,0.124,0.2012,0.074,0.0666,0.0359,0.0387,0.0332,0.0254,0.0195,0.0186,0.0316,0.0348,0.0462,0.0373,0.0385,0.0543,0.0651,0
"TTL_B07_08",9e-04,0.001,0.0037,1.0261,0.009,0.0011,0.0015,0.0016,0.0025,0.0031,0.0079,0.0031,0.0045,0.0418,0.0506,0.0169,0.006,0.0134,0.0106,0.0088,0.0075,0.0056,0.0033,0.0039,0.019,0.001,0.0013,0.0011,0.0014,0.0014,8e-04,8e-04,0.001,9e-04,7e-04,4e-04,0.0011,0.001,9e-04,0.0012,8e-04,0.001,0.0012,0.002,0
"TTL_B09",0.0011,0.003,0.0336,0.0196,1.0378,0.0013,0.0017,0.0016,0.0028,0.0257,0.0057,0.0024,0.0034,0.0069,0.0082,0.0037,0.0023,0.0034,0.0027,0.0025,0.0022,0.0021,0.0153,0.0034,0.0043,0.0014,0.0051,0.0041,0.0067,0.0026,0.0022,0.0012,0.0013,0.0011,9e-04,7e-04,7e-04,0.0012,0.0013,0.0016,0.0012,0.0013,0.0018,0.0022,0
"TTL_C10T12",0.0411,0.0451,0.0036,0.0047,0.0046,1.083,0.0136,0.0143,0.0114,0.0037,0.0263,0.0257,0.0156,0.0056,0.0048,0.0046,0.0063,0.0064,0.0051,0.0054,0.0045,0.0078,0.004,0.0068,0.0056,0.0079,0.0042,0.0069,0.0076,0.0058,0.004,0.1529,0.0082,0.0041,0.0055,0.0038,0.0019,0.0058,0.0068,0.0104,0.0135,0.0165,0.0191,0.016,0
"TTL_C13T15",0.0032,0.0085,0.0055,0.0062,0.0073,0.0049,1.3035,0.0072,0.0144,0.005,0.0101,0.0118,0.0194,0.008,0.0067,0.008,0.011,0.0101,0.0099,0.0171,0.0106,0.0303,0.0054,0.0104,0.0094,0.008,0.0053,0.005,0.0071,0.006,0.0075,0.0064,0.0083,0.0047,0.0048,0.0029,0.0018,0.0068,0.0083,0.011,0.0058,0.0121,0.0158,0.025,0
"TTL_C16",0.0021,0.003,0.003,0.005,0.0035,0.003,0.0041,1.177,0.0239,0.0024,0.0047,0.0043,0.0074,0.0098,0.0047,0.0076,0.0058,0.0077,0.0063,0.009,0.0111,0.0912,0.0052,0.0047,0.0427,0.0037,0.0027,0.0026,0.0033,0.0045,0.0026,0.0025,0.0053,0.0023,0.0024,0.0015,0.0046,0.0032,0.0033,0.003,0.003,0.0036,0.0051,0.0101,0
"TTL_C17_18",0.004,0.0063,0.0046,0.0066,0.0063,0.0156,0.0155,0.0147,1.2961,0.0043,0.0184,0.0354,0.0252,0.0188,0.0076,0.0095,0.0191,0.0178,0.0111,0.0111,0.0083,0.0223,0.0056,0.0109,0.01,0.0148,0.0062,0.0055,0.0066,0.0111,0.0201,0.0095,0.1295,0.0121,0.0197,0.0135,0.0039,0.0225,0.0164,0.0148,0.0187,0.0118,0.0197,0.0215,0
"TTL_C19",0.0242,0.068,0.0351,0.066,0.0561,0.023,0.0258,0.0275,0.0329,1.06,0.0794,0.0371,0.051,0.0568,0.0472,0.031,0.0288,0.0369,0.0275,0.0291,0.0246,0.0307,0.0455,0.0501,0.0408,0.0293,0.152,0.1311,0.2198,0.0584,0.0561,0.018,0.021,0.015,0.0151,0.0118,0.0073,0.0192,0.0248,0.0272,0.0163,0.0195,0.0249,0.0372,0
