"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1174,0.0058,0.003,0.003,0.0021,0.2943,0.0504,0.1463,0.0064,0.0027,0.0136,0.025,0.0145,0.0028,0.0024,0.0037,0.0038,0.0027,0.0082,0.0052,0.0053,0.0523,0.0017,0.003,0.0113,0.002,0.0024,0.0021,0.0046,0.0018,0.0042,0.134,0.0034,0.0029,0.0036,0.0021,0.0016,0.004,0.0035,0.0128,0.0022,0.0073,0.0123,0.0264,0
"TTL_A03",0.0029,1.0043,4e-04,4e-04,4e-04,0.0689,0.0011,7e-04,0.001,4e-04,0.0017,0.0016,0.0013,4e-04,3e-04,6e-04,6e-04,4e-04,0.001,5e-04,5e-04,0.0012,3e-04,5e-04,6e-04,3e-04,4e-04,4e-04,0.0011,3e-04,7e-04,0.0234,6e-04,6e-04,6e-04,3e-04,1e-04,6e-04,5e-04,0.0027,3e-04,0.0013,0.0023,0.0036,0
"TTL_B05_06",0.015,0.1389,1.0457,0.0637,0.0598,0.066,0.0333,0.0466,0.0444,0.835,0.0517,0.0295,0.0535,0.262,0.0557,0.0527,0.0323,0.0439,0.0342,0.0348,0.029,0.034,0.2238,0.0523,0.0679,0.0401,0.1864,0.1139,0.1497,0.0823,0.0886,0.0333,0.0219,0.0151,0.0106,0.0104,0.0063,0.021,0.0205,0.0422,0.0108,0.0169,0.0271,0.024,0
"TTL_B07_08",0.0054,0.0076,0.024,1.0157,0.0061,0.0085,0.0073,0.0065,0.0076,0.0196,0.0338,0.0126,0.0231,0.0773,0.3415,0.0987,0.0311,0.1796,0.0453,0.045,0.0304,0.0378,0.0122,0.0193,0.0461,0.0025,0.006,0.0046,0.0059,0.0036,0.0034,0.0053,0.0036,0.0051,0.0026,0.0031,0.0037,0.0034,0.0038,0.0067,0.0019,0.0048,0.0061,0.0069,0
"TTL_B09",0.0011,0.008,0.0585,0.0232,1.0084,0.004,0.0021,0.0028,0.0028,0.0472,0.0038,0.0021,0.0037,0.0162,0.0116,0.0056,0.0027,0.0068,0.0032,0.0033,0.0026,0.0028,0.0128,0.0035,0.0055,0.0024,0.0106,0.0066,0.009,0.0049,0.0052,0.0021,0.0016,0.0013,8e-04,8e-04,5e-04,0.0015,0.0015,0.0027,8e-04,0.0012,0.002,0.0017,0
"TTL_C10T12",0.0471,0.0108,0.005,0.0046,0.0042,1.1414,0.0157,0.0103,0.0145,0.0045,0.025,0.0248,0.0186,0.0046,0.004,0.0066,0.0071,0.0047,0.0118,0.0064,0.0058,0.0159,0.0036,0.0059,0.007,0.0039,0.0046,0.0047,0.0114,0.0038,0.0085,0.2753,0.0072,0.0062,0.007,0.0036,0.0012,0.007,0.0059,0.0308,0.004,0.01,0.0308,0.0458,0
"TTL_C13T15",0.0049,0.0268,0.003,0.0028,0.0026,0.0101,1.4381,0.0098,0.019,0.0028,0.0159,0.0285,0.0239,0.0044,0.0025,0.0077,0.0069,0.0034,0.008,0.0078,0.007,0.0405,0.0019,0.0033,0.0091,0.0032,0.0024,0.0019,0.0038,0.0031,0.0032,0.0159,0.0122,0.0045,0.0034,0.0038,0.0015,0.0217,0.0188,0.0075,0.0033,0.0122,0.0125,0.0102,0
"TTL_C16",0.0026,0.003,0.0014,0.0034,8e-04,0.0027,0.0027,1.2632,0.0067,0.0012,0.0043,0.0019,0.0051,0.0034,0.0019,0.0032,0.0021,0.0022,0.0056,0.0165,0.0208,0.0516,8e-04,0.0042,0.0697,8e-04,8e-04,8e-04,0.0014,9e-04,8e-04,0.0021,0.002,0.0015,0.0011,0.0017,0.0086,0.002,0.0018,0.0041,0.0012,0.0033,0.0025,0.007,0
"TTL_C17_18",0.0088,0.0087,0.0069,0.0071,0.007,0.0335,0.0208,0.0263,1.4578,0.007,0.033,0.0426,0.0355,0.0196,0.0067,0.0199,0.046,0.0139,0.018,0.0265,0.0233,0.0211,0.009,0.0161,0.0149,0.024,0.0084,0.0075,0.0134,0.0144,0.0128,0.0236,0.2473,0.0367,0.0187,0.0268,0.0131,0.0834,0.0435,0.0338,0.0335,0.0165,0.0368,0.032,0
"TTL_C19",0.0143,0.1666,0.0385,0.066,0.018,0.055,0.0299,0.042,0.0403,1.0468,0.0447,0.0266,0.0406,0.0486,0.0471,0.0393,0.0322,0.0393,0.0322,0.0315,0.0267,0.0326,0.0625,0.0409,0.0392,0.0454,0.223,0.1364,0.1788,0.098,0.1056,0.0307,0.0201,0.0146,0.0105,0.0103,0.0043,0.0218,0.0219,0.0454,0.0107,0.0168,0.0246,0.0234,0
