"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0839,0.0424,0.0062,0.0139,0.0178,0.3877,0.0357,0.2012,0.0587,0.0122,0.057,0.1942,0.0586,0.0197,0.0241,0.0283,0.0441,0.0412,0.0201,0.0901,0.0579,0.0411,0.0079,0.014,0.0293,0.0396,0.0226,0.0297,0.0299,0.0203,0.0257,0.1658,0.023,0.0151,0.0202,0.0191,0.0182,0.0258,0.022,0.0204,0.0086,0.0568,0.0314,0.0223,0
"TTL_A03",0.0034,1.049,0.0015,0.0036,0.004,0.0186,0.0071,0.0544,0.0169,0.0026,0.0186,0.0094,0.0146,0.0042,0.0037,0.0054,0.0069,0.0055,0.0048,0.0089,0.0067,0.0219,0.0013,0.0044,0.0047,0.0039,0.0031,0.0049,0.0045,0.0038,0.004,0.0283,0.0046,0.0029,0.003,0.0032,0.0014,0.0064,0.004,0.0032,0.0014,0.0048,0.0061,0.0066,0
"TTL_B05_06",0.0109,0.0312,1.0132,0.0316,0.0277,0.0199,0.0234,0.0298,0.0395,0.5428,0.0617,0.0379,0.0683,0.0976,0.0422,0.039,0.0304,0.0314,0.0344,0.0255,0.033,0.0273,0.0979,0.0135,0.0419,0.0246,0.082,0.059,0.1211,0.0389,0.0836,0.0166,0.0323,0.0124,0.0134,0.0174,0.006,0.0176,0.0157,0.0133,0.0088,0.0137,0.0174,0.0311,0
"TTL_B07_08",0.0024,0.0041,0.0195,1.0354,0.0146,0.0096,0.0049,0.011,0.0069,0.013,0.0105,0.0084,0.0081,0.0598,0.3509,0.1376,0.0348,0.0582,0.0917,0.0393,0.0756,0.035,0.0051,0.0047,0.0471,0.0072,0.0144,0.0195,0.0095,0.0111,0.0104,0.0068,0.0089,0.012,0.0083,0.0034,0.0037,0.006,0.0046,0.004,0.0019,0.0044,0.0047,0.0062,0
"TTL_B09",4e-04,0.005,0.0023,0.0068,1.0113,7e-04,5e-04,0.001,0.0014,0.0104,0.0017,0.001,0.0015,0.0043,0.0032,0.0018,9e-04,0.0011,0.0014,8e-04,0.0012,9e-04,0.0022,7e-04,0.002,5e-04,0.0018,0.0013,0.0024,0.001,0.0017,6e-04,8e-04,4e-04,4e-04,4e-04,2e-04,5e-04,4e-04,4e-04,2e-04,4e-04,4e-04,8e-04,0
"TTL_C10T12",0.059,0.0604,0.0059,0.0157,0.0195,1.1651,0.0395,0.0687,0.0423,0.0136,0.1275,0.1836,0.0372,0.0238,0.0255,0.0224,0.0846,0.0867,0.0249,0.2083,0.0981,0.0378,0.0075,0.0198,0.0319,0.0598,0.0345,0.0477,0.048,0.0243,0.0484,0.3553,0.0311,0.0168,0.0298,0.0254,0.0144,0.0328,0.0268,0.0251,0.0135,0.0761,0.0646,0.0383,0
"TTL_C13T15",0.0031,0.0588,0.004,0.0039,0.0075,0.0077,1.3537,0.0405,0.0228,0.0102,0.0115,0.0138,0.0451,0.0142,0.0076,0.0073,0.0124,0.0078,0.0145,0.0131,0.0215,0.1035,0.0029,0.0033,0.0078,0.0148,0.0083,0.015,0.0099,0.0137,0.0058,0.017,0.033,0.0083,0.0058,0.0044,0.002,0.0075,0.0081,0.01,0.0031,0.0134,0.0146,0.0196,0
"TTL_C16",0.0012,0.0018,0.0018,0.0026,0.0037,0.0022,0.0023,1.1779,0.0106,0.0045,0.0032,0.02,0.0022,0.0202,0.0025,0.0034,0.0034,0.0044,0.0041,0.0029,0.0059,0.0742,0.001,0.0013,0.032,0.0038,0.0041,0.0244,0.0029,0.0048,0.0019,0.002,0.0035,0.003,0.0018,0.0015,0.0021,0.0027,0.0018,0.0025,0.0011,0.0036,0.0016,0.0018,0
"TTL_C17_18",0.0051,0.003,0.0019,0.004,0.0084,0.0129,0.0092,0.0102,1.4207,0.0063,0.0361,0.0249,0.0116,0.0212,0.0058,0.0065,0.0134,0.0136,0.0074,0.0102,0.0108,0.0276,0.0023,0.005,0.0128,0.0074,0.0061,0.0101,0.0126,0.0474,0.0054,0.009,0.0833,0.0061,0.0138,0.0154,0.0047,0.0296,0.0226,0.0247,0.023,0.0111,0.0153,0.0127,0
"TTL_C19",0.0205,0.0608,0.0221,0.0521,0.0424,0.0367,0.0438,0.0562,0.0718,1.0999,0.1207,0.0724,0.1335,0.1798,0.0716,0.0644,0.0555,0.0569,0.0623,0.0464,0.0596,0.0505,0.1193,0.023,0.0633,0.042,0.1632,0.1165,0.2423,0.0764,0.1673,0.0299,0.0587,0.023,0.0246,0.0332,0.0109,0.0325,0.0293,0.0246,0.0158,0.0246,0.0326,0.0575,0
"TTL_C20",0.0629,0.0175,0.0086,0.024,0.0259,0.0415,0.0797,0.0785,0.1583,0.0396,1.2353,0.1655,0.1954,0.0869,0.0292,0.0376,0.0741,0.0729,0.0349,0.0402,0.0551,0.1002,0.0093,0.0768,0.0407,0.0215,0.0319,0.0497,0.0509,0.0426,0.0297,0.0324,0.0888,0.0163,0.0223,0.0288,0.0102,0.0244,0.0167,0.0201,0.0169,0.0389,0.0319,0.2262,0
"TTL_C21",0.0041,8e-04,3e-04,8e-04,0.0015,0.0025,0.0028,0.0036,0.0029,9e-04,0.0094,1.0204,0.004,0.0015,0.0011,0.0015,0.0023,0.0017,0.0014,0.002,0.0019,0.0024,4e-04,0.0015,0.0012,0.0026,9e-04,0.0012,0.0018,0.0012,0.0031,0.0034,0.0077,0.0012,0.0012,0.001,5e-04,0.0015,9e-04,0.0021,0.002,0.0674,0.0015,0.0046,0
"TTL_C22",0.0038,0.0101,0.0029,0.0081,0.0093,0.0104,0.0154,0.0179,0.0224,0.0063,0.0198,0.0164,1.0591,0.029,0.0108,0.0119,0.0165,0.0175,0.0112,0.0413,0.0454,0.028,0.002,0.0043,0.0081,0.0063,0.0289,0.0056,0.0227,0.0058,0.0042,0.0079,0.0108,0.0096,0.0065,0.0036,0.0018,0.0051,0.0053,0.0069,0.0028,0.0061,0.0067,0.0125,0
"TTL_C23",0.0019,0.0021,0.0024,0.0068,0.0085,0.0077,0.0032,0.0034,0.0043,0.0026,0.0106,0.0243,0.0038,1.0921,0.0091,0.007,0.0192,0.0081,0.0071,0.0122,0.0069,0.0092,0.0015,0.005,0.1063,0.0055,0.0062,0.0053,0.0068,0.005,0.0037,0.0048,0.007,0.0039,0.0028,0.0031,0.0082,0.0104,0.0039,0.0048,0.0017,0.0054,0.0041,0.006,0
"TTL_C24",0.0042,0.0082,0.0051,0.0091,0.0254,0.0119,0.0093,0.0297,0.0132,0.0083,0.0124,0.0138,0.0156,0.0184,1.202,0.4567,0.0857,0.1346,0.3058,0.1186,0.2449,0.0542,0.0064,0.0077,0.0674,0.0098,0.038,0.0563,0.0183,0.029,0.0255,0.0113,0.0183,0.0348,0.0235,0.007,0.0084,0.0115,0.0104,0.0071,0.0031,0.007,0.01,0.0115,0
"TTL_C25",0.003,0.0057,0.0026,0.0045,0.0119,0.012,0.0045,0.0324,0.0102,0.0076,0.0149,0.0108,0.0063,0.0082,0.0291,1.0365,0.0456,0.026,0.0308,0.0214,0.0211,0.0217,0.0026,0.0033,0.0274,0.0056,0.0119,0.0129,0.0079,0.0087,0.0069,0.0085,0.0116,0.0185,0.009,0.0035,0.0018,0.0068,0.0052,0.0033,0.0021,0.0047,0.0054,0.0081,0
