"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.2789,0.0838,0.0089,0.0086,0.0054,0.3315,0.0285,0.1747,0.0562,0.0105,0.025,0.0163,0.0298,0.0137,0.0122,0.0123,0.0168,0.0161,0.0133,0.0158,0.0121,0.033,0.0087,0.0084,0.0165,0.0256,0.011,0.0123,0.0135,0.012,0.0056,0.0901,0.012,0.008,0.0065,0.0071,0.0073,0.0102,0.0137,0.0086,0.0078,0.0098,0.0132,0.021,0
"TTL_A03",7e-04,1.051,1e-04,2e-04,1e-04,0.0049,4e-04,3e-04,2e-04,2e-04,3e-04,2e-04,3e-04,2e-04,2e-04,2e-04,3e-04,2e-04,2e-04,2e-04,2e-04,2e-04,1e-04,1e-04,2e-04,5e-04,2e-04,3e-04,3e-04,2e-04,1e-04,0.0033,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,2e-04,2e-04,2e-04,0
"TTL_B05_06",0.0358,0.0364,1.0267,0.0332,0.1081,0.0297,0.0233,0.0307,0.0284,0.2997,0.0701,0.0166,0.0391,0.0521,0.0721,0.0365,0.0272,0.0338,0.0292,0.0279,0.028,0.0233,0.1791,0.0328,0.0273,0.0175,0.0513,0.0279,0.0319,0.0231,0.0138,0.0206,0.0132,0.013,0.0095,0.0148,0.0347,0.0146,0.0184,0.0126,0.0119,0.0122,0.0184,0.0198,0
"TTL_B07_08",0.0195,0.021,0.0154,1.0532,0.0163,0.0167,0.0149,0.0197,0.0155,0.1657,0.078,0.011,0.033,0.0691,0.1705,0.0618,0.0257,0.0456,0.0387,0.0338,0.0314,0.0216,0.0358,0.0235,0.0342,0.0118,0.0306,0.0178,0.0199,0.0141,0.0087,0.011,0.0086,0.0093,0.0064,0.0089,0.013,0.0129,0.0151,0.0094,0.0052,0.0069,0.0131,0.015,0
"TTL_B09",3e-04,3e-04,0.0034,0.0018,1.0397,3e-04,2e-04,3e-04,3e-04,0.0024,7e-04,2e-04,4e-04,5e-04,7e-04,4e-04,3e-04,4e-04,4e-04,3e-04,3e-04,3e-04,0.0011,3e-04,0.0023,2e-04,5e-04,3e-04,3e-04,2e-04,2e-04,2e-04,1e-04,2e-04,1e-04,1e-04,4e-04,3e-04,3e-04,2e-04,1e-04,1e-04,3e-04,2e-04,0
"TTL_C10T12",0.1278,0.0871,0.0125,0.0117,0.0105,1.3161,0.0445,0.0372,0.0266,0.0193,0.0486,0.022,0.0347,0.0193,0.0205,0.0206,0.0295,0.0252,0.0222,0.0251,0.0203,0.0279,0.0138,0.0122,0.0201,0.0451,0.0185,0.025,0.0271,0.0231,0.0088,0.3018,0.0144,0.0142,0.0122,0.0138,0.0104,0.0162,0.0256,0.0138,0.0189,0.0219,0.0213,0.0334,0
"TTL_C13T15",0.0049,0.0098,0.0058,0.0047,0.0026,0.0076,1.2253,0.0074,0.0133,0.005,0.0074,0.005,0.0235,0.0071,0.0068,0.0067,0.0087,0.0094,0.0079,0.0268,0.008,0.0367,0.0047,0.0042,0.0072,0.0068,0.0056,0.0059,0.0067,0.004,0.0047,0.0069,0.0058,0.0038,0.003,0.0032,0.0029,0.0056,0.0066,0.008,0.0022,0.0027,0.0114,0.0247,0
"TTL_C16",0.0107,0.0099,0.0111,0.0085,0.0045,0.0101,0.0093,1.2256,0.0202,0.0078,0.0112,0.0066,0.0131,0.0174,0.011,0.015,0.0167,0.0204,0.0146,0.015,0.014,0.1094,0.0099,0.007,0.0369,0.0087,0.009,0.0107,0.0134,0.0072,0.0062,0.0078,0.0085,0.0066,0.0053,0.0042,0.0112,0.0085,0.0092,0.0055,0.004,0.0037,0.0195,0.0151,0
"TTL_C17_18",0.0173,0.0166,0.011,0.0108,0.0073,0.0503,0.0341,0.0549,1.3353,0.0126,0.0341,0.0406,0.037,0.0389,0.018,0.0197,0.0319,0.0296,0.022,0.025,0.0195,0.0377,0.0131,0.0124,0.0196,0.0262,0.0159,0.0189,0.0204,0.0168,0.024,0.0279,0.1388,0.0223,0.0168,0.0376,0.0124,0.0423,0.0325,0.0162,0.0313,0.0125,0.0399,0.0363,0
"TTL_C19",0.0678,0.0948,0.0242,0.037,0.0354,0.0492,0.0353,0.0492,0.0377,1.0864,0.0844,0.0338,0.064,0.0539,0.0799,0.046,0.0424,0.0495,0.0403,0.0411,0.0366,0.0371,0.0319,0.0428,0.0453,0.0353,0.1522,0.072,0.0849,0.0606,0.0271,0.0311,0.0202,0.0189,0.0158,0.0356,0.0212,0.0231,0.0359,0.0213,0.013,0.0168,0.0251,0.0286,0
"TTL_C20",0.0839,0.0328,0.0305,0.0268,0.0142,0.0573,0.0912,0.0917,0.0849,0.0451,1.2882,0.041,0.2653,0.073,0.046,0.0512,0.0673,0.0986,0.0565,0.0676,0.0524,0.0708,0.0259,0.0258,0.0583,0.0287,0.0279,0.0279,0.0292,0.019,0.0175,0.0323,0.0347,0.022,0.0146,0.0161,0.0228,0.0349,0.0395,0.0181,0.0133,0.035,0.0304,0.0588,0
"TTL_C21",0.0028,0.0019,0.0012,0.0014,7e-04,0.0028,0.0034,0.0028,0.0028,0.0017,0.0079,1.1772,0.006,0.0021,0.0025,0.0022,0.003,0.0033,0.0023,0.0029,0.0031,0.0025,0.0013,0.0013,0.0019,0.0013,0.0013,0.0015,0.0016,0.001,9e-04,0.0018,0.0015,0.0014,0.0011,8e-04,9e-04,0.0032,0.0017,0.0021,0.001,0.0319,0.0019,0.002,0
"TTL_C22",0.0203,0.0178,0.0286,0.0203,0.0124,0.0355,0.0476,0.0349,0.034,0.0201,0.0485,0.0245,1.1886,0.0295,0.0285,0.0365,0.0584,0.117,0.0546,0.0872,0.0331,0.0574,0.0269,0.0218,0.1071,0.0257,0.0263,0.0186,0.0201,0.0145,0.0157,0.0187,0.0186,0.0191,0.0118,0.0135,0.0202,0.0261,0.0266,0.0163,0.0075,0.0104,0.0242,0.0209,0
"TTL_C23",0.0198,0.0157,0.015,0.0184,0.0094,0.0226,0.0201,0.0329,0.0187,0.0144,0.031,0.0153,0.051,1.1456,0.0384,0.0381,0.0658,0.0656,0.0382,0.0329,0.0242,0.0329,0.0222,0.0198,0.1009,0.0185,0.0162,0.0144,0.0156,0.0108,0.0123,0.0167,0.0147,0.0191,0.0106,0.0103,0.0255,0.0225,0.0251,0.0106,0.007,0.0098,0.0418,0.0288,0
"TTL_C24",0.0287,0.0319,0.0473,0.1276,0.0176,0.0304,0.0263,0.0451,0.0271,0.0443,0.041,0.0183,0.0544,0.0454,1.5144,0.4564,0.105,0.2365,0.2391,0.1967,0.1903,0.0889,0.0401,0.0903,0.0784,0.026,0.0363,0.0354,0.0356,0.0188,0.0166,0.0197,0.0191,0.0283,0.0173,0.0118,0.025,0.0307,0.031,0.0278,0.009,0.0118,0.0325,0.0272,0
"TTL_C25",0.0287,0.0241,0.0441,0.0289,0.014,0.03,0.0215,0.0489,0.022,0.0258,0.029,0.0152,0.0427,0.0281,0.0476,1.1307,0.0633,0.0705,0.1179,0.1737,0.0835,0.0733,0.0313,0.0214,0.0653,0.0212,0.0253,0.0252,0.0282,0.015,0.0162,0.0174,0.0149,0.0212,0.0142,0.0097,0.021,0.0294,0.03,0.0206,0.0073,0.0093,0.0269,0.0211,0
"TTL_C26",0.0097,0.0111,0.0128,0.0101,0.0074,0.0115,0.0121,0.0121,0.0122,0.0104,0.0149,0.0118,0.0136,0.011,0.0158,0.0156,1.5168,0.0449,0.0478,0.0228,0.0215,0.0235,0.0178,0.0094,0.0165,0.0125,0.0132,0.0218,0.0233,0.0126,0.0122,0.0111,0.0265,0.1494,0.0548,0.0211,0.009,0.021,0.0177,0.0215,0.0082,0.0302,0.0227,0.0362,0
"TTL_C27",0.0142,0.0135,0.0216,0.0178,0.0132,0.0138,0.0119,0.0155,0.0133,0.0143,0.017,0.0103,0.0171,0.0159,0.0467,0.0282,0.0739,1.1344,0.0663,0.0595,0.0505,0.026,0.0337,0.014,0.0362,0.0128,0.0197,0.0214,0.0204,0.0097,0.0088,0.0105,0.0139,0.0275,0.0146,0.0075,0.0141,0.0176,0.0166,0.0147,0.0067,0.0103,0.0288,0.0267,0
"TTL_C28",0.0323,0.0277,0.0526,0.0469,0.0129,0.0239,0.0229,0.0249,0.0229,0.0343,0.0282,0.0137,0.0227,0.0236,0.0406,0.0424,0.0422,0.0297,1.0957,0.047,0.0563,0.0446,0.0269,0.0175,0.027,0.015,0.0172,0.0224,0.0257,0.0119,0.0088,0.0144,0.0118,0.0162,0.0117,0.0075,0.0119,0.0146,0.0193,0.0315,0.0061,0.0077,0.0159,0.0132,0
