"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.17,0.0102,0,0.0072,0.0065,0.3046,0.0202,0.2159,0.1471,0.0052,0.0554,0.0211,0.0475,0.0119,0.0114,0.01,0.0107,0.0137,0.0109,0.0147,0.0107,0.0263,0.0053,0.0091,0.0151,0.0099,0.0055,0.009,0.0078,0.0051,0.0044,0.0634,0.0236,0.0064,0.0074,0.0028,0.0028,0.0095,0.0118,0.0056,0.0033,0.0157,0.0086,0.0147,0
"TTL_A03",4e-04,1.0308,0,1e-04,1e-04,0.0019,2e-04,2e-04,3e-04,1e-04,4e-04,5e-04,3e-04,2e-04,3e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,3e-04,3e-04,3e-04,2e-04,2e-04,1e-04,2e-04,2e-04,1e-04,1e-04,0.0034,2e-04,1e-04,2e-04,1e-04,0,2e-04,2e-04,1e-04,1e-04,3e-04,2e-04,2e-04,0
"TTL_B05_06",0.0333,0.0617,1,0.0609,0.0594,0.0314,0.0227,0.0308,0.0401,0.6964,0.0807,0.0303,0.0491,0.0487,0.0381,0.0281,0.0207,0.0307,0.0257,0.0253,0.0229,0.0257,0.1928,0.0259,0.0308,0.0216,0.0918,0.0413,0.1148,0.0167,0.014,0.018,0.0172,0.0122,0.0117,0.0052,0.0033,0.0135,0.0155,0.0112,0.0057,0.0175,0.0185,0.02,0
"TTL_B07_08",0.0042,0.0019,0,1.1213,0.0817,0.0066,0.0022,0.0035,0.0039,0.0021,0.0151,0.0046,0.0061,0.1633,0.013,0.0121,0.0037,0.0084,0.0062,0.0062,0.0045,0.0042,0.0019,0.0054,0.0302,0.0022,0.0023,0.0043,0.0024,0.0026,0.0019,0.0027,0.0021,0.0016,0.0016,6e-04,0.0013,0.0018,0.0015,0.0021,7e-04,0.0019,0.0022,0.002,0
"TTL_B09",2e-04,3e-04,0,0.0033,1.0048,2e-04,1e-04,2e-04,3e-04,0.0023,5e-04,2e-04,3e-04,0.0011,0.0011,4e-04,2e-04,4e-04,4e-04,3e-04,2e-04,2e-04,0.0011,3e-04,8e-04,1e-04,4e-04,3e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,0
"TTL_C10T12",0.1571,0.0207,0,0.0064,0.0069,1.2104,0.0178,0.0342,0.0294,0.0041,0.0498,0.0265,0.022,0.0078,0.0073,0.0076,0.0085,0.0099,0.0083,0.0098,0.0077,0.0107,0.0033,0.0059,0.0076,0.011,0.0047,0.0075,0.0079,0.0038,0.0036,0.1739,0.0124,0.0042,0.0056,0.0025,0.0018,0.0071,0.0059,0.0057,0.0034,0.0285,0.008,0.0076,0
"TTL_C13T15",0.0058,0.0103,0,0.0053,0.005,0.0047,1.3756,0.0046,0.0056,0.0013,0.007,0.0146,0.0201,0.0055,0.0038,0.0058,0.0047,0.005,0.0054,0.059,0.0127,0.041,0.0016,0.0024,0.0049,0.0041,0.0022,0.0033,0.0027,0.0017,0.0014,0.0045,0.0048,0.0021,0.0022,6e-04,7e-04,0.0024,0.0024,0.0011,9e-04,0.0054,0.0163,0.0036,0
"TTL_C16",0.01,0.0056,0,0.0056,0.0057,0.0141,0.0046,1.3178,0.0218,0.0024,0.0088,0.0063,0.009,0.016,0.0251,0.013,0.0073,0.0178,0.0117,0.0085,0.0107,0.0967,0.0033,0.015,0.0434,0.0056,0.0049,0.0091,0.0052,0.0045,0.0038,0.0058,0.0059,0.0041,0.0039,0.0014,0.0028,0.0043,0.0048,0.0033,0.0015,0.0043,0.0063,0.0048,0
"TTL_C17_18",0.0146,0.012,0,0.0097,0.0085,0.0448,0.0146,0.0269,1.3051,0.0045,0.0265,0.0332,0.0221,0.0232,0.0124,0.013,0.0177,0.0166,0.0147,0.0167,0.0159,0.0196,0.0134,0.0089,0.0109,0.0162,0.0078,0.0164,0.0103,0.009,0.0096,0.014,0.14,0.0157,0.02,0.0079,0.0109,0.0269,0.0291,0.0061,0.0108,0.0119,0.0165,0.0231,0
"TTL_C19",0.0434,0.0829,0,0.0524,0.0361,0.0374,0.0255,0.0358,0.04,1.0688,0.0943,0.0356,0.059,0.0552,0.0324,0.0315,0.0243,0.034,0.0286,0.0288,0.0264,0.0312,0.0486,0.0283,0.0392,0.0273,0.1351,0.0534,0.1714,0.0191,0.0178,0.0172,0.0196,0.0131,0.0141,0.0061,0.0034,0.0164,0.0201,0.012,0.0056,0.0205,0.0193,0.0208,0
"TTL_C20",0.0642,0.0169,0,0.0451,0.0406,0.0501,0.0724,0.0693,0.0865,0.0525,1.4303,0.1775,0.3587,0.0706,0.0342,0.0501,0.0492,0.1,0.0455,0.0835,0.0624,0.0587,0.0124,0.0242,0.0449,0.0211,0.0178,0.0183,0.0203,0.0093,0.0088,0.021,0.0321,0.0134,0.0162,0.0045,0.0057,0.0165,0.0172,0.0078,0.007,0.0532,0.0182,0.0505,0
