"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.2302,0.1392,0.0051,0.0096,0.0074,0.2567,0.0241,0.2438,0.0809,0.0072,0.0117,0.0141,0.0106,0.0127,0.0097,0.0089,0.0109,0.0105,0.01,0.0104,0.0084,0.0503,0.0061,0.009,0.0168,0.016,0.0089,0.0066,0.0126,0.0101,0.0093,0.0538,0.0095,0.0094,0.0054,0.0037,0.0038,0.0109,0.0084,0.005,0.0072,0.0143,0.0115,0.0154,0
"TTL_A03",6e-04,1.0845,2e-04,4e-04,3e-04,0.0172,4e-04,5e-04,4e-04,4e-04,5e-04,7e-04,4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,3e-04,3e-04,3e-04,4e-04,4e-04,0.001,3e-04,3e-04,6e-04,4e-04,4e-04,0.0066,3e-04,4e-04,2e-04,1e-04,1e-04,4e-04,3e-04,3e-04,4e-04,8e-04,5e-04,8e-04,0
"TTL_B05_06",0.0191,0.0101,1.0192,0.0261,0.0421,0.0132,0.0141,0.0215,0.0182,0.4121,0.0425,0.0159,0.0271,0.0326,0.0504,0.0268,0.0184,0.0217,0.0258,0.0232,0.0179,0.0156,0.1933,0.0227,0.0236,0.0162,0.0384,0.012,0.0234,0.016,0.015,0.0153,0.0093,0.0137,0.0086,0.006,0.0059,0.0126,0.0112,0.0046,0.0086,0.0081,0.0185,0.0147,0
"TTL_B07_08",0.0023,0.0023,0.0059,1.1098,0.0169,0.0021,0.0024,0.0032,0.0027,0.0154,0.0102,0.0034,0.0057,0.0703,0.0513,0.0143,0.0051,0.0062,0.009,0.0083,0.0052,0.0036,0.0098,0.0036,0.0147,0.0037,0.0051,0.003,0.0031,0.0026,0.0022,0.0019,0.0018,0.0042,0.0013,9e-04,0.0014,0.0028,0.0021,0.0014,0.001,0.0016,0.0036,0.0031,0
"TTL_B09",0.001,0.0016,0.0263,0.0251,1.0704,7e-04,7e-04,0.001,0.001,0.0177,0.0028,9e-04,0.0015,0.0052,0.0051,0.002,0.001,0.0012,0.0015,0.0013,9e-04,8e-04,0.0061,0.0011,0.0026,8e-04,0.0018,7e-04,0.0013,9e-04,7e-04,7e-04,5e-04,8e-04,4e-04,3e-04,4e-04,7e-04,6e-04,3e-04,3e-04,4e-04,9e-04,7e-04,0
"TTL_C10T12",0.0329,0.015,0.0115,0.0182,0.0118,1.152,0.0211,0.0241,0.0174,0.0135,0.0219,0.0417,0.0175,0.0189,0.0156,0.0168,0.0187,0.0195,0.0159,0.0177,0.013,0.0147,0.0103,0.0212,0.0182,0.0261,0.0137,0.0147,0.0283,0.0239,0.0222,0.2,0.0141,0.0184,0.0126,0.0072,0.0059,0.0193,0.0173,0.0128,0.0216,0.0486,0.027,0.0444,0
"TTL_C13T15",0.0046,0.0041,0.0055,0.0056,0.0068,0.0046,1.1071,0.0095,0.0073,0.0057,0.0096,0.0054,0.027,0.0107,0.0091,0.0079,0.011,0.0098,0.0108,0.014,0.0082,0.0275,0.0053,0.006,0.008,0.0093,0.0081,0.0033,0.0067,0.0066,0.006,0.0045,0.0131,0.0064,0.0035,0.002,0.0023,0.0063,0.0049,0.006,0.0019,0.0136,0.0055,0.0084,0
"TTL_C16",0.0058,0.0054,0.0036,0.0134,0.0069,0.0048,0.0053,1.1142,0.0202,0.0054,0.0083,0.0058,0.0082,0.0177,0.0129,0.0086,0.0107,0.0097,0.0133,0.0097,0.0122,0.0726,0.0056,0.0062,0.0311,0.0104,0.0093,0.004,0.0085,0.0074,0.0067,0.0043,0.0049,0.0078,0.0038,0.0026,0.0053,0.0057,0.0048,0.0026,0.002,0.0037,0.0085,0.0058,0
"TTL_C17_18",0.0064,0.0073,0.0052,0.0079,0.0071,0.0069,0.0104,0.0151,1.0834,0.0068,0.0161,0.011,0.0111,0.0194,0.0115,0.011,0.0172,0.0197,0.0115,0.0121,0.008,0.0159,0.0065,0.0092,0.0095,0.0158,0.0076,0.004,0.017,0.0084,0.0179,0.0074,0.0527,0.0127,0.005,0.007,0.0047,0.008,0.0061,0.0106,0.0187,0.0087,0.0204,0.0083,0
"TTL_C19",0.0277,0.0106,0.0101,0.0263,0.0311,0.0132,0.0107,0.0177,0.0126,1.0236,0.0399,0.0113,0.0225,0.0242,0.0681,0.0207,0.0128,0.0143,0.0186,0.0186,0.0132,0.0115,0.0221,0.0104,0.0205,0.0194,0.0328,0.0167,0.03,0.0092,0.0089,0.0079,0.0066,0.0103,0.0053,0.0033,0.0039,0.0082,0.0073,0.0047,0.0028,0.0068,0.0093,0.0109,0
