"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1335,0.0062,6e-04,0.0011,0.0038,0.2152,0.0217,0.1031,0.0484,0.0015,0.0047,0.0082,0.0114,0.0031,0.0024,0.0034,0.0024,0.0028,0.0029,0.0035,0.0024,0.036,0.0024,0.0026,0.0027,0.0041,0.002,0.0031,0.0032,0.0048,0.0032,0.0333,0.006,0.001,0.0012,0.0041,9e-04,0.0027,0.002,0.0089,0.0045,0.0097,0.0023,0.007,0
"TTL_A03",0.008,1.04,0,1e-04,2e-04,0.0125,4e-04,0.001,5e-04,1e-04,3e-04,3e-04,3e-04,2e-04,1e-04,3e-04,2e-04,1e-04,2e-04,2e-04,1e-04,5e-04,1e-04,1e-04,2e-04,2e-04,1e-04,4e-04,3e-04,2e-04,1e-04,0.008,2e-04,1e-04,1e-04,2e-04,0,1e-04,2e-04,4e-04,2e-04,5e-04,1e-04,3e-04,0
"TTL_B05_06",0.0266,0.0584,1.0352,0.0226,0.0854,0.0333,0.0357,0.0405,0.0408,0.3604,0.0787,0.0231,0.0484,0.0528,0.0675,0.0448,0.0218,0.0334,0.0378,0.0309,0.0246,0.033,0.2247,0.0823,0.027,0.021,0.0415,0.0496,0.0951,0.045,0.024,0.0177,0.019,0.0067,0.0064,0.0118,0.0086,0.013,0.0103,0.0185,0.0237,0.0193,0.0319,0.0253,0
"TTL_B07_08",0.002,0.0021,9e-04,1.0039,0.0079,0.0026,0.0023,0.0026,0.0027,0.0013,0.0154,0.0027,0.006,0.0244,0.032,0.0144,0.0031,0.0091,0.0071,0.0054,0.0058,0.0214,0.0017,0.0058,0.0088,8e-04,0.0018,0.0017,0.002,0.005,0.0015,0.0011,0.0012,5e-04,6e-04,5e-04,8e-04,0.0014,8e-04,0.0014,0.001,0.0013,0.0012,0.0034,0
"TTL_B09",0.0073,0.0231,0.0874,0.0066,1.865,0.0092,0.0084,0.0108,0.0096,0.1653,0.0211,0.0078,0.0135,0.0121,0.0128,0.0104,0.0074,0.0083,0.0091,0.008,0.0064,0.0097,0.031,0.0165,0.0125,0.0046,0.0107,0.0197,0.0391,0.0161,0.0077,0.0048,0.0057,0.0023,0.0031,0.0029,0.0028,0.0158,0.0049,0.0067,0.0054,0.0054,0.0068,0.0063,0
"TTL_C10T12",0.0326,0.0107,6e-04,0.001,0.0036,1.162,0.0071,0.0061,0.0051,0.0021,0.0071,0.0097,0.0062,0.0028,0.0026,0.0038,0.003,0.0031,0.0029,0.0035,0.0023,0.0082,0.0025,0.0028,0.0023,0.0045,0.0021,0.0029,0.0041,0.0044,0.002,0.0819,0.0028,9e-04,0.0012,0.008,6e-04,0.0019,0.0024,0.0106,0.008,0.0219,0.0021,0.0048,0
"TTL_C13T15",0.0012,0.0031,4e-04,7e-04,0.0023,0.0021,1.1142,0.0039,0.0021,7e-04,0.0028,0.0021,0.0065,0.002,0.0015,0.002,0.0015,0.0018,0.0021,0.0026,0.0017,0.0055,0.001,0.0014,0.0014,8e-04,0.0016,0.0011,0.001,0.0016,0.003,0.0019,9e-04,4e-04,4e-04,0.0015,3e-04,9e-04,7e-04,0.0035,8e-04,0.0024,0.0019,0.0036,0
"TTL_C16",0.0015,0.0012,6e-04,6e-04,0.0019,0.0034,0.0018,1.0512,0.0047,8e-04,0.0035,0.0022,0.0023,0.0038,0.0016,0.0023,0.0013,0.0018,0.0022,0.0018,0.0014,0.0107,0.001,0.0013,0.0046,0.0015,0.0015,9e-04,0.0012,0.0021,0.0012,0.0012,0.0014,6e-04,7e-04,0.0014,0.0014,0.0057,0.0031,0.0011,8e-04,0.0014,0.001,0.0025,0
"TTL_C17_18",0.006,0.0074,6e-04,0.0013,0.0042,0.0289,0.0099,0.0225,1.1699,0.002,0.0072,0.0267,0.0125,0.0109,0.0029,0.006,0.0052,0.0059,0.0045,0.0057,0.0033,0.0095,0.0027,0.0045,0.0042,0.0082,0.0022,0.0026,0.0036,0.0048,0.0239,0.0136,0.095,0.0024,0.0059,0.0066,0.0024,0.006,0.0051,0.012,0.0054,0.0059,0.0053,0.0212,0
"TTL_C19",0.0324,0.14,0.0092,0.027,0.0619,0.0322,0.0299,0.047,0.0348,1.0977,0.0996,0.0264,0.0583,0.0443,0.0442,0.0347,0.0186,0.0281,0.0277,0.0265,0.02,0.0302,0.0778,0.0575,0.0284,0.0137,0.0454,0.1176,0.2376,0.0828,0.0293,0.0134,0.0192,0.0049,0.0057,0.0085,0.0054,0.0121,0.0169,0.0216,0.0125,0.0136,0.0141,0.0215,0
