"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0473,0.0053,3e-04,5e-04,0.0084,0.1943,0.0199,0.006,0.0065,3e-04,0.0033,0.0031,0.0071,0.0021,0.003,0.0023,0.0017,0.0019,0.002,0.0027,0.0033,0.0028,6e-04,0.003,0.0015,0.0126,0.0014,0.0029,0.0015,0.0019,0.0017,0.0181,0.0056,9e-04,4e-04,2e-04,3e-04,0.0017,0.0012,0.0024,0.0011,0.0025,0.0122,0.0026,0
"TTL_A03",0.0015,1.0001,0,0,1e-04,0.0038,1e-04,1e-04,2e-04,0,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,0,1e-04,1e-04,4e-04,1e-04,0.0078,1e-04,1e-04,0,0,0,1e-04,1e-04,2e-04,2e-04,6e-04,1e-04,2e-04,0
"TTL_B05_06",0.0244,0.0506,1.0022,0.0287,0.0367,0.2135,0.2143,0.1686,0.1748,0.2999,0.0719,0.0314,0.2192,0.1675,0.2812,0.239,0.1091,0.1877,0.1652,0.2225,0.2823,0.142,0.246,0.0361,0.068,0.0207,0.0433,0.0848,0.1166,0.0616,0.0657,0.0384,0.0995,0.0731,0.0195,0.0031,0.0054,0.0219,0.0161,0.0236,0.0132,0.0431,0.0473,0.0358,0
"TTL_B07_08",0.0023,0.0072,2e-04,1.0054,0.0044,0.0033,0.0032,0.0027,0.0078,2e-04,0.0222,0.0068,0.007,0.114,0.0854,0.0343,0.0081,0.022,0.0197,0.0176,0.0205,0.0083,0.0136,0.0157,0.0185,0.0021,8e-04,0.0017,0.0018,0.0031,0.0047,0.0025,0.0093,0.0028,5e-04,3e-04,0.0012,0.0018,8e-04,0.0018,9e-04,0.0048,0.0041,0.0041,0
"TTL_B09",0,1e-04,0,0,1.0001,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,0,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,0,0,0,1e-04,1e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTL_C10T12",0.0079,0.0027,1e-04,2e-04,0.0045,1.0131,0.004,0.0015,0.002,1e-04,0.0011,0.0011,0.001,8e-04,0.001,7e-04,6e-04,6e-04,7e-04,6e-04,0.001,9e-04,8e-04,0.0034,7e-04,0.0011,3e-04,0.0013,8e-04,0.0011,6e-04,0.0134,0.0054,5e-04,0.0012,2e-04,7e-04,0.0023,0.003,8e-04,4e-04,0.0013,0.0012,0.0039,0
"TTL_C13T15",9e-04,0.008,1e-04,2e-04,0.0014,0.0017,1.0801,0.0021,0.0056,1e-04,0.0023,0.0019,0.005,0.0014,0.0021,0.0012,0.0017,0.0013,0.0016,0.0034,0.0026,0.0067,2e-04,0.0033,0.0014,0.0017,4e-04,0.0016,0.0034,0.0012,0.0081,0.0058,0.0027,0.0028,2e-04,2e-04,1e-04,0.0018,0.001,0.0018,5e-04,0.0038,0.0053,0.0069,0
"TTL_C16",0.004,0.0099,2e-04,0.0027,0.0028,0.0089,0.0121,1.2921,0.0386,1e-04,0.0027,0.0021,0.0038,0.0075,0.0046,0.0049,0.0031,0.0043,0.003,0.0026,0.0063,0.0625,7e-04,0.0038,0.0178,0.0028,0.0013,0.0028,0.0029,0.0102,0.0039,0.0094,0.0051,0.0014,3e-04,6e-04,0.0011,0.003,0.0013,0.0014,8e-04,0.0049,0.0088,0.0174,0
"TTL_C17_18",7e-04,9e-04,1e-04,3e-04,0.0015,0.0033,0.0026,0.003,1.0272,1e-04,0.0029,0.0036,0.0023,0.0018,0.0015,0.0011,0.0015,0.0012,0.0012,0.0012,0.0019,0.0024,7e-04,0.0032,7e-04,0.0019,5e-04,0.0011,0.0011,0.0023,0.003,0.0018,0.0307,0.0016,0.0011,9e-04,4e-04,0.0167,0.0041,0.0026,9e-04,0.0025,0.0111,0.0054,0
"TTL_C19",0.0423,0.075,0.0021,0.0234,0.0406,0.0222,0.0241,0.035,0.0311,1.0671,0.1409,0.0466,0.0376,0.0392,0.0407,0.023,0.0107,0.0179,0.0185,0.0162,0.0245,0.0217,0.0601,0.0325,0.0115,0.0156,0.0722,0.1712,0.2187,0.0363,0.0289,0.0295,0.0165,0.0102,0.0012,0.0013,0.0013,0.0083,0.0046,0.0188,0.0142,0.0287,0.0145,0.0209,0
"TTL_C20",0.0804,0.0286,0.0012,0.0246,0.0235,0.0431,0.0848,0.0547,0.1101,0.0012,1.26,0.1111,0.1697,0.0562,0.0908,0.051,0.028,0.0488,0.0357,0.0384,0.0613,0.0518,0.0086,0.0478,0.0195,0.012,0.0111,0.0265,0.0289,0.0265,0.0135,0.0379,0.0418,0.0068,0.0034,0.0014,0.0019,0.0175,0.0092,0.015,0.0044,0.0753,0.0267,0.0321,0
"TTL_C21",0.0023,0.0015,0,7e-04,6e-04,0.0015,0.002,0.0017,0.0028,0,0.0129,1.1353,0.0038,0.0015,0.0018,0.0012,8e-04,0.0011,9e-04,0.001,0.0013,0.0015,3e-04,0.0012,6e-04,6e-04,4e-04,0.001,0.0012,9e-04,8e-04,0.0015,0.0012,4e-04,2e-04,1e-04,1e-04,0.001,3e-04,0.0011,2e-04,0.0204,9e-04,0.0012,0
"TTL_C22",0.0179,0.036,7e-04,0.0054,0.0135,0.0491,0.1432,0.0211,0.0291,5e-04,0.0435,0.0369,1.2409,0.0171,0.0155,0.0156,0.0418,0.0502,0.0295,0.0687,0.1088,0.0461,0.0017,0.0203,0.0195,0.0092,0.0075,0.0067,0.008,0.0273,0.0164,0.0108,0.0224,0.0068,9e-04,8e-04,0.0019,0.0069,0.0033,0.0063,0.0022,0.0121,0.0182,0.0215,0
"TTL_C23",0.0016,0.0011,1e-04,0.0011,0.0012,0.0068,0.0015,0.0022,0.0021,1e-04,0.0033,0.0038,0.002,1.0399,0.004,0.0031,0.006,0.0026,0.0032,0.0034,0.0035,0.0032,0.0012,0.004,0.0373,0.0024,5e-04,0.0011,0.0013,0.004,0.0144,0.0045,0.0018,0.0083,5e-04,4e-04,0.0023,0.0016,7e-04,0.0018,0.0013,0.003,0.003,0.003,0
"TTL_C24",0.0066,0.0228,0.0027,0.009,0.055,0.0098,0.018,0.0147,0.0425,0.0014,0.013,0.0087,0.056,0.0665,1.3828,0.532,0.1111,0.3306,0.3056,0.2695,0.3098,0.1007,0.0042,0.03,0.0526,0.0094,0.0053,0.0119,0.0136,0.0125,0.014,0.0111,0.1275,0.0092,0.0014,0.0016,0.0034,0.0139,0.0054,0.0119,0.004,0.0438,0.0274,0.0447,0
"TTL_C25",0.0039,0.0029,3e-04,0.0015,0.0054,0.0036,0.0031,0.0034,0.0026,2e-04,0.0012,9e-04,0.0029,0.0039,0.0116,1.01,0.004,0.0069,0.0134,0.0067,0.0112,0.0071,0.0013,0.0057,0.0068,0.0012,5e-04,0.001,0.0012,0.0021,0.0013,0.0015,0.0025,6e-04,2e-04,2e-04,5e-04,0.001,5e-04,0.001,4e-04,0.0019,0.0022,0.0029,0
"TTL_C26",7e-04,0.002,1e-04,2e-04,0.0011,9e-04,0.001,0.001,0.0013,1e-04,0.0014,0.0014,0.001,9e-04,0.001,0.001,1.0531,0.002,0.0014,0.0016,0.0079,0.0032,4e-04,0.0013,0.0024,0.0014,5e-04,0.0011,0.0018,0.0016,0.0046,0.0014,0.0021,0.0114,0.001,3e-04,2e-04,0.0028,9e-04,0.002,0.0016,0.0197,0.0037,0.0034,0
"TTL_C27",4e-04,0.001,1e-04,3e-04,9e-04,6e-04,7e-04,8e-04,9e-04,1e-04,8e-04,7e-04,0.001,0.0011,0.0012,0.001,0.0165,1.0166,0.0087,0.0041,0.0057,0.0021,0.0014,0.0016,0.0057,8e-04,3e-04,7e-04,8e-04,0.0013,0.0022,0.0018,0.001,0.0051,3e-04,2e-04,4e-04,7e-04,3e-04,9e-04,5e-04,0.0016,0.0018,0.0012,0
"TTL_C28",0.0018,0.0015,2e-04,0.0014,0.0025,0.0017,0.0024,0.0027,0.003,2e-04,0.0025,0.0018,0.0022,0.0046,0.0043,0.0032,0.0018,0.0025,1.007,0.0031,0.0054,0.0044,7e-04,0.003,0.0022,0.0011,6e-04,0.0011,0.0014,0.0012,0.004,0.0017,0.0023,0.0018,1e-04,2e-04,2e-04,8e-04,4e-04,0.0022,3e-04,0.0021,0.002,0.0024,0
"TTL_C29",0.0013,0.0025,1e-04,5e-04,0.0024,0.0022,0.0025,0.0037,0.0041,2e-04,0.0025,0.002,0.0026,0.0025,0.0035,0.003,0.0023,0.0023,0.0025,1.1137,0.0144,0.0027,5e-04,0.0037,0.0014,0.0152,0.0043,0.0014,0.0017,0.003,0.001,0.0014,0.0022,6e-04,1e-04,1e-04,2e-04,9e-04,9e-04,0.0024,2e-04,0.0013,0.0013,0.0019,0
"TTL_C30",3e-04,0.0566,0,5e-04,6e-04,6e-04,5e-04,7e-04,5e-04,1e-04,5e-04,5e-04,5e-04,5e-04,8e-04,6e-04,3e-04,4e-04,5e-04,5e-04,1.0991,6e-04,2e-04,9e-04,3e-04,6e-04,0.0049,0.0222,0.0217,0.0051,0.0023,8e-04,5e-04,6e-04,0,1e-04,0,3e-04,2e-04,0.0172,5e-04,7e-04,5e-04,4e-04,0
"TTL_C31T33",0.0093,0.0222,0.0019,0.0043,0.0106,0.0053,0.0042,0.0062,0.0049,9e-04,0.004,0.0042,0.0036,0.0037,0.0049,0.0036,0.0029,0.0028,0.0036,0.0038,0.0059,1.1026,0.0051,0.0135,0.0224,0.0087,0.0138,0.0261,0.0324,0.0084,0.0369,0.0281,0.0169,0.0045,8e-04,0.0046,0.0018,0.0178,0.0096,0.0047,0.0034,0.0642,0.0607,0.0505,0
"TTL_D",0.0102,0.0076,0.0018,0.007,0.0228,0.0153,0.017,0.0172,0.0393,0.0014,0.0188,0.012,0.0191,0.0274,0.0297,0.018,0.0096,0.0139,0.0139,0.0142,0.0169,0.0133,1.0581,0.0156,0.0059,0.0208,0.0043,0.0113,0.0059,0.0094,0.0164,0.0082,0.0151,0.0167,0.0013,0.0015,0.0011,0.0075,0.0034,0.0181,0.0075,0.0098,0.0087,0.0113,0
"TTL_E",0.0027,0.0013,1e-04,5e-04,0.0016,0.0021,0.0017,0.0012,0.0026,2e-04,0.0018,0.0013,0.0018,0.0016,0.0128,0.0054,0.0017,0.0034,0.0032,0.0031,0.0036,0.0031,5e-04,1.0496,0.001,0.0019,0.001,0.0015,6e-04,8e-04,0.0019,0.0016,0.002,9e-04,2e-04,1e-04,3e-04,8e-04,6e-04,9e-04,7e-04,0.0023,0.0013,0.004,0
"TTL_F",0.0254,0.0133,9e-04,0.0126,0.0164,0.039,0.0248,0.024,0.0442,0.0025,0.0281,0.0263,0.0203,0.0358,0.0297,0.0237,0.0182,0.0154,0.0211,0.0201,0.0228,0.0298,0.0225,0.1461,1.6626,0.0648,0.0131,0.0257,0.0257,0.1184,0.0677,0.0631,0.0382,0.0543,0.0161,0.0148,0.0982,0.0359,0.0145,0.0502,0.0475,0.0439,0.086,0.0319,0
"TTL_G",0.0815,0.0816,0.0069,0.0302,0.1354,0.1303,0.1458,0.2208,0.2401,0.0157,0.1584,0.1273,0.1506,0.1292,0.1989,0.1605,0.1047,0.1221,0.1278,0.184,0.2006,0.1248,0.0318,0.1774,0.0852,1.1169,0.1098,0.0625,0.0817,0.0515,0.0512,0.0723,0.122,0.0256,0.0065,0.0057,0.0126,0.0515,0.03,0.0516,0.0134,0.0675,0.0703,0.0806,0
