"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1119,0.0066,0.0048,0.0038,0.007,0.3084,0.0246,0.0644,0.0037,0.0065,0.0056,0.0132,0.0056,0.0073,0.0034,0.005,0.0058,0.0054,0.0108,0.0059,0.0141,0.0179,0.0067,0.0055,0.0077,0.0153,0.0146,0.0052,0.0054,0.0108,0.0051,0.2533,0.0021,0.0045,0.0039,0.0047,6e-04,0.004,0.0034,0.0149,0.0059,0.0266,0.0108,0.0119,0
"TTL_A03",0.0015,1.0284,4e-04,3e-04,5e-04,0.0376,8e-04,6e-04,4e-04,4e-04,5e-04,0.0014,4e-04,7e-04,3e-04,3e-04,7e-04,6e-04,9e-04,4e-04,4e-04,4e-04,5e-04,4e-04,7e-04,6e-04,5e-04,4e-04,5e-04,8e-04,4e-04,0.0172,2e-04,4e-04,3e-04,4e-04,0,3e-04,3e-04,0.0017,5e-04,0.0015,7e-04,8e-04,0
"TTL_B05_06",0.0204,0.1026,1.1129,0.0572,0.0902,0.0394,0.0215,0.0237,0.0219,0.8545,0.2037,0.0533,0.0686,0.1755,0.0436,0.0255,0.0209,0.0255,0.064,0.0505,0.0119,0.0249,0.3166,0.0873,0.1073,0.0293,0.1368,0.1181,0.1037,0.061,0.0542,0.0305,0.018,0.0309,0.0267,0.0335,0.006,0.038,0.0299,0.0435,0.0125,0.0475,0.03,0.0313,0
"TTL_B07_08",0.0089,0.0049,0.016,1.0207,0.0077,0.0109,0.003,0.0128,0.0048,0.0144,0.1598,0.0544,0.0374,0.101,0.7415,0.2144,0.0032,0.1108,0.017,0.0737,0.0215,0.1092,0.0084,0.0108,0.1186,0.0026,0.0055,0.0071,0.0098,0.0081,0.0048,0.0068,0.0022,0.0048,0.0036,0.0038,0.0013,0.0047,0.0059,0.0038,0.0027,0.0073,0.0065,0.0143,0
"TTL_B09",5e-04,0.0017,0.0175,0.0204,1.006,8e-04,4e-04,6e-04,5e-04,0.0135,0.0064,0.0019,0.0018,0.0048,0.0149,0.0045,4e-04,0.0025,0.0014,0.0022,6e-04,0.0025,0.0051,0.0016,0.0047,5e-04,0.0022,0.002,0.0018,0.0011,9e-04,6e-04,3e-04,6e-04,5e-04,6e-04,1e-04,7e-04,6e-04,8e-04,3e-04,9e-04,6e-04,8e-04,0
"TTL_C10T12",0.0398,0.0163,0.0063,0.0049,0.0096,1.1208,0.0176,0.0088,0.0058,0.0081,0.008,0.0352,0.0067,0.0114,0.0046,0.005,0.0099,0.0088,0.0144,0.0073,0.0054,0.0063,0.0087,0.0076,0.01,0.0144,0.0106,0.0067,0.0074,0.016,0.0062,0.2954,0.0029,0.0062,0.0051,0.0064,8e-04,0.005,0.0045,0.0221,0.0066,0.0299,0.0141,0.0148,0
"TTL_C13T15",0.0014,0.0011,0.0023,0.0027,0.0019,0.0016,1.154,0.027,0.0012,0.0025,0.0027,0.0018,0.0031,0.0034,0.0021,0.0019,8e-04,0.0012,0.0784,0.0029,0.0054,0.0081,0.002,0.0023,0.0034,7e-04,0.0014,0.0032,0.0049,0.0026,0.002,0.0054,8e-04,0.0026,0.0011,0.001,2e-04,0.0014,0.0033,0.0066,0.007,0.0052,0.004,0.0058,0
"TTL_C16",7e-04,0.0025,0.0032,0.0025,0.0154,0.0061,0.0026,1.1207,0.0028,0.0039,0.003,0.0034,0.0247,0.0036,0.0038,0.0289,0.0041,0.0021,0.0064,0.0153,0.1648,0.1106,0.0025,0.0044,0.0203,0.0029,0.002,0.003,0.0027,0.0408,0.0037,0.0025,0.0013,0.0019,0.0027,0.0019,4e-04,0.0038,0.0016,0.0027,0.0026,0.003,0.0024,0.0027,0
"TTL_C17_18",0.0021,0.0044,0.0063,0.0073,0.0157,0.0107,0.0029,0.0052,1.1673,0.0088,0.0142,0.0227,0.0088,0.0477,0.0056,0.0042,0.0104,0.0049,0.0302,0.0241,0.0024,0.0056,0.0062,0.0218,0.0183,0.0075,0.0086,0.0102,0.0392,0.018,0.0203,0.0082,0.0555,0.0122,0.0456,0.0249,0.0024,0.0143,0.0196,0.0152,0.02,0.0178,0.022,0.0183,0
"TTL_C19",0.0174,0.1176,0.0478,0.054,0.0774,0.0388,0.0202,0.024,0.0213,1.048,0.1249,0.0498,0.0524,0.135,0.0412,0.025,0.0223,0.0264,0.0652,0.0506,0.012,0.0246,0.2731,0.0873,0.0902,0.0319,0.1596,0.1374,0.1195,0.067,0.0608,0.0303,0.0184,0.0323,0.0283,0.0345,0.0061,0.0419,0.0313,0.048,0.0132,0.0503,0.0316,0.0333,0
"TTL_C20",0.0597,0.014,0.0204,0.0159,0.0206,0.035,0.0097,0.0117,0.0199,0.0249,1.1836,0.0766,0.2597,0.0816,0.0124,0.0099,0.0052,0.0061,0.0463,0.0355,0.0044,0.0122,0.0191,0.035,0.0588,0.0076,0.0154,0.0133,0.0186,0.0225,0.0106,0.0249,0.0055,0.0094,0.0094,0.0092,0.0018,0.0094,0.0231,0.0089,0.004,0.021,0.0089,0.0112,0
"TTL_C21",6e-04,2e-04,2e-04,2e-04,2e-04,6e-04,1e-04,1e-04,3e-04,3e-04,0.0011,1.0527,0.0016,6e-04,2e-04,2e-04,2e-04,2e-04,6e-04,4e-04,1e-04,1e-04,3e-04,4e-04,5e-04,1e-04,2e-04,2e-04,3e-04,3e-04,2e-04,4e-04,1e-04,2e-04,2e-04,2e-04,0,8e-04,2e-04,2e-04,4e-04,0.0126,5e-04,6e-04,0
"TTL_C22",0.0048,0.012,0.0056,0.0068,0.0076,0.0333,0.0088,0.0163,0.0075,0.007,0.0216,0.0204,1.0872,0.0134,0.0055,0.0085,0.0026,0.0036,0.1041,0.0802,0.0052,0.0163,0.0069,0.0172,0.0107,0.0062,0.0047,0.01,0.0114,0.0093,0.0068,0.0117,0.0027,0.0119,0.0126,0.0051,8e-04,0.0067,0.0067,0.0033,0.0024,0.0083,0.0042,0.0051,0
"TTL_C23",0.0023,0.0042,0.0028,0.0025,0.005,0.0054,0.0062,0.0119,0.0049,0.0034,0.0178,0.0598,0.0093,1.1582,0.0025,0.0065,0.003,0.0031,0.0095,0.0087,0.0034,0.0052,0.0045,0.016,0.283,0.0036,0.0026,0.0026,0.0032,0.0071,0.0035,0.0052,0.0037,0.0054,0.004,0.0068,0.0044,0.0039,0.0035,0.004,0.0021,0.0072,0.0052,0.0045,0
"TTL_C24",7e-04,0.0015,0.0043,0.0066,0.0022,0.0053,7e-04,0.0105,0.0011,0.0041,0.0037,0.0544,0.0024,0.0189,1.0271,0.2937,0.0015,0.1511,0.0114,0.0931,0.0261,0.008,0.0027,0.0026,0.0771,9e-04,0.002,0.0046,0.0072,0.0031,0.0027,0.0023,8e-04,0.003,0.0013,0.0012,6e-04,0.0019,0.0024,9e-04,7e-04,0.003,0.0044,0.0077,0
"TTL_C25",6e-04,0.0011,0.0038,0.006,0.0018,0.0062,6e-04,0.0123,9e-04,0.0035,0.0028,0.033,0.002,0.0127,0.0066,1.0792,7e-04,0.0018,0.0087,0.0514,0.0348,0.0061,0.0021,0.0017,0.0692,7e-04,0.0014,0.0026,0.0038,0.0024,0.0016,0.0023,6e-04,0.0017,9e-04,9e-04,5e-04,0.0012,0.0016,7e-04,5e-04,0.0022,0.0054,0.0082,0
