"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0309,0.0047,0,0,0,0.0384,0.0522,0.0665,0.0026,2e-04,5e-04,0.0017,0.002,6e-04,8e-04,0.001,0.0014,0.0014,0.0011,9e-04,6e-04,0.0018,0.0019,6e-04,0.0016,5e-04,4e-04,7e-04,6e-04,6e-04,0.0013,0.0211,0.0017,6e-04,9e-04,6e-04,4e-04,0.001,7e-04,7e-04,6e-04,8e-04,0.0011,0.0018,0
"TTL_A03",5e-04,1.0501,0,0,0,0.0018,0.0051,1e-04,2e-04,0,1e-04,3e-04,1e-04,1e-04,2e-04,2e-04,3e-04,2e-04,2e-04,2e-04,1e-04,2e-04,5e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,0.0057,2e-04,1e-04,2e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,5e-04,4e-04,0
"TTL_B05_06",0.1256,0.1559,1,0,0,0.1149,0.1417,0.0837,0.1437,0.7312,0.4476,0.0513,0.1678,0.1863,0.238,0.1382,0.1164,0.2104,0.1119,0.1071,0.0734,0.1172,0.1187,0.1076,0.1341,0.1759,0.2031,0.4081,0.3148,0.1431,0.1252,0.1126,0.1364,0.0518,0.0905,0.0444,0.0326,0.0816,0.0634,0.076,0.0366,0.0616,0.0431,0.0805,0
"TTL_B07_08",0.0012,7e-04,0,1,0,9e-04,9e-04,7e-04,0.0011,3e-04,4e-04,9e-04,0.001,0.1816,0.0102,0.0033,0.0037,0.0023,0.0031,0.0047,0.0011,0.0029,0.0044,0.0052,0.0276,7e-04,4e-04,5e-04,5e-04,4e-04,5e-04,8e-04,0.001,9e-04,0.0014,4e-04,0.0012,0.0022,6e-04,0.0011,0.0012,7e-04,8e-04,0.0022,0
"TTL_B09",1e-04,1e-04,0,0,1,1e-04,1e-04,1e-04,1e-04,4e-04,2e-04,1e-04,1e-04,3e-04,2e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,3e-04,2e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,0,1e-04,0,1e-04,0
"TTL_C10T12",0.1482,0.0764,0,0,0,1.3327,0.0599,0.0126,0.0076,0.0017,0.0096,0.0211,0.0065,0.005,0.0062,0.006,0.0072,0.0088,0.0061,0.006,0.0037,0.0094,0.0026,0.0041,0.0048,0.0044,0.0025,0.0101,0.0041,0.0039,0.0177,0.1585,0.0083,0.0041,0.0066,0.0054,0.0026,0.0063,0.0037,0.0081,0.0035,0.0079,0.0068,0.0167,0
"TTL_C13T15",9e-04,0.0012,0,0,0,8e-04,1.1828,0.001,0.0035,3e-04,4e-04,5e-04,0.0014,7e-04,8e-04,7e-04,8e-04,9e-04,9e-04,0.0022,8e-04,0.0026,5e-04,7e-04,0.0016,0.0014,0.0012,8e-04,5e-04,7e-04,0.0011,0.001,0.001,6e-04,6e-04,2e-04,2e-04,6e-04,7e-04,9e-04,4e-04,0.0015,0.0011,0.0037,0
"TTL_C16",0.0019,0.0012,0,0,0,0.0012,0.0011,1.4378,0.0346,2e-04,3e-04,7e-04,0.0012,0.0022,9e-04,0.0048,0.0013,0.0066,0.0016,0.0018,0.001,0.0102,3e-04,8e-04,0.0109,7e-04,3e-04,5e-04,4e-04,0.0014,0.001,7e-04,0.0024,6e-04,9e-04,3e-04,7e-04,0.0014,6e-04,9e-04,0.0014,0.0013,6e-04,0.0013,0
"TTL_C17_18",0.0052,0.0043,0,0,0,0.0065,0.0072,0.004,1.1315,0.0014,0.002,0.0036,0.0056,0.0049,0.0039,0.0064,0.0072,0.0196,0.0049,0.0064,0.0032,0.0123,0.0022,0.004,0.0034,0.0084,0.002,0.0027,0.0023,0.0029,0.0104,0.0052,0.0111,0.0048,0.0083,0.0034,0.0019,0.0066,0.0039,0.0047,0.0084,0.0046,0.005,0.0052,0
"TTL_C19",0.1363,0.1725,0,0,0,0.1271,0.1645,0.0974,0.1451,1.1809,0.2562,0.0547,0.1341,0.1794,0.2237,0.139,0.1185,0.2012,0.1114,0.1102,0.076,0.1219,0.0662,0.1,0.1427,0.2037,0.2688,0.5855,0.4652,0.1471,0.1273,0.0941,0.1397,0.0541,0.1035,0.0476,0.0335,0.0806,0.0711,0.0757,0.0367,0.0565,0.0429,0.078,0
"TTL_C20",0.0471,0.0269,0,0,0,0.0264,0.0401,0.0138,0.0899,0.0071,1.0894,0.0175,0.259,0.0938,0.0266,0.0536,0.08,0.1113,0.0308,0.0276,0.0137,0.0508,0.0081,0.0308,0.0242,0.0164,0.0108,0.0197,0.0156,0.013,0.0156,0.0136,0.0336,0.0125,0.0168,0.0074,0.0071,0.0271,0.016,0.0167,0.0134,0.0316,0.0096,0.0374,0
"TTL_C21",0.0041,0.0034,0,0,0,0.0068,0.0021,0.0015,0.0013,5e-04,9e-04,1.1312,0.0012,0.0011,0.0023,0.0015,0.0018,0.0017,0.0015,0.0013,9e-04,0.0031,7e-04,0.001,0.001,7e-04,5e-04,0.001,7e-04,0.0011,8e-04,0.0017,0.0018,6e-04,0.0012,5e-04,4e-04,0.002,9e-04,0.0075,7e-04,0.0454,8e-04,0.0056,0
"TTL_C22",0.0147,0.0082,0,0,0,0.0064,0.0069,0.0042,0.0332,9e-04,0.0015,0.006,1.0766,0.0038,0.0035,0.0099,0.0087,0.0244,0.008,0.022,0.0051,0.0264,0.002,0.018,0.0079,0.0042,0.0024,0.0027,0.0019,0.0075,0.007,0.0046,0.0102,0.0039,0.0037,0.0023,0.0016,0.0039,0.0042,0.0041,0.0053,0.0034,0.0032,0.0068,0
"TTL_C23",0.0019,0.0015,0,0,0,0.0023,0.0023,0.0017,0.002,6e-04,0.0011,0.0018,0.0029,1.1066,0.0142,0.0052,0.0105,0.0043,0.0056,0.0126,0.0021,0.0045,0.0043,0.0046,0.0442,0.0013,8e-04,0.0012,0.0011,7e-04,0.0014,0.0017,0.0023,0.0015,0.0022,8e-04,0.002,0.0036,0.001,0.0019,0.0023,0.0014,0.0015,0.0031,0
"TTL_C24",0.0032,0.0031,0,0,0,0.0037,0.004,0.0199,0.017,0.0013,0.002,0.0021,0.0063,0.0035,1.2587,0.2559,0.0093,0.1263,0.0638,0.024,0.0213,0.0249,0.0026,0.0055,0.0328,0.0029,0.0021,0.0042,0.0043,0.0025,0.0021,0.0024,0.0049,0.0026,0.0033,0.0013,0.0023,0.0059,0.0027,0.0106,0.0015,0.0022,0.0021,0.0031,0
