"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.373,0.2434,0.0187,0.0669,0.0116,0.3451,0.0531,0.3999,0.1786,0.0283,0.0436,0.0622,0.0489,0.0469,0.0436,0.0357,0.0512,0.0508,0.0357,0.0441,0.0392,0.0703,0.0784,0.0497,0.0477,0.0887,0.0534,0.0698,0.0619,0.0284,0.0213,0.0502,0.0584,0.0161,0.0254,0.0059,0.0046,0.035,0.0325,0.0128,0.0173,0.0368,0.0246,0.0537,0
"TTL_A03",5e-04,1.0494,0.0052,0.0042,1e-04,0.0015,3e-04,3e-04,4e-04,0.0014,4e-04,3e-04,3e-04,6e-04,0.0012,5e-04,4e-04,4e-04,4e-04,4e-04,4e-04,3e-04,6e-04,6e-04,4e-04,3e-04,3e-04,3e-04,3e-04,2e-04,1e-04,3e-04,2e-04,1e-04,1e-04,0,0,2e-04,2e-04,1e-04,1e-04,2e-04,1e-04,7e-04,0
"TTL_B05_06",0.0374,0.0206,1.0288,0.0627,0.0084,0.0297,0.023,0.0305,0.0396,0.256,0.0418,0.0276,0.0335,0.0535,0.1102,0.046,0.038,0.0397,0.0382,0.0343,0.0388,0.0312,0.0989,0.0338,0.034,0.024,0.0371,0.03,0.0387,0.0157,0.0135,0.0205,0.0177,0.0102,0.0104,0.0031,0.0049,0.0166,0.0144,0.0076,0.014,0.0189,0.0121,0.0234,0
"TTL_B07_08",0.0199,0.0117,0.0202,1.1138,0.0061,0.0171,0.0111,0.0161,0.0228,0.0267,0.0218,0.0167,0.0176,0.0701,0.1718,0.0593,0.0365,0.041,0.043,0.0359,0.0437,0.032,0.0247,0.0309,0.0521,0.0144,0.0173,0.0149,0.0153,0.0098,0.0076,0.0095,0.0103,0.0067,0.0067,0.002,0.002,0.0127,0.0092,0.0046,0.0049,0.0093,0.0064,0.0124,0
"TTL_B09",0.001,5e-04,0.0011,0.0096,1.0144,7e-04,4e-04,6e-04,0.0011,0.0058,7e-04,6e-04,7e-04,0.0019,0.0028,0.0011,8e-04,9e-04,8e-04,8e-04,9e-04,7e-04,0.0014,9e-04,0.0011,5e-04,8e-04,6e-04,0.001,6e-04,3e-04,4e-04,4e-04,2e-04,2e-04,1e-04,4e-04,4e-04,3e-04,2e-04,2e-04,4e-04,3e-04,5e-04,0
"TTL_C10T12",0.1627,0.2096,0.0069,0.0246,0.0055,1.3557,0.0325,0.0563,0.0415,0.0162,0.0317,0.0374,0.0318,0.0197,0.0203,0.0159,0.0293,0.0265,0.0183,0.0253,0.0182,0.023,0.0216,0.0157,0.0209,0.0746,0.0187,0.0276,0.0236,0.0132,0.0096,0.0848,0.0208,0.0085,0.0148,0.0031,0.0019,0.0293,0.0266,0.0075,0.0147,0.0407,0.0134,0.0374,0
"TTL_C13T15",0.012,0.009,0.0038,0.0154,0.0028,0.0136,1.4096,0.0104,0.0198,0.0076,0.0113,0.0113,0.0496,0.0135,0.0134,0.0101,0.0206,0.0202,0.0124,0.0114,0.0121,0.0217,0.0161,0.0116,0.0145,0.0114,0.0109,0.0118,0.0096,0.0063,0.0069,0.0184,0.0154,0.0049,0.0059,0.0046,0.0014,0.0086,0.0079,0.0082,0.0075,0.0112,0.0235,0.0108,0
"TTL_C16",0.0106,0.0112,0.0037,0.0164,0.0028,0.0128,0.0103,1.1533,0.0288,0.0056,0.0091,0.0127,0.0109,0.0135,0.0114,0.0125,0.0134,0.014,0.0102,0.0099,0.01,0.0825,0.0177,0.0164,0.0307,0.0124,0.0115,0.0165,0.0137,0.0075,0.0052,0.0119,0.0112,0.0041,0.0053,0.0016,0.0013,0.0079,0.008,0.0038,0.0047,0.0065,0.0063,0.0103,0
"TTL_C17_18",0.0353,0.0311,0.0082,0.0507,0.0083,0.079,0.0417,0.0571,1.3622,0.0201,0.0563,0.0733,0.0506,0.0651,0.0306,0.0302,0.0708,0.0549,0.0324,0.0314,0.0287,0.05,0.0294,0.0325,0.0392,0.0475,0.0989,0.0343,0.0342,0.0387,0.0429,0.0346,0.3145,0.0282,0.0491,0.0092,0.004,0.0388,0.0305,0.021,0.0188,0.0246,0.0474,0.0435,0
"TTL_C19",0.0635,0.0292,0.0118,0.0602,0.0113,0.0416,0.0285,0.039,0.045,1.0899,0.0471,0.0356,0.0533,0.0519,0.1251,0.0511,0.0445,0.0497,0.0433,0.0396,0.0441,0.0385,0.0436,0.0457,0.0512,0.0291,0.0678,0.043,0.1141,0.0225,0.0229,0.0206,0.0222,0.0135,0.014,0.004,0.0032,0.0205,0.0186,0.0096,0.011,0.0227,0.0149,0.0294,0
"TTL_C20",0.1535,0.043,0.0139,0.0795,0.0132,0.0695,0.0794,0.0942,0.1007,0.1235,1.308,0.1824,0.3778,0.0657,0.0648,0.0491,0.0852,0.1233,0.0491,0.0464,0.0539,0.0641,0.0377,0.0397,0.0553,0.034,0.0395,0.0409,0.0374,0.0186,0.0165,0.0286,0.0482,0.0143,0.0211,0.0046,0.0031,0.0362,0.0223,0.0109,0.0142,0.0778,0.0196,0.0417,0
"TTL_C21",0.0095,0.0028,7e-04,0.0043,7e-04,0.0043,0.0035,0.0054,0.0049,0.0064,0.0135,1.1463,0.0163,0.0034,0.0028,0.0025,0.0044,0.0052,0.0026,0.0025,0.0022,0.0034,0.0021,0.002,0.0029,0.0022,0.0022,0.0029,0.0022,0.0011,0.001,0.0019,0.0027,9e-04,0.0014,4e-04,2e-04,0.004,0.0013,0.001,0.0013,0.0524,0.0012,0.0027,0
"TTL_C22",0.0277,0.0183,0.012,0.0484,0.0077,0.0398,0.0329,0.0222,0.0325,0.0135,0.0237,0.0252,1.198,0.029,0.0252,0.026,0.0729,0.0867,0.036,0.0426,0.0364,0.0398,0.0256,0.0356,0.0645,0.0229,0.0352,0.0209,0.0179,0.0131,0.0103,0.0152,0.0175,0.0101,0.0109,0.003,0.0025,0.0166,0.014,0.0077,0.0071,0.0286,0.0113,0.0259,0
"TTL_C23",0.0185,0.0161,0.0077,0.1536,0.0071,0.026,0.0154,0.0175,0.0305,0.013,0.0196,0.0224,0.0206,1.1585,0.0545,0.0258,0.0315,0.0299,0.024,0.0234,0.0214,0.0237,0.0168,0.022,0.1332,0.0155,0.0161,0.0146,0.014,0.0118,0.0099,0.0139,0.0129,0.0084,0.0076,0.0034,0.0021,0.0156,0.0127,0.0059,0.0051,0.0127,0.0079,0.0149,0
"TTL_C24",0.1036,0.0545,0.0442,0.1216,0.0257,0.0749,0.0538,0.0863,0.0773,0.0448,0.0642,0.0691,0.0762,0.1409,1.5064,0.4889,0.2609,0.2979,0.335,0.2679,0.3534,0.2352,0.1475,0.2044,0.1499,0.0753,0.098,0.0857,0.0821,0.0437,0.0396,0.0456,0.0446,0.0368,0.0366,0.0087,0.0087,0.0697,0.0463,0.0239,0.0266,0.046,0.0317,0.0603,0
"TTL_C25",0.0274,0.02,0.0102,0.0348,0.0094,0.0266,0.0213,0.0262,0.0251,0.0204,0.0242,0.0262,0.0288,0.0308,0.0506,1.0804,0.0486,0.0653,0.0675,0.0494,0.0557,0.0649,0.0413,0.0305,0.0754,0.0239,0.0249,0.0332,0.0259,0.0155,0.016,0.0175,0.015,0.0145,0.0124,0.0034,0.0033,0.0253,0.0203,0.0094,0.0087,0.015,0.0119,0.0194,0
"TTL_C26",0.0152,0.0123,0.005,0.0194,0.0049,0.0151,0.0139,0.0135,0.0137,0.0092,0.0138,0.0162,0.015,0.0166,0.0189,0.0204,1.3512,0.0604,0.056,0.0328,0.0322,0.0303,0.0281,0.017,0.0213,0.0257,0.015,0.0209,0.0329,0.0138,0.0167,0.0148,0.0127,0.0418,0.0569,0.0044,0.0023,0.0252,0.0183,0.0089,0.0071,0.0262,0.0127,0.0249,0
"TTL_C27",0.0251,0.0194,0.0093,0.037,0.0075,0.0226,0.0196,0.0228,0.0216,0.0142,0.0221,0.0258,0.0234,0.0334,0.0337,0.0299,0.1399,1.2558,0.061,0.0503,0.0765,0.1034,0.0656,0.0312,0.0482,0.0272,0.0317,0.0358,0.031,0.0171,0.0171,0.0189,0.0159,0.0316,0.0271,0.0042,0.0034,0.023,0.019,0.0102,0.0101,0.0172,0.0173,0.0284,0
"TTL_C28",0.0604,0.0388,0.0257,0.0745,0.0171,0.0482,0.0393,0.0472,0.0665,0.0353,0.0548,0.057,0.0547,0.0666,0.112,0.0895,0.0855,0.1227,1.1825,0.1095,0.111,0.077,0.062,0.0539,0.0775,0.0422,0.0667,0.0539,0.0422,0.0278,0.0247,0.0286,0.0314,0.0205,0.0227,0.005,0.0061,0.0384,0.0309,0.0238,0.0128,0.0249,0.0191,0.0339,0
"TTL_C29",0.0281,0.0269,0.0061,0.0269,0.0057,0.0253,0.0206,0.0185,0.0202,0.0135,0.0168,0.0185,0.0209,0.0202,0.0249,0.0223,0.0336,0.0449,0.0498,1.7587,0.0334,0.0273,0.0212,0.0256,0.0278,0.0577,0.0466,0.022,0.0181,0.0127,0.0238,0.0128,0.0139,0.0132,0.0104,0.0036,0.0018,0.023,0.0193,0.0095,0.0057,0.0116,0.0108,0.0277,0
