"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.2232,0.0917,0.0251,0.028,0.0577,0.2164,0.0544,0.1829,0.052,0.0515,0.0478,0.0276,0.0644,0.0386,0.047,0.0432,0.0417,0.0408,0.0517,0.0497,0.0502,0.0526,0.04,0.041,0.0445,0.0616,0.0478,0.0315,0.0569,0.0452,0.0253,0.1413,0.0382,0.0421,0.0632,0.0343,0.0097,0.0581,0.0597,0.0356,0.0318,0.0215,0.0639,0.0514,0
"TTL_A03",3e-04,1.0261,1e-04,1e-04,3e-04,0.0015,2e-04,2e-04,1e-04,2e-04,2e-04,1e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,3e-04,2e-04,1e-04,2e-04,2e-04,2e-04,3e-04,2e-04,2e-04,2e-04,0.0016,1e-04,0.003,0.0012,2e-04,2e-04,1e-04,0,3e-04,9e-04,1e-04,1e-04,2e-04,0.003,2e-04,0
"TTL_B05_06",0.0114,0.0101,1.0103,0.0351,0.0523,0.014,0.0125,0.02,0.0443,0.2556,0.0355,0.012,0.0219,0.0299,0.0448,0.0239,0.0125,0.0134,0.0198,0.0168,0.0194,0.0154,0.2116,0.0138,0.0149,0.013,0.0217,0.0361,0.0391,0.0159,0.0037,0.0098,0.0103,0.0056,0.012,0.0064,0.0022,0.0135,0.0084,0.0081,0.0056,0.0075,0.0115,0.0101,0
"TTL_B07_08",0.0032,0.0022,0.0033,1.008,0.0152,0.0042,0.0019,0.0059,0.0045,0.0046,0.0174,0.0038,0.0046,0.0818,0.0195,0.007,0.0034,0.0038,0.0068,0.0048,0.0031,0.0041,0.0034,0.0038,0.0299,0.0018,0.002,0.0014,0.0024,0.0026,8e-04,0.0025,0.0018,0.0014,0.0018,0.001,8e-04,0.0031,0.0017,0.0027,7e-04,0.0024,0.0018,0.002,0
"TTL_B09",5e-04,0.0032,0.0099,0.0033,1.0238,6e-04,4e-04,7e-04,0.0012,0.017,0.0013,5e-04,8e-04,0.0048,0.0016,8e-04,4e-04,5e-04,8e-04,7e-04,6e-04,5e-04,0.0031,7e-04,0.0022,4e-04,0.001,0.0023,0.0024,0.001,1e-04,4e-04,3e-04,2e-04,4e-04,2e-04,1e-04,5e-04,3e-04,4e-04,2e-04,3e-04,4e-04,3e-04,0
"TTL_C10T12",0.1018,0.0817,0.005,0.0095,0.0129,1.2531,0.026,0.0211,0.0084,0.0101,0.0164,0.0081,0.011,0.0082,0.0094,0.0088,0.0086,0.008,0.0106,0.0102,0.0094,0.0094,0.007,0.0073,0.0079,0.016,0.0087,0.0067,0.019,0.0153,0.0041,0.1837,0.0122,0.0076,0.0118,0.0068,0.0061,0.0108,0.0196,0.0061,0.0055,0.0144,0.0328,0.015,0
"TTL_C13T15",0.0178,0.0413,0.0146,0.0145,0.0326,0.0224,1.3082,0.0327,0.0285,0.0268,0.0222,0.0147,0.0347,0.021,0.0266,0.0228,0.0246,0.0241,0.0317,0.0284,0.0326,0.0337,0.0207,0.0261,0.0239,0.0364,0.0293,0.0152,0.0301,0.0564,0.0294,0.0213,0.0192,0.0271,0.04,0.0216,0.0053,0.0362,0.0256,0.027,0.0218,0.0257,0.0345,0.0222,0
"TTL_C16",0.0085,0.0117,0.0177,0.0126,0.0278,0.0158,0.0278,1.2055,0.0188,0.024,0.018,0.0104,0.0171,0.019,0.0253,0.0213,0.0151,0.0141,0.0241,0.0248,0.0154,0.0949,0.0193,0.0129,0.0286,0.0197,0.0142,0.016,0.0291,0.034,0.0052,0.012,0.0111,0.0107,0.0197,0.0091,0.0055,0.0229,0.014,0.0097,0.0052,0.0066,0.0132,0.018,0
"TTL_C17_18",0.0304,0.0604,0.0269,0.0277,0.0642,0.0461,0.0435,0.0536,1.3169,0.0798,0.0444,0.0337,0.0427,0.0471,0.0662,0.0514,0.0436,0.0447,0.0592,0.0461,0.0581,0.0777,0.0499,0.043,0.0395,0.0638,0.0468,0.0274,0.0458,0.0775,0.0212,0.0401,0.1104,0.0444,0.0632,0.03,0.0077,0.0622,0.0398,0.0501,0.019,0.0166,0.0521,0.0399,0
"TTL_C19",0.0176,0.0088,0.0077,0.0253,0.0452,0.0174,0.0132,0.0218,0.0212,1.1009,0.0328,0.0141,0.0206,0.0325,0.0366,0.0182,0.0123,0.013,0.0195,0.0184,0.0176,0.0149,0.0263,0.0142,0.0216,0.0135,0.0528,0.14,0.1423,0.0304,0.004,0.0081,0.0095,0.0054,0.0109,0.0056,0.0029,0.0123,0.0085,0.0078,0.0047,0.008,0.01,0.0086,0
"TTL_C20",0.1005,0.0284,0.059,0.2951,0.0839,0.0423,0.0422,0.1752,0.0855,0.1594,1.4642,0.19,0.2535,0.0642,0.096,0.0512,0.0696,0.0432,0.102,0.08,0.036,0.0992,0.0396,0.0242,0.0428,0.0301,0.0249,0.0302,0.044,0.0309,0.0108,0.0251,0.0221,0.0153,0.0235,0.0125,0.0081,0.0279,0.0183,0.0423,0.0098,0.1023,0.023,0.0263,0
"TTL_C21",0.0055,0.0035,0.0111,0.0671,0.0059,0.0037,0.0057,0.0046,0.0026,0.0052,0.0045,1.1021,0.0028,0.0073,0.0169,0.0057,0.003,0.0032,0.0046,0.0035,0.0055,0.0031,0.004,0.0026,0.004,0.0027,0.0022,0.0017,0.0029,0.0023,8e-04,0.0022,0.0018,0.0018,0.003,0.0016,6e-04,0.005,0.0023,0.0039,0.0013,0.0884,0.0028,0.0028,0
"TTL_C22",0.019,0.0224,0.0139,0.0215,0.0456,0.0358,0.0376,0.0343,0.0453,0.0405,0.0594,0.0203,1.2135,0.0241,0.042,0.0304,0.0523,0.0266,0.0376,0.0447,0.029,0.0357,0.0265,0.0266,0.0377,0.0383,0.0181,0.0143,0.0237,0.0305,0.0125,0.0191,0.0159,0.0119,0.0179,0.0096,0.0036,0.0192,0.0125,0.0108,0.0083,0.0138,0.0156,0.0149,0
"TTL_C23",0.014,0.0071,0.0084,0.0113,0.0324,0.0158,0.0056,0.0128,0.0086,0.0109,0.0142,0.0065,0.0114,1.1252,0.0285,0.0127,0.0079,0.0103,0.0303,0.0208,0.0073,0.0099,0.0104,0.0095,0.1539,0.006,0.008,0.0045,0.008,0.0079,0.0022,0.008,0.0052,0.0049,0.0064,0.0035,0.0034,0.0104,0.0056,0.0108,0.0028,0.005,0.0056,0.0065,0
"TTL_C24",0.0167,0.0173,0.0419,0.0239,0.0672,0.0346,0.0232,0.0377,0.0356,0.0455,0.0467,0.0329,0.0379,0.0319,1.5459,0.4059,0.1267,0.1542,0.2224,0.1212,0.1197,0.1066,0.0388,0.0668,0.0418,0.0178,0.0142,0.0127,0.0263,0.0195,0.0071,0.0145,0.0206,0.0118,0.0163,0.0086,0.0062,0.0286,0.0141,0.0127,0.0067,0.0132,0.0131,0.0213,0
