"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.3018,0.0535,0.0269,0.0104,0.0113,0.2893,0.0591,0.636,0.2995,0.0214,0.0336,0.0116,0.0255,0.0237,0.0192,0.0177,0.017,0.0219,0.0157,0.0141,0.0212,0.0485,0.0353,0.0195,0.0535,0.013,0.0136,0.029,0.0183,0.0188,0.0158,0.079,0.0464,0.0141,0.0147,0.0078,0.0242,0.0185,0.0156,0.0138,0.013,0.013,0.0432,0.0186,0
"TTL_A03",4e-04,1.0228,3e-04,2e-04,2e-04,0.003,3e-04,3e-04,3e-04,3e-04,0.0013,6e-04,4e-04,3e-04,2e-04,2e-04,3e-04,3e-04,2e-04,2e-04,2e-04,3e-04,1e-04,3e-04,2e-04,3e-04,2e-04,0.0027,3e-04,4e-04,2e-04,0.0116,3e-04,3e-04,3e-04,1e-04,1e-04,4e-04,5e-04,2e-04,2e-04,2e-04,9e-04,2e-04,0
"TTL_B05_06",0.0732,0.0633,1.1295,0.0238,0.0219,0.028,0.0227,0.0453,0.0362,0.6878,0.0719,0.0124,0.0289,0.069,0.048,0.0204,0.013,0.0215,0.0158,0.0167,0.0146,0.0182,0.0227,0.0311,0.0255,0.0121,0.0577,0.0767,0.1185,0.0332,0.015,0.0134,0.0119,0.0076,0.0064,0.0037,0.0102,0.0075,0.0143,0.0076,0.0053,0.0048,0.0108,0.0095,0
"TTL_B07_08",0.0066,0.0063,0.0309,1.0724,0.0435,0.0055,0.0088,0.0073,0.0075,0.0209,0.0183,0.0031,0.0128,0.0234,0.2163,0.0452,0.0126,0.0446,0.024,0.0245,0.0193,0.019,0.0098,0.0175,0.017,0.0037,0.0084,0.0107,0.0101,0.021,0.0037,0.0037,0.0038,0.0028,0.0025,0.0014,0.0061,0.0032,0.0039,0.0031,0.0019,0.0017,0.004,0.0038,0
"TTL_B09",9e-04,0.0014,0.0031,0.004,1.0063,8e-04,9e-04,0.0012,0.002,0.0031,0.0016,4e-04,0.0016,0.0056,0.0119,0.0029,0.001,0.0028,0.0017,0.0017,0.0014,0.0014,0.0061,0.0015,0.0036,5e-04,9e-04,0.0011,0.0012,0.0021,4e-04,6e-04,6e-04,3e-04,3e-04,2e-04,0.001,4e-04,5e-04,5e-04,3e-04,3e-04,6e-04,5e-04,0
"TTL_C10T12",0.045,0.0469,0.0072,0.0034,0.0043,1.1378,0.0163,0.024,0.0182,0.0067,0.0277,0.0071,0.011,0.0065,0.0054,0.0048,0.0062,0.006,0.005,0.0052,0.0049,0.0067,0.0045,0.0075,0.0054,0.0069,0.005,0.0314,0.0092,0.0069,0.0042,0.19,0.0076,0.0066,0.0057,0.0037,0.0034,0.0103,0.01,0.0077,0.0099,0.0158,0.0206,0.0048,0
"TTL_C13T15",0.0016,0.0241,0.0046,9e-04,9e-04,0.0016,1.0727,0.0013,0.0025,0.0033,0.0014,5e-04,0.0021,0.0037,0.0014,0.0019,0.0013,0.0016,0.0021,0.0042,0.0031,0.0052,7e-04,0.0013,0.0016,9e-04,0.0012,0.0026,0.0017,0.0015,0.0011,0.0022,0.0013,0.0012,9e-04,4e-04,5e-04,9e-04,8e-04,0.0013,6e-04,0.0019,0.002,0.001,0
"TTL_C16",0.023,0.0581,0.0197,0.0073,0.0075,0.0127,0.0096,1.0894,0.0485,0.0156,0.0108,0.0039,0.0119,0.0189,0.0125,0.0145,0.0097,0.0149,0.0117,0.0088,0.0216,0.0588,0.0415,0.01,0.0741,0.0083,0.0097,0.0139,0.0115,0.0125,0.0075,0.0103,0.0105,0.0052,0.0054,0.0039,0.0244,0.0073,0.0069,0.0078,0.0056,0.0044,0.0135,0.014,0
"TTL_C17_18",0.014,0.0161,0.0198,0.0101,0.0105,0.0361,0.0194,0.0199,1.1666,0.0163,0.02,0.0179,0.0264,0.0233,0.0167,0.0152,0.0225,0.0241,0.0161,0.0149,0.0153,0.0216,0.0101,0.0226,0.0132,0.0136,0.0134,0.018,0.016,0.0152,0.032,0.0156,0.1102,0.0241,0.0294,0.0105,0.0101,0.0305,0.0182,0.0122,0.015,0.0088,0.0223,0.0173,0
"TTL_C19",0.096,0.0946,0.0634,0.0324,0.029,0.0382,0.0321,0.0603,0.0486,1.0712,0.1061,0.0182,0.0413,0.0651,0.0452,0.0245,0.0174,0.0261,0.0198,0.0212,0.0188,0.0238,0.0297,0.0441,0.0329,0.0174,0.0862,0.1146,0.1782,0.0477,0.0214,0.0185,0.0165,0.0107,0.0089,0.0052,0.0136,0.0105,0.0208,0.0107,0.0074,0.0067,0.015,0.0133,0
"TTL_C20",0.0499,0.0298,0.0586,0.0303,0.0285,0.0334,0.1125,0.0414,0.0835,0.0458,1.2636,0.1278,0.2566,0.0624,0.036,0.0342,0.0394,0.0369,0.025,0.0296,0.0281,0.0478,0.039,0.0338,0.0259,0.0104,0.0197,0.023,0.0209,0.0182,0.0101,0.0171,0.0263,0.0102,0.0098,0.0048,0.0124,0.0132,0.0144,0.0098,0.0078,0.0139,0.0177,0.0239,0
"TTL_C21",0.0031,0.0027,0.0056,0.0032,0.003,0.0037,0.0109,0.0029,0.004,0.0046,0.0094,1.0113,0.0085,0.0039,0.0044,0.003,0.0048,0.0038,0.0029,0.0029,0.003,0.0034,0.0019,0.0039,0.0027,0.0033,0.0029,0.0037,0.0092,0.0032,0.0021,0.0026,0.0047,0.0025,0.0019,9e-04,0.0012,0.0026,0.0023,0.0014,0.0011,0.0129,0.0023,0.0021,0
"TTL_C22",0.0094,0.0116,0.0357,0.0058,0.0062,0.0245,0.0223,0.0107,0.0148,0.0249,0.026,0.007,1.0526,0.0237,0.0103,0.0119,0.0203,0.0344,0.0224,0.0316,0.0254,0.0257,0.0048,0.0184,0.0202,0.0095,0.0105,0.0113,0.0105,0.0087,0.0042,0.0112,0.0074,0.0045,0.0054,0.0026,0.0071,0.0066,0.0061,0.0071,0.0038,0.0057,0.0067,0.0073,0
"TTL_C23",0.008,0.0051,0.0128,0.0099,0.0123,0.0115,0.0137,0.0141,0.0067,0.0101,0.0107,0.0036,0.0096,1.0976,0.0111,0.0113,0.0064,0.0142,0.0079,0.0119,0.0104,0.0109,0.006,0.0085,0.0497,0.0044,0.0055,0.0068,0.0065,0.009,0.0034,0.0077,0.0039,0.0028,0.0027,0.0023,0.0148,0.0035,0.0038,0.0043,0.003,0.0028,0.0052,0.0054,0
"TTL_C24",0.0208,0.0175,0.0336,0.0212,0.0237,0.0169,0.036,0.0228,0.0162,0.0269,0.0173,0.006,0.0491,0.0685,1.4348,0.285,0.0706,0.279,0.1468,0.1491,0.1144,0.1106,0.013,0.0349,0.0607,0.0102,0.0143,0.0286,0.023,0.0199,0.0092,0.0114,0.0118,0.0119,0.0097,0.0047,0.0164,0.0126,0.0124,0.0126,0.0063,0.006,0.0106,0.0156,0
