"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1416,0.0796,0.0069,0.0098,0.0108,0.4446,0.0607,0.1374,0.0448,0.0081,0.0328,0.1185,0.3216,0.0148,0.0106,0.016,0.0199,0.0272,0.0182,0.0329,0.0269,0.0254,0.0066,0.0074,0.0223,0.0169,0.02,0.0073,0.031,0.0097,0.0073,0.2041,0.0175,0.0068,0.0248,0.0114,0.0056,0.0187,0.0225,0.0228,0.0246,0.0708,0.0368,0.0364,0
"TTL_A03",0.0093,1.0494,7e-04,0.001,0.001,0.0528,0.0022,0.0022,0.0028,8e-04,0.0024,0.0521,0.0037,0.0013,0.001,0.001,0.0012,0.0013,0.0013,0.0014,0.0013,0.0016,7e-04,7e-04,0.0016,0.0019,0.0016,9e-04,0.0029,0.0023,9e-04,0.0411,0.0014,8e-04,0.0025,0.0013,4e-04,0.0018,0.0024,0.0029,0.003,0.0136,0.0026,0.0033,0
"TTL_B05_06",0.0604,0.162,1.1809,0.1435,0.0899,0.0779,0.1034,0.116,0.1058,0.9428,0.1792,0.0943,0.1159,0.2049,0.2226,0.1547,0.0781,0.1237,0.1505,0.1337,0.1309,0.1011,0.4667,0.1093,0.1482,0.0417,0.3333,0.2063,0.2405,0.1604,0.0636,0.1005,0.0814,0.0532,0.0908,0.042,0.0393,0.074,0.0955,0.0712,0.0603,0.0849,0.0636,0.1399,0
"TTL_B07_08",0.0019,0.0018,0.0016,1.0025,0.0086,0.0031,0.0034,0.0034,0.0038,0.0017,0.0071,0.01,0.0033,0.0804,0.0762,0.0361,0.0102,0.0217,0.0202,0.0194,0.0172,0.0237,0.0015,0.002,0.06,0.0015,0.0016,0.0019,0.002,0.0016,0.0011,0.0021,0.0045,0.0015,0.0034,0.0018,0.0011,0.0031,0.0027,0.002,0.0017,0.0033,0.0038,0.0044,0
"TTL_B09",0.0032,0.0077,0.0407,0.0251,1.0439,0.004,0.005,0.0058,0.006,0.041,0.0096,0.005,0.0059,0.0137,0.0136,0.0096,0.0041,0.0067,0.0079,0.007,0.0068,0.0056,0.0215,0.0058,0.0115,0.002,0.015,0.0092,0.0108,0.0079,0.0029,0.0048,0.004,0.0025,0.0044,0.002,0.002,0.0036,0.0045,0.0034,0.0029,0.0041,0.0031,0.0067,0
"TTL_C10T12",0.1075,0.1949,0.0072,0.0095,0.0102,1.28,0.0329,0.0272,0.0424,0.0089,0.0388,0.0864,0.0451,0.0174,0.0104,0.0115,0.0125,0.0144,0.0137,0.0152,0.0145,0.0205,0.0075,0.0074,0.0165,0.0187,0.0162,0.0076,0.0538,0.0079,0.0094,0.3453,0.0167,0.008,0.0251,0.0144,0.0045,0.0188,0.0246,0.037,0.0301,0.0525,0.0349,0.0512,0
"TTL_C13T15",0.0072,0.0107,0.0048,0.0066,0.0095,0.0088,1.4163,0.0087,0.0145,0.0059,0.0326,0.0201,0.0309,0.0136,0.0086,0.0088,0.0111,0.02,0.012,0.0178,0.0369,0.0388,0.005,0.0065,0.0116,0.0174,0.0169,0.0144,0.011,0.0199,0.0044,0.0297,0.0194,0.0048,0.0166,0.0184,0.0036,0.0138,0.015,0.0095,0.0057,0.0254,0.0165,0.0408,0
"TTL_C16",0.0021,0.0014,0.0011,0.0024,0.0036,0.0019,0.0036,1.2083,0.0026,0.0011,0.0028,0.0035,0.0024,0.0033,0.0017,0.005,0.0027,0.0041,0.0056,0.0048,0.0098,0.0323,9e-04,0.0022,0.0223,0.0014,0.0012,0.0012,0.0018,0.0027,0.001,0.0016,0.0052,0.0012,0.0041,0.002,7e-04,0.0035,0.0037,0.0013,0.0019,0.0018,0.005,0.0043,0
"TTL_C17_18",0.0057,0.007,0.02,0.0071,0.0177,0.012,0.0156,0.0229,1.4043,0.0174,0.0172,0.0398,0.0121,0.02,0.0133,0.0129,0.0104,0.0153,0.0131,0.0189,0.0145,0.0157,0.0115,0.0099,0.014,0.0076,0.0124,0.0089,0.0192,0.0087,0.0114,0.0108,0.1135,0.0127,0.121,0.0338,0.0075,0.1026,0.0691,0.0292,0.0434,0.0177,0.0241,0.0182,0
"TTL_C19",0.0606,0.1916,0.1541,0.1551,0.0734,0.0691,0.069,0.0813,0.0805,1.1872,0.1334,0.0793,0.0902,0.1418,0.1551,0.1179,0.0605,0.0945,0.1295,0.1049,0.1077,0.0771,0.1414,0.0675,0.1312,0.0326,0.4058,0.2494,0.2746,0.0863,0.059,0.0693,0.0607,0.0357,0.0819,0.0331,0.0213,0.0637,0.0953,0.0799,0.0508,0.0586,0.0489,0.114,0
"TTL_C20",0.1154,0.0339,0.0161,0.04,0.0305,0.0684,0.1215,0.1038,0.1871,0.0267,1.3755,0.2496,0.3088,0.1118,0.0482,0.0679,0.057,0.085,0.0656,0.0925,0.0828,0.0679,0.0136,0.043,0.069,0.0181,0.0259,0.0158,0.026,0.0178,0.0101,0.0446,0.0861,0.0115,0.0511,0.0194,0.0067,0.0523,0.0417,0.017,0.0214,0.0939,0.0226,0.1836,0
"TTL_C21",0.0043,0.0014,3e-04,5e-04,7e-04,0.0028,8e-04,0.001,0.0034,3e-04,0.0017,1.0566,0.0022,7e-04,4e-04,5e-04,7e-04,6e-04,6e-04,7e-04,6e-04,6e-04,2e-04,3e-04,6e-04,2e-04,5e-04,7e-04,7e-04,0.0024,2e-04,0.0013,7e-04,2e-04,7e-04,5e-04,1e-04,6e-04,6e-04,5e-04,0.0013,0.1478,7e-04,0.0022,0
"TTL_C22",0.0147,0.0287,0.0075,0.0122,0.0142,0.024,0.0408,0.0228,0.0371,0.0088,0.0249,0.0558,1.1126,0.0157,0.0149,0.032,0.046,0.0678,0.035,0.0869,0.0622,0.0369,0.0067,0.0097,0.0327,0.0234,0.0388,0.0091,0.0113,0.0153,0.0061,0.0163,0.0234,0.0064,0.0219,0.0071,0.0032,0.018,0.0183,0.0066,0.0069,0.0258,0.0098,0.0219,0
"TTL_C23",0.0026,0.0036,0.0018,0.0026,0.0117,0.0075,0.0029,0.007,0.0035,0.0019,0.0043,0.0309,0.0031,1.1292,0.0056,0.0088,0.0136,0.0613,0.0219,0.0197,0.0122,0.0075,0.0023,0.0052,0.258,0.0022,0.0019,0.0016,0.0023,0.0031,0.0013,0.0059,0.004,0.0019,0.0046,0.0026,0.0033,0.004,0.0029,0.0065,0.002,0.0069,0.0033,0.0056,0
"TTL_C24",0.0196,0.022,0.0159,0.0303,0.0533,0.0341,0.0413,0.0435,0.0329,0.0161,0.024,0.0341,0.0258,0.0494,1.5746,0.7147,0.1758,0.3324,0.3444,0.3252,0.3122,0.3532,0.017,0.0174,0.1753,0.0226,0.0186,0.0278,0.0257,0.0171,0.0141,0.0225,0.0602,0.0207,0.0423,0.0214,0.0087,0.0387,0.0347,0.0193,0.0219,0.0286,0.0519,0.0521,0
"TTL_C25",0.0181,0.0084,0.0041,0.0238,0.0172,0.0311,0.0115,0.0395,0.0154,0.0045,0.0109,0.0222,0.0151,0.0105,0.0129,1.0366,0.0166,0.0444,0.0957,0.0537,0.0464,0.0209,0.005,0.0043,0.0595,0.0048,0.0053,0.0057,0.0089,0.0087,0.003,0.0132,0.0156,0.0034,0.0096,0.0034,0.0024,0.0091,0.0104,0.0044,0.0036,0.0123,0.006,0.0159,0
"TTL_C26",0.0078,0.01,0.0278,0.0115,0.0313,0.0125,0.0239,0.0176,0.0252,0.0245,0.0198,0.0283,0.0164,0.021,0.0182,0.018,2.2393,0.1027,0.0603,0.1286,0.0411,0.1331,0.0204,0.0242,0.0269,0.0112,0.0195,0.0131,0.0301,0.014,0.0323,0.0154,0.1084,0.0967,0.1334,0.0366,0.0106,0.0883,0.0513,0.0742,0.0402,0.0984,0.0351,0.1838,0
"TTL_C27",0.0026,0.0041,0.0038,0.005,0.0064,0.0041,0.0059,0.0061,0.0055,0.004,0.0053,0.0051,0.005,0.0067,0.007,0.0069,0.032,1.3147,0.0402,0.064,0.0463,0.0129,0.0166,0.0045,0.0601,0.0096,0.0063,0.005,0.0049,0.0063,0.0038,0.0115,0.014,0.0082,0.0086,0.0052,0.0036,0.0082,0.0064,0.0035,0.0032,0.0068,0.0043,0.0164,0
"TTL_C28",0.0074,0.0104,0.0125,0.0224,0.02,0.0103,0.0113,0.0236,0.0233,0.0114,0.0143,0.0114,0.0121,0.0177,0.0168,0.0154,0.0148,0.0175,1.2765,0.1176,0.068,0.0115,0.0098,0.0041,0.0164,0.0072,0.0088,0.0103,0.0078,0.0065,0.0047,0.0068,0.0085,0.0043,0.0113,0.0028,0.0018,0.0077,0.009,0.0054,0.0032,0.0068,0.0042,0.0087,0
"TTL_C29",0.0018,0.0027,0.0015,0.0026,0.0029,0.0033,0.004,0.0028,0.0037,0.0024,0.0031,0.0035,0.0034,0.0026,0.0033,0.0036,0.0064,0.0054,0.0081,1.3089,0.0192,0.0047,0.0017,0.0013,0.0041,0.0143,0.0099,0.0026,0.0026,0.002,0.0012,0.0029,0.0028,0.0012,0.0027,0.0011,6e-04,0.0023,0.0022,0.0017,0.0013,0.0028,0.0019,0.0038,0
"TTL_C30",0.0011,0.039,0.0038,0.0055,0.0019,0.0032,0.0015,0.0014,0.0016,0.004,0.0017,0.0035,0.0015,0.002,0.0023,0.0021,0.0019,0.0028,0.0032,0.0026,1.2657,0.0019,0.0021,8e-04,0.0022,0.0028,0.0033,0.0688,0.024,0.0015,0.0016,0.0026,0.0014,9e-04,0.0016,8e-04,4e-04,0.0014,0.0033,0.0013,8e-04,0.0021,0.0012,0.0019,0
"TTL_C31T33",0.0117,0.0125,0.023,0.0162,0.086,0.0169,0.1057,0.0286,0.0338,0.0218,0.0311,0.0391,0.0259,0.0312,0.0264,0.0276,0.0453,0.0344,0.0277,0.035,0.0494,1.4067,0.0199,0.04,0.0306,0.0136,0.024,0.02,0.0353,0.0185,0.03,0.0215,0.1401,0.0366,0.0785,0.0583,0.0164,0.0822,0.0739,0.0305,0.0606,0.032,0.1788,0.0626,0
