"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0837,0.0416,0.003,0.0115,0.006,0.4184,0.027,0.0268,0.0129,0.0121,0.0127,0.0126,0.0113,0.0047,0.006,0.0057,0.0078,0.0079,0.008,0.0401,0.0395,0.0498,0.0038,0.0123,0.0055,0.0132,0.0033,0.0059,0.0076,0.0035,0.0014,0.0783,0.0127,0.0012,0.0055,0.0013,0.0029,0.0066,0.0063,0.0084,0.01,0.0183,0.0308,0.0319,0
"TTL_A03",0.01,1.0745,3e-04,0.0017,8e-04,0.0357,0.0037,0.0028,0.0022,0.0013,0.0014,0.0016,0.0011,4e-04,5e-04,4e-04,6e-04,7e-04,6e-04,8e-04,8e-04,0.0037,3e-04,0.0011,5e-04,8e-04,4e-04,8e-04,0.0011,5e-04,2e-04,0.0152,0.0088,2e-04,9e-04,1e-04,5e-04,0.0011,0.0011,0.0016,0.0026,0.0048,0.01,0.0132,0
"TTL_B05_06",0.0213,0.0191,1.1455,0.0724,0.0366,0.0318,0.0232,0.0388,0.0418,0.1472,0.0465,0.0262,0.0388,0.0931,0.1316,0.0648,0.0323,0.0479,0.0482,0.0532,0.0476,0.0391,0.3069,0.0417,0.0426,0.0081,0.0564,0.0676,0.0759,0.0461,0.0109,0.02,0.0271,0.0133,0.0158,0.0034,0.0103,0.017,0.0181,0.0075,0.0082,0.0113,0.0173,0.0209,0
"TTL_B07_08",0.0073,0.0064,0.0099,1.0104,0.0247,0.0175,0.0135,0.0357,0.0433,0.1287,0.1753,0.0733,0.1402,0.0201,0.0152,0.0122,0.0262,0.0517,0.0391,0.0197,0.0174,0.0338,0.01,0.0125,0.0336,0.0016,0.0037,0.0046,0.0067,0.0027,0.0015,0.0089,0.0209,0.0013,0.006,0.001,0.0044,0.0073,0.007,0.003,0.0027,0.0055,0.007,0.0073,0
"TTL_B09",0.0028,0.0123,0.0842,0.0342,1.0497,0.0043,0.0029,0.006,0.0068,0.0302,0.0116,0.0054,0.0089,0.0131,0.0124,0.0064,0.0038,0.0061,0.0056,0.0059,0.0053,0.0057,0.0288,0.0052,0.0066,8e-04,0.0049,0.0055,0.0064,0.0041,0.001,0.0023,0.0036,0.0011,0.0017,4e-04,0.0013,0.0019,0.0021,0.0011,9e-04,0.0014,0.0022,0.0024,0
"TTL_C10T12",0.1435,0.0924,0.0044,0.0075,0.0087,1.2687,0.0211,0.0139,0.0138,0.0228,0.0225,0.024,0.0159,0.0073,0.0084,0.0075,0.0087,0.0088,0.0082,0.0133,0.0123,0.0163,0.0045,0.032,0.0063,0.0213,0.0048,0.0128,0.0161,0.0058,0.0026,0.1776,0.0095,0.0019,0.0076,0.0031,0.0041,0.0093,0.0089,0.01,0.0113,0.0204,0.0228,0.028,0
"TTL_C13T15",0.0016,0.002,0.0108,0.0079,0.0033,0.0042,1.571,0.0259,0.0358,0.0053,0.0056,0.0048,0.0093,0.0033,0.0036,0.003,0.0035,0.0044,0.0039,0.0031,0.0027,0.0185,0.0047,0.0246,0.0029,0.0015,0.0016,0.0024,0.0029,0.0015,7e-04,0.0017,0.008,6e-04,0.0024,3e-04,0.0013,0.0031,0.0031,0.0022,0.0019,0.0037,0.0072,0.0081,0
"TTL_C16",0.003,0.0023,0.0029,0.0162,0.0054,0.0127,0.0132,1.1869,0.0227,0.0056,0.0064,0.0042,0.0071,0.0105,0.0079,0.0092,0.0082,0.0132,0.0109,0.006,0.0067,0.0608,0.0048,0.0044,0.0346,0.0035,0.0018,0.0025,0.0027,0.0021,7e-04,0.0035,0.0079,7e-04,0.003,9e-04,0.0026,0.003,0.0027,0.0012,0.0015,0.0017,0.0056,0.0062,0
"TTL_C17_18",0.0047,0.0036,0.0037,0.0151,0.006,0.0283,0.0294,0.0224,1.1541,0.008,0.0099,0.0106,0.0112,0.0122,0.0072,0.0085,0.0134,0.0174,0.0129,0.0075,0.0074,0.0165,0.006,0.0068,0.008,0.0077,0.0038,0.0046,0.0073,0.0048,0.0021,0.0075,0.1633,0.0024,0.0064,0.0043,0.0027,0.011,0.0055,0.0028,0.0043,0.0038,0.0113,0.0076,0
"TTL_C19",0.0441,0.0476,0.0404,0.0442,0.0795,0.0602,0.0457,0.157,0.1422,1.4006,0.196,0.0908,0.1301,0.0709,0.0768,0.046,0.0357,0.0586,0.0501,0.0691,0.0677,0.1279,0.0425,0.0522,0.0421,0.0065,0.0215,0.0276,0.0433,0.0108,0.0092,0.0197,0.0561,0.0061,0.0218,0.0058,0.0168,0.0267,0.036,0.0216,0.015,0.0262,0.0428,0.0348,0
"TTL_C20",0.0204,0.0121,0.0213,0.0238,0.0527,0.0456,0.0511,0.1397,0.1996,0.1388,1.4196,0.2747,0.3463,0.0455,0.0428,0.0403,0.0472,0.0767,0.0507,0.0743,0.0617,0.1534,0.0199,0.0538,0.0299,0.0046,0.0081,0.0098,0.0136,0.007,0.0037,0.0131,0.0891,0.0039,0.0157,0.0029,0.0157,0.0253,0.0208,0.0067,0.0082,0.0186,0.0184,0.0237,0
"TTL_C21",0.0028,0.0021,0.0017,0.0025,0.0041,0.0064,0.0045,0.0104,0.012,0.0245,0.0281,1.3168,0.0166,0.0032,0.0034,0.003,0.0041,0.0051,0.0043,0.008,0.0074,0.0257,0.002,0.0114,0.0026,5e-04,0.001,0.0013,0.0019,9e-04,5e-04,0.0017,0.0084,6e-04,0.0026,4e-04,0.0017,0.006,0.0028,0.0015,0.0016,0.0105,0.0019,0.003,0
"TTL_C22",0.0106,0.0085,0.0129,0.0121,0.0241,0.0353,0.0388,0.0761,0.0909,0.0489,0.0614,0.0748,1.2153,0.0261,0.0195,0.028,0.0428,0.068,0.0511,0.0384,0.025,0.0651,0.0127,0.0175,0.0207,0.0029,0.006,0.0056,0.0079,0.0045,0.0023,0.0087,0.0653,0.0023,0.0091,0.0018,0.007,0.0118,0.0104,0.0043,0.0047,0.0094,0.0113,0.0142,0
"TTL_C23",0.0012,0.0012,0.0036,0.0037,0.0235,0.0027,0.0026,0.0058,0.0045,0.006,0.0062,0.005,0.0065,1.2047,0.0497,0.033,0.0057,0.0079,0.0071,0.0302,0.0213,0.0118,0.0055,0.0114,0.1386,8e-04,0.0015,0.0018,0.0023,0.0013,6e-04,0.0046,0.0042,6e-04,0.0021,4e-04,0.0024,0.0022,0.0019,0.0016,0.0017,0.0029,0.0037,0.005,0
"TTL_C24",0.0058,0.0054,0.0139,0.0165,0.0609,0.0101,0.0098,0.0179,0.0177,0.0124,0.0122,0.0082,0.0142,0.0626,1.3706,0.3856,0.0317,0.0556,0.0503,0.3331,0.2478,0.1089,0.0273,0.0509,0.1714,0.0034,0.0078,0.008,0.0105,0.0055,0.0032,0.0097,0.0093,0.003,0.0094,0.0012,0.0085,0.0116,0.0097,0.0024,0.0021,0.0035,0.0063,0.0077,0
"TTL_C25",0.0036,0.0036,0.0121,0.0123,0.0569,0.0081,0.0088,0.0207,0.0129,0.0113,0.0098,0.0074,0.0124,0.054,0.1052,1.2193,0.02,0.0281,0.0358,0.144,0.1353,0.0673,0.0213,0.029,0.1438,0.0022,0.0054,0.0065,0.0078,0.0046,0.0022,0.0097,0.0087,0.0022,0.0103,0.0011,0.0091,0.0107,0.0108,0.0025,0.0021,0.0029,0.0061,0.0056,0
"TTL_C26",0.0044,0.0042,0.0261,0.0205,0.0157,0.0143,0.0104,0.0248,0.0329,0.0166,0.014,0.0134,0.0159,0.0156,0.0202,0.0175,1.5228,0.2096,0.1241,0.0316,0.0428,0.0401,0.0472,0.015,0.0361,0.0031,0.0144,0.0206,0.0292,0.0161,0.0032,0.0057,0.0379,0.0058,0.0787,0.002,0.0083,0.0361,0.02,0.0075,0.0083,0.0187,0.0186,0.0271,0
"TTL_C27",0.0017,0.0015,0.0104,0.0094,0.0071,0.0059,0.0039,0.008,0.0088,0.0068,0.0057,0.0046,0.0065,0.0078,0.0105,0.0084,0.0694,1.1706,0.0603,0.0123,0.0137,0.0093,0.0333,0.0056,0.0275,0.001,0.0044,0.0055,0.0064,0.0042,0.001,0.0022,0.0069,0.0015,0.0104,5e-04,0.0041,0.0076,0.0061,0.0017,0.0019,0.0029,0.0052,0.0064,0
"TTL_C28",0.0094,0.008,0.0733,0.0521,0.0459,0.033,0.0201,0.0463,0.0488,0.0357,0.027,0.0212,0.0298,0.0358,0.047,0.0384,0.0863,0.1138,1.3592,0.0712,0.0795,0.0428,0.094,0.0235,0.0758,0.004,0.0155,0.0242,0.0279,0.0162,0.0052,0.0099,0.0312,0.0053,0.0229,0.0018,0.012,0.0224,0.0262,0.0052,0.0051,0.0089,0.0166,0.0153,0
"TTL_C29",0.0109,0.0064,0.0098,0.0206,0.0094,0.0104,0.0099,0.0088,0.0091,0.0081,0.0083,0.0058,0.0092,0.0105,0.0294,0.0292,0.0376,0.0375,0.0472,1.1858,0.0454,0.0334,0.0294,0.011,0.0179,0.0062,0.0156,0.0053,0.0098,0.0068,0.0057,0.0112,0.0072,0.0045,0.0081,0.001,0.003,0.0066,0.0106,0.002,0.0016,0.0028,0.005,0.005,0
"TTL_C30",0.0035,0.007,0.0046,0.0081,0.0036,0.0035,0.0025,0.0034,0.0037,0.0033,0.0031,0.0022,0.0033,0.0036,0.0134,0.0131,0.0293,0.0293,0.0344,0.025,1.1261,0.0096,0.0101,0.0042,0.0067,0.0022,0.0024,0.009,0.012,0.0022,0.0024,0.0042,0.0028,0.0016,0.0035,4e-04,0.0013,0.0033,0.0032,0.0011,9e-04,0.0012,0.0033,0.0031,0
"TTL_C31T33",0.0039,0.0037,0.0031,0.0053,0.0122,0.013,0.0163,0.009,0.0062,0.0026,0.0031,0.0027,0.0048,0.0031,0.0039,0.0037,0.0074,0.0062,0.0055,0.0044,0.0046,1.0234,0.0022,0.0029,0.0096,0.0018,0.0026,0.0029,0.0057,0.0025,9e-04,0.0044,0.0028,0.0013,0.002,3e-04,0.001,0.0019,0.002,7e-04,9e-04,0.0022,0.0022,0.0018,0
"TTL_D",0.0085,0.0061,0.0284,0.0981,0.0393,0.0217,0.0207,0.0331,0.038,0.0528,0.0474,0.0305,0.0468,0.1237,0.16,0.087,0.0332,0.0479,0.0445,0.0631,0.0547,0.035,1.0198,0.0751,0.0458,0.0062,0.0089,0.0084,0.0116,0.009,0.0047,0.0127,0.0178,0.006,0.0153,0.0026,0.0134,0.0159,0.0143,0.0067,0.0083,0.0125,0.0188,0.0131,0
"TTL_E",0.0065,0.0036,0.0017,0.007,0.0055,0.0055,0.0057,0.0035,0.0057,0.0043,0.0052,0.004,0.0048,0.0041,0.0052,0.0039,0.003,0.0038,0.0035,0.0033,0.0027,0.0033,0.0025,1.0308,0.0036,9e-04,0.0017,0.0024,0.0023,0.0018,7e-04,0.0037,0.006,8e-04,0.0044,3e-04,0.0056,0.0051,0.0048,9e-04,0.001,0.0016,0.0026,0.002,0
"TTL_F",0.0014,0.0012,0.0034,0.0047,0.0172,0.0034,0.0038,0.0041,0.0041,0.005,0.0036,0.003,0.0036,0.0068,0.0071,0.0061,0.0039,0.0048,0.0047,0.0037,0.0033,0.0028,0.0054,0.0032,1.0076,0.0025,0.002,0.0031,0.0037,0.0021,0.001,0.0028,0.0018,0.001,0.0039,0.0017,0.0068,0.0031,0.0024,8e-04,7e-04,0.001,0.0017,0.0014,0
"TTL_G",0.0587,0.0524,0.0634,0.0734,0.0982,0.1458,0.1817,0.1742,0.1861,0.2215,0.2027,0.1728,0.1881,0.113,0.1551,0.1569,0.2606,0.2097,0.2059,0.2034,0.1735,0.1868,0.086,0.076,0.135,1.0269,0.0322,0.0394,0.0565,0.0275,0.0137,0.0527,0.1233,0.0153,0.0566,0.0075,0.0236,0.0487,0.0453,0.0196,0.0184,0.0342,0.0502,0.0505,0
"TTL_H49",0.0139,0.0115,0.0536,0.0606,0.0609,0.0357,0.0429,0.0432,0.0454,0.0511,0.0548,0.0455,0.0515,0.0579,0.0695,0.063,0.0504,0.0513,0.0517,0.0578,0.0489,0.0425,0.0371,0.0297,0.0589,0.0244,1.0576,0.0364,0.031,0.0377,0.005,0.0258,0.0304,0.0041,0.0183,0.0083,0.0084,0.0195,0.0228,0.0106,0.0128,0.015,0.0294,0.026,0
"TTL_H50",0.0033,0.0035,0.0147,0.0157,0.0132,0.0084,0.0134,0.0124,0.0122,0.015,0.0121,0.0095,0.0113,0.0133,0.019,0.0164,0.0129,0.0137,0.0143,0.0127,0.0118,0.009,0.009,0.0079,0.0125,0.0054,0.0057,1.0387,0.0101,0.0083,0.001,0.0069,0.0082,0.001,0.0055,0.002,0.003,0.0057,0.0076,0.0027,0.0024,0.0034,0.0105,0.0071,0
"TTL_H51",0.0022,0.002,0.0087,0.0094,0.0057,0.0055,0.0076,0.0071,0.0076,0.0093,0.0088,0.0078,0.0084,0.0065,0.0095,0.0095,0.009,0.0085,0.0086,0.009,0.008,0.007,0.0059,0.0047,0.0077,0.0036,0.003,0.0052,1.0258,0.0049,0.001,0.0038,0.0045,7e-04,0.0035,0.0013,0.0013,0.0032,0.0051,0.0016,0.0013,0.0018,0.0044,0.0036,0
"TTL_H52",0.0077,0.0082,0.0566,0.0631,0.0605,0.0191,0.0358,0.0269,0.0288,0.0347,0.0309,0.0237,0.028,0.0405,0.046,0.0392,0.0284,0.0327,0.0301,0.029,0.0251,0.0214,0.0275,0.0231,0.0323,0.0263,0.0324,0.0795,0.0872,1.0541,0.0031,0.0214,0.0243,0.0031,0.0176,0.009,0.006,0.0167,0.0261,0.009,0.0062,0.0086,0.0231,0.025,0
"TTL_H53",0.0018,0.0016,0.0132,0.0151,0.0045,0.0049,0.0091,0.0054,0.0062,0.0078,0.0072,0.0063,0.0065,0.0057,0.0069,0.0062,0.0065,0.0073,0.0071,0.0066,0.0067,0.0048,0.0114,0.0056,0.0061,0.0102,0.0058,0.0064,0.008,0.0078,1.0362,0.0049,0.0056,0.0105,0.005,0.0023,0.0022,0.0062,0.0045,0.0021,0.0016,0.0021,0.0043,0.0046,0
"TTL_I",1e-04,1e-04,5e-04,0.0014,0.0037,3e-04,6e-04,4e-04,5e-04,6e-04,5e-04,5e-04,5e-04,4e-04,5e-04,5e-04,6e-04,7e-04,6e-04,3e-04,3e-04,3e-04,5e-04,4e-04,5e-04,3e-04,5e-04,6e-04,0.002,5e-04,1e-04,1.0017,0.0014,1e-04,7e-04,2e-04,3e-04,6e-04,6e-04,7e-04,6e-04,8e-04,0.0014,0.0014,0
"TTL_J58T60",0.0014,0.0012,0.0026,0.0073,0.004,0.0045,0.0036,0.0027,0.0055,0.0033,0.0034,0.0032,0.0031,0.0027,0.0028,0.0031,0.0036,0.0042,0.0035,0.003,0.0034,0.0051,0.0021,0.0034,0.0029,0.002,0.0043,0.0058,0.0107,0.006,0.0059,0.0026,1.0382,0.0077,0.003,0.0019,8e-04,0.0049,0.0019,0.001,0.0024,0.0012,0.0053,0.0026,0
"TTL_J61",0.0041,0.0036,0.0304,0.0336,0.011,0.011,0.0207,0.0126,0.0146,0.0177,0.016,0.0134,0.0148,0.0128,0.0155,0.0143,0.0156,0.0166,0.0159,0.0148,0.0152,0.0113,0.0227,0.0125,0.0154,0.0223,0.0174,0.0181,0.0311,0.0187,0.0044,0.0111,0.0132,1.0258,0.0161,0.0051,0.0049,0.0127,0.0093,0.0045,0.0036,0.0056,0.0126,0.0083,0
"TTL_J62_63",0.0016,0.0015,0.0033,0.0092,0.0047,0.0039,0.0045,0.0064,0.0079,0.005,0.0043,0.0042,0.0044,0.0039,0.0045,0.0041,0.0069,0.0056,0.0049,0.0051,0.0057,0.0041,0.0061,0.0043,0.0053,0.0024,0.0054,0.007,0.0136,0.0064,0.0051,0.003,0.0081,0.0095,1.0143,0.0023,0.001,0.0034,0.0024,0.0017,0.0011,0.0019,0.0044,0.003,0
"TTL_K",0.0284,0.0216,0.0412,0.0659,0.1329,0.0528,0.0763,0.0727,0.0783,0.1752,0.1169,0.1234,0.1406,0.0531,0.0642,0.0549,0.0746,0.0886,0.0816,0.0608,0.06,0.0644,0.0699,0.053,0.0478,0.0333,0.052,0.0719,0.0906,0.0409,0.0053,0.0223,0.038,0.0061,0.0244,1.0567,0.0286,0.0254,0.0272,0.0085,0.0077,0.0133,0.0233,0.0201,0
"TTL_L",0.0022,0.002,0.005,0.0136,0.0079,0.005,0.0067,0.0103,0.0119,0.0065,0.0062,0.0054,0.0064,0.005,0.0058,0.0063,0.006,0.0078,0.0067,0.0066,0.0068,0.0079,0.0061,0.0063,0.0092,0.0036,0.0083,0.0087,0.0159,0.0135,0.0091,0.0044,0.0078,0.0141,0.0047,0.0035,1.0053,0.006,0.0043,0.0025,0.0032,0.005,0.0097,0.0073,0
"TTL_M",0.0069,0.0064,0.0186,0.0411,0.0694,0.016,0.0193,0.0255,0.034,0.0211,0.0197,0.0217,0.0183,0.0173,0.019,0.0182,0.0189,0.0232,0.02,0.0249,0.0256,0.0196,0.0223,0.019,0.0305,0.0104,0.0239,0.0326,0.0534,0.0316,0.0219,0.013,0.0306,0.0417,0.0169,0.0103,0.008,1.0329,0.0122,0.0061,0.0062,0.0086,0.029,0.0179,0
"TTL_N",0.0041,0.0038,0.0118,0.0249,0.0525,0.0091,0.0113,0.0173,0.0212,0.013,0.0117,0.0116,0.0113,0.0104,0.0116,0.0113,0.0113,0.0136,0.0123,0.0143,0.0164,0.0131,0.013,0.0113,0.0165,0.0062,0.014,0.0204,0.0303,0.0191,0.0212,0.0077,0.0157,0.0234,0.01,0.0062,0.005,0.0116,1.0123,0.0042,0.0044,0.008,0.0196,0.0102,0
