"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1707,0.0136,0.0321,0.0128,0.0039,0.3904,0.0776,0.1156,0.0236,0.0225,0.0128,0.0147,0.0188,0.0094,0.0077,0.0064,0.0045,0.0077,0.007,0.0075,0.0049,0.0179,0.013,0.0061,0.0086,0.0091,0.0047,0.0035,0.0093,0.0038,0.0077,0.1037,0.0074,0.0044,0.0024,0.0034,0.0026,0.0093,0.015,0.0177,0.004,0.0075,0.0107,0.0138,0
"TTL_A03",1e-04,1.0164,1e-04,1e-04,1e-04,0.0021,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,2e-04,1e-04,1e-04,1e-04,0.0062,1e-04,1e-04,1e-04,1e-04,0,2e-04,6e-04,1e-04,1e-04,1e-04,2e-04,1e-04,0
"TTL_B05_06",0.0276,0.0278,1.1129,0.1036,0.029,0.0314,0.0282,0.0488,0.0333,0.7167,0.0451,0.0277,0.046,0.0818,0.097,0.0505,0.0214,0.0509,0.0425,0.0395,0.0239,0.0354,0.3781,0.0421,0.0477,0.0283,0.0761,0.0526,0.1784,0.0372,0.0522,0.0262,0.0197,0.0197,0.0064,0.0114,0.0179,0.0221,0.0237,0.034,0.0144,0.0178,0.019,0.0321,0
"TTL_B07_08",0.0036,0.0033,0.0172,1.0536,0.0123,0.0066,0.0067,0.0103,0.0102,0.0254,0.0213,0.0058,0.0155,0.0636,0.1567,0.0558,0.0126,0.0492,0.039,0.0328,0.0199,0.0243,0.009,0.0097,0.0352,0.0049,0.0052,0.0031,0.0085,0.003,0.004,0.0038,0.0043,0.0039,0.0017,0.0018,0.005,0.0052,0.0036,0.0052,0.0012,0.0041,0.0043,0.0056,0
"TTL_B09",5e-04,7e-04,0.0075,0.0076,1.01,6e-04,5e-04,9e-04,8e-04,0.0125,0.0012,5e-04,0.001,0.0029,0.0035,0.0016,5e-04,0.0015,0.0012,0.0011,7e-04,9e-04,0.0042,9e-04,0.0021,5e-04,0.0014,9e-04,0.0031,7e-04,9e-04,4e-04,4e-04,4e-04,1e-04,2e-04,4e-04,5e-04,5e-04,7e-04,2e-04,3e-04,4e-04,6e-04,0
"TTL_C10T12",0.0296,0.0284,0.0039,0.0051,0.0032,1.1557,0.0087,0.0081,0.011,0.0044,0.0087,0.0125,0.0079,0.0052,0.0045,0.0046,0.0036,0.0054,0.005,0.0048,0.004,0.0064,0.0037,0.0055,0.0047,0.0087,0.0029,0.0026,0.0047,0.0034,0.0085,0.1956,0.0067,0.0049,0.0025,0.004,0.0015,0.0075,0.0218,0.0138,0.0043,0.0093,0.0119,0.0118,0
"TTL_C13T15",0.0051,0.0069,0.0268,0.0259,0.0073,0.0124,1.4231,0.0115,0.0358,0.0209,0.0214,0.0225,0.0237,0.0263,0.0122,0.0122,0.0095,0.018,0.0197,0.0206,0.01,0.0431,0.0135,0.0084,0.013,0.014,0.0062,0.0042,0.0111,0.0068,0.0136,0.0117,0.0107,0.0048,0.0022,0.0038,0.0038,0.0079,0.0114,0.019,0.0041,0.0079,0.0113,0.063,0
"TTL_C16",0.0017,0.0046,0.0036,0.002,0.0031,0.003,0.0037,1.1966,0.0056,0.0033,0.004,0.0028,0.0065,0.0094,0.0042,0.0069,0.0031,0.0065,0.0065,0.0039,0.006,0.0706,0.0023,0.005,0.0221,0.0027,0.0015,0.0014,0.0032,0.0015,0.0018,0.0019,0.0025,0.0024,0.0023,0.0015,0.0018,0.0036,0.0021,0.0026,7e-04,0.0045,0.0028,0.0097,0
"TTL_C17_18",0.0087,0.0094,0.0082,0.0091,0.0082,0.0354,0.0274,0.0431,1.3432,0.012,0.0361,0.0395,0.0408,0.0344,0.0157,0.0188,0.0186,0.0272,0.019,0.0186,0.0109,0.0236,0.0112,0.0107,0.0164,0.0212,0.0081,0.0056,0.011,0.0137,0.0287,0.0201,0.1771,0.0181,0.0123,0.0184,0.0051,0.0457,0.0261,0.0148,0.0109,0.0156,0.0216,0.0255,0
"TTL_C19",0.0364,0.0391,0.1343,0.1486,0.0288,0.0342,0.0262,0.0394,0.0313,1.1371,0.0523,0.028,0.0468,0.0814,0.0558,0.0367,0.0202,0.0428,0.033,0.0323,0.0195,0.0318,0.0643,0.0364,0.0508,0.0314,0.1114,0.077,0.2678,0.0492,0.0722,0.0221,0.0176,0.0153,0.006,0.0092,0.0144,0.0229,0.03,0.0379,0.0122,0.0142,0.016,0.0351,0
