"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.2069,0.0642,0.0031,0.0039,0.0041,0.3588,0.0452,0.0975,0.0076,0.0037,0.0075,0.0332,0.0148,0.0046,0.0042,0.0041,0.0034,0.0041,0.0043,0.0041,0.0043,0.0105,0.0032,0.0041,0.0085,0.0052,0.0029,0.0041,0.0082,0.0025,0.0033,0.0991,0.0051,0.0018,0.0019,0.0013,0.0012,0.0041,0.0035,0.0061,0.0026,0.0052,0.0171,0.0079,0
"TTL_A03",0.0019,1.0524,1e-04,1e-04,1e-04,0.0083,4e-04,5e-04,2e-04,2e-04,2e-04,9e-04,2e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.0012,1e-04,1e-04,1e-04,2e-04,1e-04,2e-04,4e-04,1e-04,2e-04,0.0025,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,2e-04,1e-04,2e-04,5e-04,2e-04,0
"TTL_B05_06",0.0173,0.0811,1.0517,0.1217,0.0922,0.0241,0.0647,0.037,0.0587,0.5813,0.1711,0.0266,0.0818,0.0911,0.0942,0.0578,0.0298,0.0404,0.0421,0.0337,0.0344,0.0386,0.2521,0.03,0.0475,0.0177,0.0727,0.0681,0.1541,0.0258,0.0487,0.0219,0.021,0.0108,0.0095,0.0053,0.0055,0.017,0.0205,0.0123,0.0094,0.0155,0.0137,0.0227,0
"TTL_B07_08",0.0033,0.0086,0.0092,1.0184,0.0153,0.0055,0.0129,0.008,0.0138,0.0304,0.026,0.0064,0.0155,0.0573,0.0749,0.032,0.0089,0.0204,0.0217,0.0145,0.0147,0.0148,0.1089,0.008,0.0288,0.0034,0.0069,0.0062,0.0116,0.0037,0.0048,0.0055,0.005,0.0033,0.0024,0.0012,0.0021,0.0039,0.0035,0.0036,0.0029,0.0039,0.0038,0.0053,0
"TTL_B09",7e-04,0.0025,0.0076,0.0041,1.0041,0.0011,0.0026,0.0016,0.0029,0.0153,0.0058,0.0012,0.0031,0.0096,0.004,0.0025,0.0014,0.0017,0.0018,0.0015,0.0015,0.0017,0.0194,0.0014,0.0038,7e-04,0.0022,0.0022,0.0044,9e-04,0.0015,0.0011,0.001,6e-04,4e-04,2e-04,3e-04,7e-04,8e-04,5e-04,5e-04,7e-04,7e-04,0.001,0
"TTL_C10T12",0.1909,0.1712,0.0044,0.0057,0.0059,1.224,0.0368,0.0303,0.0099,0.0059,0.013,0.0419,0.0139,0.0071,0.0077,0.007,0.0057,0.0071,0.0073,0.0062,0.0068,0.0194,0.0055,0.0068,0.0075,0.0089,0.0047,0.0064,0.0146,0.0041,0.0054,0.1865,0.009,0.0028,0.0034,0.0022,0.0019,0.0067,0.0036,0.009,0.0045,0.0091,0.0435,0.0121,0
"TTL_C13T15",0.0042,0.0501,0.0081,0.0078,0.0076,0.0065,1.3896,0.0074,0.0193,0.0078,0.0166,0.0126,0.037,0.0134,0.0074,0.009,0.0071,0.0075,0.0083,0.0167,0.0105,0.0366,0.0061,0.0068,0.0087,0.0035,0.0043,0.0051,0.0087,0.0033,0.0057,0.0129,0.0072,0.0024,0.0025,0.0014,0.0011,0.0083,0.0032,0.0039,0.0022,0.0044,0.0042,0.0092,0
"TTL_C16",0.0028,0.0062,0.0072,0.0119,0.0113,0.0028,0.0037,1.4516,0.0305,0.0057,0.0043,0.0026,0.004,0.0077,0.0046,0.0061,0.0021,0.0038,0.0044,0.0042,0.009,0.0225,0.0048,0.0027,0.037,0.0025,0.0027,0.0027,0.0049,0.0021,0.0023,0.0024,0.0071,0.0019,0.0013,0.001,0.0021,0.0051,0.0026,0.0017,0.0015,0.0018,0.0025,0.002,0
"TTL_C17_18",0.0121,0.0167,0.0133,0.0127,0.0132,0.0308,0.0289,0.0314,1.418,0.0155,0.0288,0.0372,0.0279,0.0335,0.0169,0.0203,0.0159,0.0195,0.0176,0.0167,0.0175,0.0243,0.0136,0.0122,0.0209,0.0247,0.0125,0.0141,0.0186,0.0107,0.0185,0.0288,0.1999,0.0159,0.0192,0.0216,0.0068,0.0736,0.043,0.0191,0.0137,0.0155,0.0261,0.0274,0
"TTL_C19",0.032,0.1635,0.0791,0.2309,0.1689,0.0424,0.1159,0.065,0.1,1.2574,0.334,0.0464,0.1523,0.1352,0.1493,0.0955,0.0503,0.0675,0.0706,0.0569,0.0587,0.0657,0.1863,0.051,0.0785,0.0311,0.1479,0.1391,0.3221,0.0498,0.099,0.0348,0.0364,0.0171,0.0162,0.009,0.0089,0.0299,0.0389,0.0214,0.0143,0.0261,0.0215,0.0395,0
"TTL_C20",0.0809,0.0746,0.066,0.1098,0.1059,0.0816,0.4396,0.1427,0.2798,0.1333,2.1193,0.1417,0.7363,0.1971,0.1562,0.1638,0.1551,0.1314,0.1131,0.1217,0.1217,0.1509,0.087,0.1092,0.1356,0.0323,0.0478,0.0476,0.0772,0.0281,0.0355,0.0657,0.0935,0.0286,0.0301,0.0137,0.0128,0.0714,0.0881,0.0316,0.027,0.0538,0.0362,0.1111,0
"TTL_C21",0.0076,0.0071,0.0011,0.0013,0.0013,0.0075,0.0029,0.0026,0.002,0.0017,0.004,1.1734,0.003,0.0017,0.0017,0.0015,0.0014,0.0026,0.0018,0.0013,0.0016,0.0021,0.0012,0.0013,0.002,7e-04,8e-04,0.0012,0.0016,7e-04,7e-04,0.0035,0.0015,8e-04,7e-04,4e-04,4e-04,0.0062,8e-04,0.0014,0.0013,0.086,0.0013,0.001,0
