"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.3012,0.0325,0.0058,0.0059,0.0058,0.2286,0.0289,0.1024,0.0769,0.0087,0.0257,0.0314,0.0145,0.01,0.0084,0.0084,0.0083,0.0084,0.0073,0.0087,0.0059,0.0155,0.0054,0.0077,0.009,0.0192,0.0064,0.0121,0.009,0.0073,0.0063,0.0881,0.0149,0.0034,0.0048,0.0027,0.0031,0.0056,0.0085,0.018,0.0336,0.0204,0.0094,0.0083,0
"TTL_A03",0.0083,1.2975,1e-04,1e-04,1e-04,0.0023,3e-04,0.001,8e-04,1e-04,3e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,2e-04,1e-04,2e-04,1e-04,1e-04,1e-04,9e-04,2e-04,0,1e-04,0,0,1e-04,1e-04,2e-04,7e-04,2e-04,1e-04,1e-04,0
"TTL_B05_06",0.0828,0.0593,1.1982,0.1381,0.1197,0.103,0.0585,0.1046,0.1294,0.4436,0.2746,0.0856,0.1305,0.1962,0.2519,0.153,0.085,0.1332,0.1305,0.1161,0.0924,0.0877,0.4511,0.1662,0.1117,0.0546,0.1304,0.1442,0.153,0.116,0.0737,0.0667,0.0438,0.0442,0.0211,0.0123,0.0533,0.0364,0.0619,0.0537,0.0715,0.0565,0.0583,0.0495,0
"TTL_B07_08",0.0153,0.0115,0.0264,1.0469,0.0406,0.0245,0.013,0.025,0.0278,0.0209,0.0758,0.0253,0.0388,0.1382,0.3068,0.1454,0.0479,0.1087,0.1101,0.0921,0.0758,0.0558,0.0309,0.0663,0.1037,0.0118,0.0189,0.0288,0.0272,0.0232,0.0466,0.0134,0.0109,0.0081,0.0056,0.0052,0.0105,0.0165,0.0203,0.0102,0.0076,0.009,0.0096,0.0113,0
"TTL_B09",0.0113,0.0095,0.0597,0.0832,1.1314,0.0188,0.0088,0.0162,0.0184,0.0299,0.0443,0.0191,0.0234,0.1059,0.075,0.0439,0.0188,0.0323,0.0331,0.0283,0.0228,0.0218,0.0294,0.0316,0.0647,0.0093,0.0219,0.022,0.025,0.0232,0.0103,0.0101,0.0073,0.0054,0.0038,0.0061,0.0085,0.0099,0.0174,0.0071,0.0065,0.0076,0.0072,0.0094,0
"TTL_C10T12",0.0156,0.0111,0.0028,0.0043,0.0041,1.2213,0.0045,0.0122,0.0149,0.0066,0.0103,0.016,0.0089,0.006,0.0062,0.0061,0.0069,0.0061,0.0058,0.0064,0.0049,0.0058,0.0038,0.0049,0.0065,0.0149,0.0048,0.0096,0.009,0.0053,0.0035,0.1853,0.006,0.0025,0.0032,0.0019,0.0026,0.0041,0.0082,0.0138,0.0263,0.0178,0.0104,0.0068,0
"TTL_C13T15",0.0014,0.0018,0.0011,0.0021,0.0019,0.0029,1.1194,0.0032,0.0045,0.0019,0.0037,0.0044,0.0069,0.0025,0.0024,0.0024,0.0021,0.0023,0.0024,0.003,0.002,0.0108,0.0013,0.002,0.0024,0.0025,0.0018,0.0028,0.0026,0.0021,0.0039,0.0052,0.0018,9e-04,8e-04,4e-04,7e-04,0.0015,0.0025,0.0027,0.0014,0.0019,0.0028,0.0048,0
"TTL_C16",0.0078,0.0074,0.0045,0.0072,0.007,0.0326,0.0092,1.5185,0.08,0.0073,0.0132,0.0309,0.0199,0.0221,0.0076,0.012,0.0099,0.0127,0.009,0.0109,0.0055,0.0539,0.0046,0.0108,0.018,0.0103,0.0052,0.0073,0.0068,0.0073,0.006,0.0114,0.0404,0.0051,0.0107,0.0023,0.0039,0.01,0.0073,0.0087,0.0049,0.006,0.0114,0.0164,0
"TTL_C17_18",0.0075,0.0108,0.0039,0.0065,0.0066,0.0505,0.0122,0.0398,1.2424,0.0086,0.0158,0.0765,0.0214,0.0167,0.0082,0.0102,0.0121,0.0134,0.0086,0.0105,0.0059,0.0191,0.0048,0.0124,0.0094,0.0169,0.0064,0.0078,0.0087,0.0083,0.0142,0.0172,0.1472,0.0093,0.0349,0.0047,0.0036,0.026,0.0111,0.0138,0.0078,0.012,0.0254,0.0189,0
"TTL_C19",0.0806,0.0442,0.0315,0.0688,0.0592,0.0584,0.0246,0.0511,0.0528,1.0854,0.0732,0.0442,0.0541,0.0612,0.1194,0.0728,0.042,0.0719,0.0596,0.0579,0.0438,0.0439,0.0413,0.083,0.0663,0.0336,0.1072,0.1333,0.1828,0.0523,0.0783,0.0292,0.0221,0.0193,0.0103,0.0067,0.0134,0.0195,0.0394,0.0167,0.0139,0.0171,0.0202,0.0238,0
