"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.2113,0.0051,0.0024,0.0044,0.0026,0.3396,0.0476,0.1587,0.0347,0.0032,0.0408,0.0066,0.0313,0.0055,0.0038,0.004,0.0017,0.004,0.004,0.0065,0.0023,0.0117,0.0017,0.0026,0.0095,0.0044,0.0022,0.0048,0.0037,0.0022,0.0023,0.0241,0.0024,0.0023,0.0019,0.0014,0.0013,0.0026,0.0034,0.0077,0.0065,0.005,0.0086,0.0037,0
"TTL_A03",0.001,1.0298,1e-04,1e-04,1e-04,0.0089,3e-04,3e-04,3e-04,1e-04,3e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,3e-04,1e-04,2e-04,4e-04,1e-04,1e-04,0.0056,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,3e-04,2e-04,2e-04,8e-04,4e-04,0
"TTL_B05_06",0.0521,0.07,1.1819,0.0738,0.0395,0.0406,0.0414,0.0433,0.0513,0.774,0.0903,0.0187,0.0569,0.1046,0.0847,0.0392,0.01,0.0393,0.0293,0.0323,0.0149,0.0259,0.1836,0.0277,0.0458,0.0162,0.1103,0.1347,0.1786,0.0395,0.0677,0.0225,0.0085,0.0108,0.0103,0.0143,0.0102,0.0108,0.0149,0.06,0.033,0.0124,0.0154,0.0182,0
"TTL_B07_08",0.0069,0.0011,0.0057,1.0308,0.0032,0.0049,0.0049,0.0048,0.0056,0.0046,0.0162,0.002,0.0083,0.0615,0.0835,0.0246,0.0027,0.0181,0.0139,0.0137,0.0061,0.0074,0.0022,0.0041,0.0161,0.0011,0.0019,0.0023,0.0017,0.0018,0.0014,0.0015,0.0014,0.002,0.0011,6e-04,0.0012,0.0014,0.0014,0.0025,0.0011,0.0011,0.0035,0.0027,0
"TTL_B09",0.0012,0.0014,0.0228,0.0142,1.0095,0.001,0.001,0.0011,0.0013,0.0154,0.0022,5e-04,0.0014,0.0031,0.0029,0.0014,3e-04,0.0013,0.001,0.0013,5e-04,8e-04,0.0037,7e-04,0.002,4e-04,0.0023,0.0028,0.0036,9e-04,0.0014,5e-04,2e-04,3e-04,3e-04,3e-04,4e-04,3e-04,4e-04,0.0014,7e-04,3e-04,4e-04,5e-04,0
"TTL_C10T12",0.1186,0.0024,0.002,0.0027,0.0023,1.2439,0.0298,0.0201,0.0208,0.0031,0.0177,0.0111,0.0117,0.0059,0.0039,0.0038,0.0018,0.0037,0.0037,0.0049,0.0022,0.005,0.0022,0.0033,0.0036,0.0056,0.0021,0.0088,0.0087,0.0023,0.0027,0.0793,0.0025,0.0028,0.0026,0.0023,0.0014,0.0041,0.003,0.0152,0.0184,0.0129,0.0196,0.0071,0
"TTL_C13T15",0.003,0.0076,0.001,0.0015,0.001,0.0034,1.1374,0.0093,0.0186,0.0012,0.0056,0.0017,0.0149,0.0053,0.0021,0.0023,9e-04,0.0022,0.0044,0.0148,0.0041,0.0167,7e-04,0.0028,0.0037,0.0035,0.0011,0.0057,0.0011,0.0013,0.0017,0.0035,0.0012,0.0022,8e-04,6e-04,5e-04,9e-04,0.0014,0.0025,0.0016,0.0031,0.0023,0.005,0
"TTL_C16",0.0022,0.0107,0.0011,0.002,0.002,0.0033,0.0027,1.2035,0.0241,0.0014,0.0026,0.0012,0.0076,0.0052,0.0041,0.0041,0.0013,0.0038,0.0052,0.0097,0.0023,0.0251,0.0012,0.0017,0.0315,0.0026,0.0042,0.0014,0.0012,0.0025,0.0016,0.003,0.0017,0.0025,0.0026,9e-04,0.0028,0.0012,0.0018,0.0023,0.0025,0.0021,0.0017,0.0023,0
"TTL_C17_18",0.0114,0.0032,0.0049,0.0077,0.0054,0.048,0.0211,0.019,1.2295,0.0053,0.023,0.0153,0.0327,0.0233,0.0195,0.0177,0.0077,0.0194,0.0174,0.0193,0.0085,0.0225,0.0041,0.0096,0.0105,0.0157,0.0086,0.0117,0.0072,0.0159,0.0148,0.018,0.0265,0.0117,0.0148,0.0094,0.0029,0.012,0.0134,0.0122,0.0129,0.0113,0.0115,0.0129,0
"TTL_C19",0.0595,0.0883,0.0413,0.0748,0.0419,0.0411,0.0425,0.0468,0.0485,1.0656,0.0933,0.0203,0.0618,0.1096,0.0522,0.0315,0.0097,0.0366,0.0262,0.0295,0.0134,0.0262,0.0812,0.0313,0.053,0.0164,0.1391,0.1709,0.2284,0.0399,0.0836,0.0211,0.0087,0.0111,0.0114,0.0166,0.009,0.0112,0.017,0.0567,0.0397,0.0131,0.0159,0.02,0
