"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1875,0.0554,0.0063,0.0121,0.0064,0.4956,0.0157,0.5095,0.0579,0.0103,0.0349,0.0245,0.0367,0.0104,0.0072,0.0078,0.0082,0.0091,0.018,0.0071,0.0075,0.0649,0.0035,0.0081,0.0185,0.0072,0.0107,0.014,0.0179,0.0244,0.0028,0.1004,0.0167,0.0066,0.004,0.0028,0.0036,0.0109,0.0138,0.0034,0.0048,0.0152,0.0071,0.0181,0
"TTL_A03",0.0102,1.0853,4e-04,6e-04,6e-04,0.1267,6e-04,0.0051,0.0012,9e-04,0.0018,0.0022,0.0011,6e-04,5e-04,5e-04,5e-04,5e-04,8e-04,4e-04,5e-04,0.0014,2e-04,0.0056,7e-04,6e-04,0.0013,0.0014,0.0021,0.0055,2e-04,0.0316,9e-04,5e-04,5e-04,3e-04,2e-04,8e-04,0.0019,5e-04,4e-04,0.0014,4e-04,8e-04,0
"TTL_B05_06",0.0285,0.0814,1.0858,0.048,0.0237,0.0454,0.0189,0.0437,0.043,0.3066,0.0886,0.0331,0.0513,0.1344,0.0464,0.0357,0.0154,0.0211,0.0453,0.0251,0.0193,0.0324,0.0606,0.0374,0.0489,0.0134,0.0997,0.133,0.0649,0.0221,0.0071,0.0556,0.027,0.0165,0.0062,0.0057,0.0138,0.0167,0.0207,0.0069,0.0076,0.0242,0.0123,0.0255,0
"TTL_B07_08",0.0121,0.0071,0.0047,1.1984,0.0029,0.0101,0.0086,0.0148,0.0115,0.0104,0.0606,0.0158,0.0174,0.0993,0.0473,0.0253,0.0055,0.0091,0.0192,0.0141,0.0079,0.0135,0.0027,0.0075,0.0438,0.0037,0.0061,0.0113,0.0061,0.0029,7e-04,0.0054,0.0048,0.0048,0.0012,9e-04,0.0058,0.007,0.0054,0.0011,0.0011,0.0069,0.0033,0.019,0
"TTL_B09",8e-04,0.0022,0.0276,0.0047,1.0011,0.0012,5e-04,0.0012,0.0012,0.0079,0.0025,9e-04,0.0014,0.004,0.0014,0.001,5e-04,6e-04,0.0013,7e-04,6e-04,9e-04,0.0016,0.001,0.0015,4e-04,0.0026,0.0035,0.0017,6e-04,2e-04,0.0015,7e-04,5e-04,2e-04,2e-04,4e-04,7e-04,6e-04,2e-04,2e-04,7e-04,3e-04,8e-04,0
"TTL_C10T12",0.0862,0.082,0.0025,0.0036,0.0032,1.2106,0.0036,0.0401,0.0092,0.0057,0.013,0.0127,0.0075,0.0039,0.0029,0.0032,0.0032,0.0033,0.0055,0.0028,0.0027,0.0101,0.0013,0.0037,0.0047,0.0039,0.0076,0.008,0.0162,0.0198,0.0011,0.1382,0.0056,0.0031,0.0029,0.0015,0.0012,0.0045,0.0142,0.0028,0.002,0.0088,0.0024,0.0053,0
"TTL_C13T15",0.0065,0.042,0.0056,0.0069,0.0052,0.0144,1.6128,0.0184,0.0491,0.0075,0.0115,0.0094,0.0257,0.0081,0.0077,0.0082,0.0078,0.0085,0.0128,0.0265,0.0139,0.0652,0.008,0.0085,0.0171,0.0071,0.008,0.011,0.0141,0.0057,0.0056,0.02,0.0139,0.0084,0.0032,0.0025,0.0017,0.0067,0.0095,0.0023,0.0024,0.0214,0.0082,0.0309,0
"TTL_C16",0.0116,0.0233,0.0039,0.0106,0.0041,0.0127,0.0057,1.1636,0.0471,0.0047,0.0146,0.0088,0.0077,0.0068,0.0056,0.0062,0.0061,0.006,0.022,0.0045,0.0051,0.0621,0.0026,0.0073,0.0253,0.0041,0.0061,0.0089,0.0102,0.0051,0.0021,0.0104,0.012,0.0053,0.0018,0.0024,0.0048,0.0078,0.0081,0.0025,0.005,0.0097,0.0046,0.0156,0
"TTL_C17_18",0.0158,0.014,0.0088,0.0104,0.0093,0.0415,0.0211,0.0594,1.4278,0.0107,0.0365,0.0342,0.0302,0.0357,0.011,0.0135,0.0227,0.0319,0.0194,0.0125,0.0106,0.0543,0.0045,0.0069,0.0175,0.0184,0.011,0.0138,0.0141,0.009,0.0345,0.0252,0.2629,0.0267,0.011,0.0174,0.0037,0.0345,0.0196,0.0117,0.009,0.0256,0.0614,0.0154,0
"TTL_C19",0.0899,0.469,0.1465,0.1917,0.0439,0.1553,0.0591,0.1804,0.1423,1.9174,0.1299,0.0798,0.138,0.1998,0.1272,0.1068,0.0607,0.0771,0.1851,0.0832,0.0766,0.1034,0.1466,0.2041,0.1485,0.0597,0.5916,0.8036,0.3708,0.1192,0.039,0.2619,0.1243,0.0752,0.0291,0.0284,0.0278,0.0695,0.0916,0.0364,0.0402,0.097,0.0512,0.0936,0
