"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0809,0.062,0.012,0.0124,0.0114,0.3352,0.1354,0.2413,0.0877,0.0228,0.0215,0.0238,0.0432,0.0186,0.0134,0.0187,0.0144,0.011,0.0142,0.0158,0.0282,0.0903,0.0075,0.0122,0.0132,0.0077,0.0123,0.0175,0.0175,0.014,0.0125,0.0709,0.0245,0.014,0.0135,0.0027,0.0065,0.0087,0.0111,0.0064,0.0021,0.0065,0.0285,0.0673,0
"TTL_A03",0.0032,1.1846,6e-04,5e-04,5e-04,0.0239,8e-04,0.0013,9e-04,9e-04,0.001,0.0011,8e-04,7e-04,7e-04,0.0011,4e-04,5e-04,6e-04,5e-04,7e-04,0.0065,4e-04,8e-04,5e-04,3e-04,7e-04,6e-04,9e-04,7e-04,5e-04,0.0076,0.001,7e-04,7e-04,1e-04,3e-04,5e-04,6e-04,6e-04,1e-04,4e-04,0.002,0.0078,0
"TTL_B05_06",0.0481,0.0408,1.0439,0.0348,0.057,0.0349,0.0268,0.0381,0.0313,0.2999,0.0523,0.034,0.0417,0.0822,0.059,0.0384,0.0289,0.0299,0.0295,0.025,0.0355,0.045,0.1224,0.036,0.0479,0.0195,0.0593,0.0563,0.0994,0.0758,0.0901,0.0218,0.0298,0.075,0.0391,0.0092,0.0151,0.0251,0.0325,0.018,0.0044,0.0129,0.0415,0.043,0
"TTL_B07_08",0.0111,0.0087,0.0156,1.0164,0.0087,0.0088,0.0065,0.0141,0.0066,0.0153,0.0143,0.0104,0.0128,0.0093,0.2385,0.1262,0.0338,0.0634,0.0739,0.051,0.0602,0.0216,0.0109,0.0106,0.0277,0.0047,0.0083,0.0264,0.0119,0.0093,0.0088,0.0044,0.0078,0.0086,0.0077,0.0016,0.0037,0.0051,0.0061,0.0046,0.0012,0.0039,0.0104,0.0151,0
"TTL_B09",0.0028,0.0024,0.0571,0.0021,1.1415,0.002,0.0016,0.0022,0.0018,0.0171,0.003,0.002,0.0024,0.0046,0.0034,0.0023,0.0017,0.0017,0.0017,0.0015,0.0021,0.0026,0.0068,0.0021,0.0086,0.0011,0.0035,0.0033,0.0058,0.0044,0.0051,0.0013,0.0018,0.0043,0.0023,5e-04,9e-04,0.0015,0.0019,0.0011,3e-04,8e-04,0.0024,0.0025,0
"TTL_C10T12",0.1608,0.1316,0.0166,0.0169,0.0153,1.2943,0.0288,0.0486,0.0295,0.0233,0.0369,0.0407,0.0266,0.0173,0.0152,0.0312,0.0115,0.0115,0.0153,0.0127,0.0178,0.0512,0.0107,0.0205,0.0144,0.0084,0.0196,0.0175,0.0278,0.0214,0.013,0.2456,0.0229,0.0231,0.0208,0.0034,0.0083,0.0123,0.0178,0.0111,0.003,0.0089,0.0369,0.122,0
"TTL_C13T15",0.0188,0.014,0.0116,0.0105,0.007,0.0112,1.1565,0.0116,0.0135,0.0097,0.0083,0.0083,0.0198,0.0066,0.0074,0.0077,0.0079,0.0055,0.0079,0.0366,0.017,0.0384,0.0042,0.0093,0.0108,0.0049,0.0082,0.0115,0.0119,0.0093,0.0063,0.0057,0.0145,0.0095,0.0051,0.0015,0.0026,0.0037,0.0044,0.0044,0.0017,0.0066,0.0226,0.0312,0
"TTL_C16",0.0089,0.0067,0.0074,0.0144,0.011,0.0144,0.0058,1.1591,0.0102,0.0259,0.012,0.0086,0.0083,0.0151,0.0102,0.0116,0.0064,0.0054,0.007,0.0082,0.0132,0.0594,0.0056,0.0054,0.0124,0.0041,0.0082,0.0101,0.0123,0.0102,0.0132,0.0052,0.0074,0.0095,0.0053,0.0015,0.0026,0.0037,0.0045,0.0029,0.001,0.003,0.0104,0.0105,0
"TTL_C17_18",0.0215,0.0211,0.0204,0.017,0.0222,0.0441,0.0218,0.04,1.2447,0.0337,0.0358,0.0435,0.0343,0.0404,0.0188,0.0241,0.021,0.0184,0.0236,0.0274,0.0269,0.045,0.0151,0.0212,0.0261,0.0411,0.0238,0.0243,0.0334,0.0276,0.0254,0.0202,0.1329,0.0262,0.055,0.0076,0.0355,0.0375,0.0393,0.0137,0.0063,0.0186,0.0394,0.0407,0
"TTL_C19",0.1706,0.1439,0.1474,0.1038,0.1989,0.1145,0.0881,0.1135,0.0775,1.1763,0.1595,0.1067,0.1337,0.1002,0.1658,0.1107,0.099,0.0984,0.0902,0.0748,0.1056,0.0983,0.1189,0.0989,0.1433,0.0694,0.2212,0.2032,0.3776,0.2856,0.3424,0.073,0.0994,0.2843,0.1436,0.0325,0.0494,0.0884,0.1166,0.065,0.0148,0.0433,0.1388,0.1359,0
"TTL_C20",0.1237,0.1023,0.0925,0.0888,0.1477,0.0858,0.0898,0.1059,0.1059,0.1287,1.3424,0.1799,0.4161,0.091,0.1012,0.0773,0.0479,0.0615,0.063,0.0621,0.057,0.1106,0.0363,0.057,0.0674,0.0251,0.0477,0.0536,0.0754,0.0579,0.1101,0.0377,0.0699,0.0537,0.0435,0.009,0.0182,0.0261,0.0351,0.0202,0.0072,0.0254,0.0708,0.071,0
"TTL_C21",0.0192,0.0162,0.0035,0.0025,0.0023,0.0077,0.0041,0.0059,0.0032,0.0031,0.0113,1.1208,0.0053,0.0022,0.0023,0.0021,0.0015,0.0015,0.0018,0.0016,0.0023,0.0055,0.0015,0.0079,0.0017,9e-04,0.0014,0.0017,0.002,0.0016,0.0019,0.0022,0.0026,0.0015,0.0038,4e-04,0.001,0.0017,0.0024,0.0073,6e-04,0.0028,0.0092,0.0036,0
"TTL_C22",0.022,0.0198,0.0363,0.0255,0.0193,0.0448,0.0255,0.0435,0.0169,0.035,0.0347,0.0353,1.0718,0.0326,0.0183,0.0203,0.0296,0.0308,0.0294,0.0545,0.0339,0.0654,0.0122,0.0153,0.0422,0.0177,0.0259,0.0302,0.0403,0.0314,0.0416,0.0152,0.0192,0.0298,0.0127,0.0039,0.0084,0.0094,0.0112,0.0083,0.0021,0.0068,0.0209,0.0452,0
"TTL_C23",0.0158,0.0134,0.0163,0.0182,0.0145,0.0223,0.0083,0.0233,0.0107,0.0318,0.0167,0.0197,0.0136,1.2936,0.0144,0.0159,0.0214,0.0115,0.0151,0.0295,0.03,0.0283,0.0109,0.016,0.1534,0.0064,0.0174,0.0211,0.0254,0.02,0.0243,0.0118,0.0155,0.0186,0.0112,0.0027,0.0048,0.0083,0.0096,0.0084,0.0019,0.0062,0.0252,0.0749,0
"TTL_C24",0.0242,0.0194,0.0351,0.0383,0.0185,0.0195,0.0145,0.0374,0.0145,0.0392,0.0169,0.0139,0.0272,0.0223,1.1128,0.3271,0.0295,0.1133,0.1399,0.126,0.1293,0.0563,0.0258,0.0244,0.0743,0.0109,0.0199,0.058,0.028,0.0226,0.0211,0.0101,0.018,0.0216,0.0176,0.0036,0.0078,0.0118,0.0139,0.0094,0.0025,0.0083,0.0241,0.0367,0
"TTL_C25",0.0516,0.0398,0.0668,0.0778,0.0236,0.0408,0.0236,0.0625,0.0256,0.062,0.0281,0.0242,0.0489,0.0314,0.037,1.1377,0.0325,0.0598,0.0885,0.0721,0.0543,0.0922,0.0364,0.0403,0.1316,0.0186,0.0266,0.0368,0.0388,0.0306,0.0349,0.0193,0.0324,0.0292,0.0327,0.0057,0.0123,0.0209,0.0239,0.0144,0.0039,0.0122,0.0434,0.0672,0
"TTL_C26",0.0074,0.0067,0.0148,0.0124,0.0068,0.0075,0.0061,0.0083,0.0085,0.011,0.0063,0.0066,0.0075,0.0091,0.0092,0.0123,1.1894,0.0742,0.0993,0.0501,0.0412,0.0143,0.0099,0.0266,0.0094,0.0058,0.0092,0.0215,0.0125,0.0101,0.0069,0.0045,0.0184,0.0101,0.0121,0.004,0.0055,0.0081,0.0087,0.015,0.004,0.0167,0.0204,0.0392,0
"TTL_C27",0.0081,0.0071,0.0188,0.0149,0.0086,0.0095,0.0067,0.0108,0.011,0.017,0.0085,0.0075,0.0107,0.0177,0.0113,0.0142,0.0422,1.0338,0.0447,0.0177,0.0567,0.0094,0.0534,0.0145,0.0337,0.0052,0.0094,0.0261,0.0133,0.0107,0.0074,0.0054,0.0087,0.0103,0.0091,0.0019,0.0046,0.0064,0.0073,0.0054,0.0014,0.0043,0.0111,0.0379,0
"TTL_C28",0.0221,0.0184,0.0495,0.0563,0.012,0.0165,0.0208,0.0153,0.0144,0.0244,0.0111,0.0102,0.012,0.0208,0.0221,0.0292,0.0228,0.0233,1.0979,0.0394,0.0565,0.0145,0.0222,0.0287,0.0198,0.013,0.0148,0.0344,0.0218,0.0171,0.0118,0.0086,0.0137,0.0168,0.0286,0.0032,0.0165,0.0167,0.0203,0.0081,0.0028,0.0088,0.02,0.0192,0
"TTL_C29",0.0352,0.0299,0.0526,0.0375,0.0286,0.0283,0.0197,0.0333,0.0191,0.0372,0.0218,0.0202,0.0252,0.0303,0.0241,0.0337,0.0204,0.023,0.0296,1.3188,0.2769,0.028,0.021,0.0533,0.0223,0.031,0.0577,0.1241,0.0622,0.0563,0.0497,0.0164,0.0335,0.0561,0.0234,0.0071,0.013,0.0198,0.0256,0.0287,0.0081,0.0302,0.0638,0.0316,0
"TTL_C30",0.0054,0.0104,0.0085,0.0055,0.006,0.0047,0.0032,0.0062,0.0034,0.0085,0.0044,0.0036,0.0045,0.0064,0.0047,0.0049,0.0038,0.0035,0.0052,0.0209,1.2094,0.0046,0.0035,0.0038,0.0037,0.0023,0.0081,0.4249,0.0106,0.0117,0.0072,0.0025,0.0039,0.0048,0.003,7e-04,0.0013,0.0021,0.0027,0.0034,4e-04,0.0017,0.0039,0.0049,0
"TTL_C31T33",0.0049,0.0062,0.0059,0.0071,0.0079,0.0057,0.0041,0.0098,0.0043,0.0062,0.0041,0.0041,0.0049,0.0048,0.0292,0.027,0.0047,0.0073,0.011,0.0075,0.009,1.1187,0.0038,0.0053,0.0075,0.004,0.0046,0.0072,0.0061,0.0053,0.0113,0.0035,0.0077,0.0044,0.0097,0.0069,0.0034,0.006,0.0078,0.0035,0.0012,0.0038,0.0105,0.0083,0
"TTL_D",0.0347,0.0291,0.0414,0.0459,0.0357,0.0388,0.0298,0.0502,0.0344,0.064,0.0776,0.0584,0.054,0.0792,0.0882,0.0598,0.0229,0.0295,0.0361,0.0342,0.0541,0.0428,1.1764,0.0276,0.0342,0.015,0.0287,0.0328,0.0312,0.0293,0.0278,0.0271,0.0251,0.0251,0.0216,0.0082,0.0249,0.0245,0.0269,0.0108,0.0058,0.014,0.0388,0.039,0
"TTL_E",0.0049,0.0043,0.0053,0.0086,0.0025,0.0072,0.0021,0.0036,0.0024,0.0044,0.0026,0.0024,0.003,0.0035,0.0086,0.0057,0.0019,0.0026,0.0032,0.0028,0.0037,0.0092,0.0018,1.2165,0.0028,0.0028,0.0027,0.0026,0.0029,0.0026,0.0021,0.003,0.0021,0.0022,0.002,8e-04,0.0029,0.0021,0.0026,0.0013,5e-04,0.0026,0.0037,0.0037,0
"TTL_F",0.0344,0.0235,0.0342,0.0307,0.0469,0.0243,0.0161,0.0271,0.0183,0.1231,0.0246,0.0202,0.0224,0.0202,0.0282,0.0253,0.0184,0.0166,0.0193,0.0153,0.0267,0.0202,0.0178,0.0316,1.0467,0.0118,0.0438,0.0308,0.0593,0.0484,0.0388,0.0169,0.0329,0.043,0.0251,0.0067,0.0109,0.0206,0.0237,0.0161,0.0032,0.0099,0.0287,0.0303,0
"TTL_G",0.1778,0.1758,0.1478,0.1321,0.1474,0.205,0.138,0.164,0.1393,0.1758,0.1727,0.1493,0.196,0.1729,0.1407,0.1777,0.1499,0.1313,0.1681,0.2259,0.2508,0.1882,0.1077,0.113,0.1722,1.0774,0.1392,0.2127,0.2112,0.1629,0.1809,0.1297,0.1258,0.1594,0.1181,0.0263,0.0529,0.0762,0.0937,0.0639,0.0164,0.0535,0.1407,0.1922,0
"TTL_H49",0.067,0.0499,0.0489,0.0384,0.0418,0.0609,0.0329,0.0723,0.0364,0.0562,0.0459,0.0365,0.0506,0.0791,0.0433,0.0502,0.0302,0.0298,0.0403,0.0422,0.0489,0.0542,0.0342,0.0314,0.0441,0.0203,1.0372,0.0405,0.0448,0.0442,0.0492,0.0258,0.0319,0.0349,0.0256,0.0064,0.011,0.0177,0.0219,0.0233,0.0033,0.0107,0.0305,0.046,0
"TTL_H50",0.0098,0.0168,0.0153,0.0082,0.0103,0.0086,0.006,0.012,0.0064,0.0169,0.0085,0.0068,0.0087,0.0126,0.0086,0.0087,0.0072,0.0062,0.0083,0.0066,0.0087,0.0084,0.0061,0.006,0.0067,0.0039,0.0105,1.0219,0.0117,0.0176,0.0144,0.0045,0.0072,0.0084,0.0049,0.0013,0.0021,0.0034,0.0044,0.0043,6e-04,0.002,0.0058,0.0086,0
"TTL_H51",0.0182,0.0181,0.0215,0.0127,0.0215,0.018,0.0108,0.0194,0.0101,0.0196,0.0142,0.0172,0.0153,0.0217,0.0127,0.0147,0.0129,0.01,0.0141,0.0112,0.0157,0.0193,0.0128,0.0108,0.0115,0.0064,0.0119,0.0149,1.0422,0.0266,0.0206,0.0088,0.0135,0.0129,0.0096,0.0039,0.0036,0.0066,0.0092,0.0171,0.0012,0.0036,0.0106,0.0161,0
"TTL_H52",0.0354,0.0552,0.1775,0.0568,0.3233,0.0388,0.0263,0.0424,0.0338,0.1247,0.0486,0.0433,0.0417,0.0497,0.0467,0.0478,0.0307,0.0317,0.0383,0.0338,0.0427,0.0428,0.0468,0.0383,0.0491,0.0268,0.0468,0.0423,0.0805,1.0568,0.0472,0.0444,0.0441,0.0609,0.0354,0.0076,0.016,0.0264,0.0314,0.0227,0.0042,0.0121,0.0477,0.0749,0
"TTL_H53",0.0039,0.0039,0.006,0.0047,0.0081,0.0065,0.0053,0.0098,0.0064,0.008,0.0048,0.0053,0.0062,0.0106,0.0045,0.0065,0.0081,0.0056,0.0071,0.0059,0.0082,0.0066,0.0067,0.0062,0.0061,0.0071,0.0051,0.0053,0.0055,0.0084,1.0065,0.0063,0.015,0.0079,0.0062,0.0017,0.003,0.0073,0.0072,0.0028,0.0017,0.0042,0.0126,0.008,0
