hs,countries,description
010121,137,"Horses: live, pure-bred breeding animals"
010129,136,"Horses: live, other than pure-bred breeding animals"
010130,60,Asses: live
010190,93,Mules and hinnies: live
010221,129,"Cattle: live, pure-bred breeding animals"
010229,125,"Cattle: live, other than pure-bred breeding animals"
010231,26,"Buffalo: live, pure-bred breeding animals"
010239,31,"Buffalo: live, other than pure-bred breeding animals"
010290,92,"Bovine animals: live, other than cattle and buffalo"
010310,94,"Swine: live, pure-bred breeding animals"
010391,72,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
010392,75,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
010410,121,Sheep: live
010420,110,Goats: live
010511,187,"Poultry: live, fowls of the species Gallus domesticus, weighing not more than 185g"
010512,74,"Poultry: live, turkeys, weighing not more than 185g"
010513,73,"Poultry: live, ducks, weighing not more than 185g"
010514,32,"Poultry: live, geese, weighing not more than 185g"
010515,36,"Poultry: live, guinea fowls, weighing not more than 185g"
010594,104,"Poultry: live, fowls of the species Gallus domesticus, weighing more than 185g"
010599,103,"Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g"
010611,82,"Mammals: live, primates"
010612,23,"Mammals: live, whales, dolphins and porpoises (mammals of the order Cetacea): manatees and dugongs (mammals of the order Sirenia): seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
010613,61,"Mammals: live, camels and other camelids (Camelidae)"
010614,84,"Mammals: live, rabbits and hares"
010619,174,"Mammals: live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea): manatees, dugongs (mammals of the order Sirenia): seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares"
010620,92,Reptiles: live (including snakes and turtles)
010631,62,"Birds: live, birds of prey"
010632,100,"Birds: live, Psittaciformes"
010633,44,"Birds: live, ostriches: emus (Dromaius novaehollandiae)"
010639,132,"Birds: live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)"
010641,85,"Insects: live, bees"
010649,100,"Insects: live, other than bees"
010690,152,"Animals: live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects"
020110,112,"Meat: of bovine animals, carcasses and half-carcasses, fresh or chilled"
020120,170,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020130,195,"Meat: of bovine animals, boneless cuts, fresh or chilled"
