year,country,pivotal1,pivotal2,pivotal3,pivotal4,pivotal5,pivotal6
1995,ARG,53.97,54.68,52.91,63.56,46.58,53.79
1995,AUS,68.71,70.32,66.3,74.32,61.07,68.28
1995,AUT,68.14,69.0,66.85,73.34,61.68,67.92
1995,BEL,75.4,79.54,69.18,81.5,64.27,74.18
1995,BGD,29.64,26.94,33.7,48.16,27.11,30.13
1995,BGR,32.78,38.23,24.6,53.92,18.58,30.67
1995,BLR,36.95,41.13,30.69,55.5,24.23,35.53
1995,BRA,66.33,67.61,64.42,72.33,59.0,66.0
1995,BRN,29.05,32.13,24.42,50.73,18.42,28.01
1995,CAN,81.29,84.06,77.14,85.27,73.24,80.53
1995,CHE,72.62,74.78,69.38,77.71,64.49,72.03
1995,CHL,53.45,56.98,48.16,65.04,41.61,52.38
1995,CHN,71.25,74.76,65.98,77.69,60.71,70.23
1995,CIV,28.29,32.68,21.71,51.01,16.0,26.64
1995,CMR,23.29,28.1,16.08,48.72,11.16,21.26
1995,COL,49.67,49.3,50.22,60.23,43.76,49.76
1995,CRI,29.93,31.08,28.2,50.2,21.89,29.6
1995,CYP,30.33,32.23,27.49,50.78,21.23,29.77
1995,CZE,52.13,55.07,47.71,63.81,41.15,51.26
1995,DEU,93.9,94.88,92.42,95.01,90.97,93.64
1995,DNK,62.64,65.72,58.01,70.98,52.02,61.74
1995,EGY,47.78,47.9,47.6,59.39,41.03,47.75
1995,ESP,73.22,74.79,70.86,77.72,66.14,72.8
1995,EST,22.72,25.6,18.41,47.52,13.12,21.71
1995,FIN,59.93,65.6,51.42,70.89,45.02,58.08
1995,FRA,86.97,88.73,84.33,89.34,81.5,86.5
1995,GBR,86.84,88.06,85.02,88.75,82.3,86.53
1995,GRC,48.45,45.83,52.37,58.18,46.01,48.99
1995,HKG,63.55,63.81,63.16,69.64,57.61,63.48
1995,HRV,31.22,31.47,30.85,50.39,24.38,31.16
1995,HUN,45.18,47.32,41.97,59.05,35.28,44.56
1995,IDN,66.11,68.66,62.29,73.1,56.66,65.4
1995,IND,57.38,60.5,52.71,67.37,46.37,56.47
1995,IRL,55.2,58.77,49.84,66.21,43.36,54.12
1995,ISL,21.74,24.81,17.14,47.15,12.05,20.62
1995,ISR,52.6,53.53,51.21,62.83,44.79,52.36
1995,ITA,83.19,85.49,79.75,86.49,76.22,82.57
1995,JOR,26.0,26.0,25.99,47.71,19.85,25.99
1995,JPN,91.93,93.86,89.03,94.04,86.98,91.41
1995,KAZ,42.63,45.52,38.3,58.0,31.61,41.75
1995,KHM,13.78,13.53,14.15,42.12,9.57,13.84
1995,KOR,74.79,77.96,70.03,80.22,65.21,73.89
1995,LAO,9.42,9.17,9.8,40.32,6.16,9.48
1995,LTU,21.94,23.62,19.41,46.59,13.98,21.41
1995,LUX,48.04,55.34,37.1,63.98,30.43,45.31
1995,LVA,21.08,24.01,16.68,46.77,11.66,20.01
1995,MAR,39.41,40.17,38.28,54.97,31.59,39.21
1995,MEX,67.9,70.45,64.08,74.42,58.62,67.19
1995,MLT,27.88,31.39,22.62,50.35,16.8,26.65
1995,MMR,19.67,17.94,22.27,44.02,16.49,19.99
1995,MYS,65.52,69.64,59.34,73.82,53.46,64.28
1995,NGA,47.47,52.4,40.07,62.13,33.37,45.82
1995,NLD,79.32,82.75,74.18,84.16,69.88,78.35
1995,NOR,64.32,68.96,57.37,73.32,51.34,62.9
1995,NZL,47.56,50.31,43.44,60.84,36.77,46.75
1995,PAK,42.58,42.98,41.98,56.54,35.29,42.48
1995,PER,40.33,41.08,39.21,55.48,32.51,40.13
1995,PHL,54.02,54.64,53.1,63.53,46.79,53.86
1995,POL,53.65,55.98,50.15,64.39,43.68,52.98
1995,PRT,54.59,55.1,53.83,63.83,47.56,54.46
1995,ROU,38.85,40.35,36.6,55.07,29.93,38.43
1995,RUS,72.29,74.13,69.53,77.21,64.66,71.79
1995,SAU,67.69,71.81,61.5,75.43,55.8,66.46
1995,SEN,16.97,19.55,13.09,44.73,8.72,16.0
1995,SGP,64.51,70.07,56.17,74.13,50.05,62.74
1995,SVK,40.32,44.92,33.43,57.65,26.85,38.75
1995,SVN,38.68,40.76,35.55,55.3,28.91,38.07
